smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-84900126.3027,2459744.22792,-84258509.7233,-82714563.4894,-88368922.275,-87828731.6826,-82869784.1341,4.0,6050341666800.0,0.250018051845,0.249996693157,0.00782714037597,1.7334191682000001e-13,0.125226860254,56
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-95954949.2082,1425844.47636,-95640191.3603,-94693240.6992,-97846173.4129,-97606042.5324,-94744516.871,4.0,2033032470760.0,0.249981948155,0.124994709051,0.00779742807743,1.7334191682000001e-13,0.249546279492,78
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-104738187.229,3960819.74045,-105074665.16,-100518896.482,-108284522.112,-108233349.345,-100771956.008,4.0,15688093016300.0,0.249981948155,0.250003306843,0.0156524342817,1.7334191682000001e-13,0.250453720508,89
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-117518542.462,1439154.25491,-117156886.285,-116323562.313,-119436834.965,-119192289.62,-116351113.952,4.0,2071164969430.0,0.250018051845,0.125001984106,0.00779900812097,1.7334191682000001e-13,0.249546279492,73
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-139421422.102,1402688.57932,-139391750.45,-138131204.327,-140770983.183,-140728923.223,-138155461.295,4.0,1967535250560.0,0.250018051845,0.250003306843,0.0155979749784,1.7334191682000001e-13,0.249546279492,67
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-142671766.728,1734406.45925,-142308880.657,-140987864.232,-145081441.364,-144702156.218,-141149417.737,4.0,3008165765880.0,0.249981948155,0.249996693157,0.0155953099878,1.7334191682000001e-13,0.249546279492,83
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-184148736.177,1676967.05709,-184067498.655,-182233742.733,-186226204.665,-185972785.475,-182438419.411,4.0,2812218510550.0,0.250018051845,0.250003306843,0.00782734744372,1.7334191682000001e-13,0.125226860254,61
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-187489167.726,2635905.37218,-187281505.036,-184803579.0,-190590081.833,-190304054.672,-184965008.547,4.0,6947997131100.0,0.124990974078,0.249996693157,0.00391300505149,1.7334191682000001e-13,0.125226860254,110
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-208028855.833,2707533.77003,-208709565.953,-204176057.5,-210520233.927,-210261390.351,-204843327.148,4.0,7330739115880.0,0.249981948155,0.250003306843,0.0156524342817,1.7334191682000001e-13,0.250453720508,94
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239322700.256,1790378.13355,-239620674.214,-236897846.593,-241151606.004,-240971029.434,-237257207.538,4.0,3205453861080.0,0.249981948155,0.250003306843,0.0155957225633,1.7334191682000001e-13,0.249546279492,88
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-242256555.767,2848876.5193,-241588329.65,-239584348.473,-246265215.293,-245616203.545,-239832424.551,4.0,8116097422220.0,0.250018051845,0.125001984106,0.00779900812097,1.7334191682000001e-13,0.249546279492,72
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-276827249.026,2659722.16761,-276091755.391,-274495261.395,-280630223.926,-280001380.501,-274682808.639,4.0,7074122008850.0,0.249981948155,0.124994709051,0.00779742807743,1.7334191682000001e-13,0.249546279492,77
