npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-606612241.186,60015140.5428,-606612241.186,-564175128.335,-649049354.038,-644805642.753,-568418839.62,2.0,3601817094370000.0,0.25,0.250025424591,38,0.249999659503,0.0156265677537,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-637652253.981,20603849.9559,-637652253.981,-623083131.959,-652221376.004,-650764463.801,-624540044.161,2.0,424518633007000.0,0.25,0.250025424591,33,0.249999659503,0.0156265677537,8.656992832709999e-15
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-642476828.43,74189198.6337,-642476828.43,-590017142.985,-694936513.874,-689690545.33,-595263111.529,2.0,5504037193910000.0,0.125,0.124987287705,100,0.250000340497,0.00390585806049,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-690055535.947,42439884.5608,-690055535.947,-660046005.782,-720065066.113,-717064113.096,-663046958.798,2.0,1801143801530000.0,0.25,0.25,64,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-717029258.752,43265491.0003,-717029258.752,-686435936.674,-747622580.829,-744563248.622,-689495268.882,2.0,1871902711490000.0,0.125,0.25,2,0.124999523304,0.00390623510326,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-780482325.286,1189377.76963,-780482325.286,-779641308.2,-781323342.372,-781239240.664,-779725409.908,2.0,1414619478890.0,0.25,0.124987287705,95,0.250000340497,0.00781171612099,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-836918583.641,5055463.58541,-836918583.641,-833343831.058,-840493336.224,-840135860.966,-833701306.316,2.0,25557712063400.0,0.125,0.250025424591,28,0.249999659503,0.00781328387685,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-866696462.264,18590108.377,-866696462.264,-853551270.568,-879841653.961,-878527134.791,-854865789.738,2.0,345592129469000.0,0.125,0.124987287705,55,0.250000340497,0.00390585806049,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-883397327.748,25417299.04,-883397327.748,-865424583.238,-901370072.259,-899572797.808,-867221857.689,2.0,646039090490000.0,0.25,0.25,59,0.250000340497,0.0156250212811,8.656992832709999e-15
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1064334751.36,55726045.1078,-1064334751.36,-1024930486.97,-1103739015.74,-1099798589.3,-1028870913.41,2.0,3105392103360000.0,0.125,0.25,54,0.250000340497,0.00781251064053,8.656992832709999e-15
