smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,354523069.305,1295741.26566,354808207.244,355772567.317,352703295.417,353015054.07,355631891.428,4.0,1678945427540.0,0.250018051845,0.125226860254,36,0.00782747168739,3.46688419418e-13,0.250007275152
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,314814922.14,814199.978135,314693831.736,315817796.009,314054229.08,314085215.052,315714155.795,4.0,662921604395.0,0.250018051845,0.125226860254,41,0.00782747168739,3.46688419418e-13,0.250007275152
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,273623143.294,795919.79466,273437165.298,274736920.324,272881322.255,272943355.55,274563300.231,4.0,633488319531.0,0.250018051845,0.125226860254,46,0.00391371513664,3.46688419418e-13,0.125002976198
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,187487616.856,916843.026938,187171432.866,188815158.357,186792443.337,186820007.917,188597883.383,4.0,840601136045.0,0.250018051845,0.249546279492,53,0.00779824473773,3.46688419418e-13,0.12498974865
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,148499067.828,1176310.70261,148196159.357,150124506.722,147479445.875,147530236.531,149891970.984,4.0,1383706869070.0,0.250018051845,0.249546279492,58,0.0155973147564,3.46688419418e-13,0.249992724848
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,108145480.568,619081.526621,108130049.127,108917067.446,107404756.573,107505835.144,108806730.01,4.0,383261936604.0,0.250018051845,0.249546279492,63,0.0155982225654,3.46688419418e-13,0.250007275152
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,69296533.2844,375251.079863,69134001.179,69857042.6735,69061088.1062,69071893.3978,69748718.1187,4.0,140813372938.0,0.250018051845,0.249546279492,68,0.0155982225654,3.46688419418e-13,0.250007275152
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,54439400.5815,962212.891517,54385066.1218,55452957.2697,53534512.8127,53560055.1493,55394814.2573,4.0,925853648601.0,0.250018051845,0.249546279492,57,0.0155973147564,3.46688419418e-13,0.249992724848
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,39227817.153,403361.355512,39291450.1449,39588393.3541,38739974.9681,38787200.1399,39579347.9774,4.0,162700383121.0,0.250018051845,0.249546279492,52,0.00779824473773,3.46688419418e-13,0.12498974865
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,29869063.534,1357741.2417,30289318.4966,30999089.1141,27898528.0287,28243241.2746,30906528.8458,4.0,1843461279410.0,0.250018051845,0.249546279492,73,0.00779907001867,3.46688419418e-13,0.125002976198
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,14478152.3498,1528546.4283,14387659.8125,16261901.9144,12875387.86,12984005.8013,16098988.4506,4.0,2336454183460.0,0.250018051845,0.249546279492,62,0.0155982225654,3.46688419418e-13,0.250007275152
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-26941419.7638,1953604.37575,-26786613.5168,-24819670.6669,-29372781.3546,-29090307.4489,-25009260.8245,4.0,3816570056940.0,0.250018051845,0.249546279492,67,0.0155982225654,3.46688419418e-13,0.250007275152
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-59417845.5598,1078252.15826,-59385184.2561,-58473617.0498,-60427396.6771,-60404176.1312,-58477240.8135,4.0,1162627716780.0,0.250018051845,0.125226860254,56,0.0078270161323,3.46688419418e-13,0.249992724848
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-66690698.689,1830982.89989,-67368902.3079,-64029424.4985,-67995565.6417,-67964540.8473,-64467371.4642,4.0,3352498379700.0,0.250018051845,0.249546279492,72,0.00779907001867,3.46688419418e-13,0.125002976198
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-99891933.2918,1802071.45594,-100056609.087,-97539171.5976,-101915343.395,-101662181.127,-97891139.3424,4.0,3247461532330.0,0.250018051845,0.125226860254,61,0.00782747168739,3.46688419418e-13,0.250007275152
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-109556451.851,2134458.64561,-109780375.949,-107131702.455,-111533353.05,-111476619.913,-107322790.051,4.0,4555913709820.0,0.250018051845,0.125226860254,51,0.00391330099566,3.46688419418e-13,0.12498974865
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-141273418.885,515696.115123,-141227716.442,-140701581.059,-141936661.595,-141847670.82,-140763150.37,4.0,265942483153.0,0.249981948155,0.250453720508,79,0.00782547179608,3.46688419418e-13,0.12498974865
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-141517014.335,868471.575288,-141296809.676,-140827621.302,-142646816.686,-142512564.179,-140829751.014,4.0,754242877084.0,0.250018051845,0.125226860254,66,0.00782747168739,3.46688419418e-13,0.250007275152
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-180237537.417,970068.016074,-179924310.725,-179461578.715,-181639949.503,-181408148.29,-179505443.913,4.0,941031955810.0,0.249981948155,0.250453720508,84,0.0156517717545,3.46688419418e-13,0.249992724848
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-182769401.94,1702429.4392,-183292651.496,-180388095.172,-184104209.594,-184070892.221,-180735362.279,4.0,2898265995450.0,0.250018051845,0.125226860254,71,0.00391371513664,3.46688419418e-13,0.125002976198
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-220136902.563,2069769.00464,-219863906.431,-217907763.263,-222912034.126,-222473895.129,-218182104.581,4.0,4283943732580.0,0.249981948155,0.250453720508,89,0.0156526827331,3.46688419418e-13,0.250007275152
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-259457533.246,1600636.04364,-259709825.563,-257538331.994,-260872149.864,-260843012.173,-257718845.075,4.0,2562035744210.0,0.249981948155,0.250453720508,94,0.0156526827331,3.46688419418e-13,0.250007275152
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-283895840.641,3107418.00659,-284066940.496,-280354457.407,-287095024.163,-286903491.964,-280648649.52,4.0,9656046667660.0,0.249981948155,0.249546279492,83,0.0155950624366,3.46688419418e-13,0.249992724848
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-292449582.411,1624499.16584,-293121943.331,-290031469.389,-293522973.596,-293475103.947,-290482755.589,4.0,2638997539800.0,0.249981948155,0.249546279492,78,0.0077971186374,3.46688419418e-13,0.12498974865
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-298274372.738,1480735.60752,-297912855.222,-297081386.13,-300190394.379,-299966012.664,-297088857.335,4.0,2192577939380.0,0.249981948155,0.250453720508,99,0.00782629995845,3.46688419418e-13,0.125002976198
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-322760858.714,1192116.53241,-322772573.534,-321337753.611,-324160534.176,-324008347.705,-321496968.974,4.0,1421141826850.0,0.249981948155,0.249546279492,88,0.0155959701145,3.46688419418e-13,0.250007275152
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-363347879.324,1628787.73508,-363740477.801,-361063867.083,-364846694.61,-364726680.486,-361419440.293,4.0,2652949485950.0,0.249981948155,0.249546279492,93,0.0155959701145,3.46688419418e-13,0.250007275152
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-403496874.975,2979736.26656,-403026484.222,-400382214.862,-407552316.595,-406896248.493,-400756048.511,4.0,8878828218240.0,0.249981948155,0.249546279492,98,0.00779794379918,3.46688419418e-13,0.125002976198
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-406953270.854,2314637.2035,-407028723.99,-404744515.708,-409011119.728,-408993338.569,-404807568.749,4.0,5357545383810.0,0.249981948155,0.249546279492,82,0.0155950624366,3.46688419418e-13,0.249992724848
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-442621648.677,1172706.65802,-442110327.519,-441896932.663,-444369007.008,-444046756.015,-441912390.961,4.0,1375240905760.0,0.249981948155,0.249546279492,77,0.0077971186374,3.46688419418e-13,0.12498974865
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-447308142.014,2239513.68588,-447126498.805,-445023716.075,-449955854.372,-449707382.99,-445163201.531,4.0,5015421549260.0,0.249981948155,0.249546279492,87,0.0155959701145,3.46688419418e-13,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-460633747.186,1297852.78932,-460589286.37,-459353503.764,-462002912.239,-461922307.904,-459407431.611,4.0,1684421862740.0,0.124990974078,0.125226860254,105,0.00195636794902,3.46688419418e-13,0.12498974865
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-489140497.724,1134482.40144,-489596567.015,-487456990.08,-489911866.788,-489877964.874,-487764533.568,4.0,1287050319170.0,0.249981948155,0.249546279492,92,0.0155959701145,3.46688419418e-13,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-500563426.664,2353335.0171,-500547414.147,-498003088.603,-503155789.759,-502958328.741,-498190942.11,4.0,5538185702690.0,0.124990974078,0.125226860254,110,0.00391294293863,3.46688419418e-13,0.249992724848
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-530324661.941,826021.528355,-530136151.263,-529545133.256,-531481211.983,-531298003.568,-529615235.264,4.0,682311565306.0,0.249981948155,0.249546279492,97,0.00779794379918,3.46688419418e-13,0.125002976198
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-539330279.478,1460988.21945,-539239268.765,-537724301.62,-541118278.762,-540919320.926,-537868653.028,4.0,2134486577380.0,0.124990974078,0.125226860254,115,0.00391317068328,3.46688419418e-13,0.250007275152
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-539457085.944,2244235.97157,-539887708.679,-536540538.046,-541512388.37,-541419000.851,-536892299.207,4.0,5036595096110.0,0.249981948155,0.125226860254,81,0.00782588587727,3.46688419418e-13,0.249992724848
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-577194217.54,832853.381888,-577038913.258,-576362953.97,-578336089.676,-578162141.439,-576443719.637,4.0,693644755723.0,0.124990974078,0.125226860254,120,0.00391317068328,3.46688419418e-13,0.250007275152
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-579571976.276,2164631.95277,-579632130.137,-577320843.194,-581702801.636,-581615737.165,-577443999.981,4.0,4685631490940.0,0.249981948155,0.125226860254,86,0.00782634136657,3.46688419418e-13,0.250007275152
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-589788607.392,467111.903621,-589782212.011,-589304636.797,-590285368.749,-590254075.192,-589332093.125,4.0,218193530504.0,0.249981948155,0.125226860254,76,0.00391273589804,3.46688419418e-13,0.12498974865
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-615193573.563,1345974.35573,-615207353.244,-613632094.125,-616727493.641,-616584552.622,-613783302.952,4.0,1811646966270.0,0.124990974078,0.250453720508,104,0.00391273589804,3.46688419418e-13,0.12498974865
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-616369332.798,2494780.87907,-616793304.585,-613154162.826,-618736559.198,-618608399.31,-613536705.786,4.0,6223931634560.0,0.124990974078,0.125226860254,125,0.00195657498961,3.46688419418e-13,0.125002976198
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-616867366.333,4448345.80644,-618012903.175,-610873688.338,-620569970.644,-620469139.183,-611661841.904,4.0,19787780413600.0,0.124990974078,0.250453720508,109,0.00782588587727,3.46688419418e-13,0.249992724848
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-620471284.965,3413501.1224,-621372388.813,-615741249.46,-623399112.775,-623258960.967,-616422063.577,4.0,11651989912600.0,0.249981948155,0.125226860254,91,0.00782634136657,3.46688419418e-13,0.250007275152
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-657273679.755,2379373.51618,-657406842.708,-654271549.706,-660009483.9,-659690348.07,-654670583.307,4.0,5661418329500.0,0.124990974078,0.250453720508,114,0.00782634136657,3.46688419418e-13,0.250007275152
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-660969051.637,2206327.09489,-661175989.876,-658160165.249,-663364061.546,-663136029.892,-658512359.847,4.0,4867879249660.0,0.249981948155,0.125226860254,96,0.00391314997922,3.46688419418e-13,0.125002976198
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-699393355.189,303204.156531,-699531717.028,-698939878.087,-699570108.612,-699567005.827,-699025997.975,4.0,91932760537.5,0.124990974078,0.250453720508,119,0.00782634136657,3.46688419418e-13,0.250007275152
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-739798367.095,1917515.41616,-740451154.175,-736987239.802,-741303920.229,-741186182.838,-737496649.442,4.0,3676865371200.0,0.124990974078,0.250453720508,124,0.00391314997922,3.46688419418e-13,0.125002976198
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-755961441.699,1581326.74451,-755556735.362,-754516577.55,-758215718.522,-757824228.681,-754665243.589,4.0,2500594272890.0,0.124990974078,0.249546279492,108,0.00779753121829,3.46688419418e-13,0.249992724848
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-767608149.133,2503951.58694,-766715351.272,-765755059.895,-771246834.091,-770645138.827,-765821076.444,4.0,6269773549760.0,0.124990974078,0.249546279492,103,0.0038985593187,3.46688419418e-13,0.12498974865
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-795067967.376,1596829.71207,-794628366.939,-793674997.764,-797340137.863,-796975795.348,-793775580.016,4.0,2549865129360.0,0.124990974078,0.249546279492,113,0.00779798505727,3.46688419418e-13,0.250007275152
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-837508627.363,2146608.7201,-837936407.1,-834859991.466,-839301703.786,-839287456.546,-835130906.549,4.0,4607928997190.0,0.124990974078,0.249546279492,118,0.00779798505727,3.46688419418e-13,0.250007275152
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-875578499.704,3260066.31796,-876689224.287,-870883070.997,-878052479.245,-877966531.508,-871635453.484,4.0,10628032397500.0,0.124990974078,0.249546279492,123,0.00389897189959,3.46688419418e-13,0.125002976198
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-896880943.596,1895451.68979,-896705919.168,-894772539.398,-899339396.649,-898994974.693,-895011946.698,4.0,3592737108330.0,0.124990974078,0.249546279492,107,0.00779753121829,3.46688419418e-13,0.249992724848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-916527481.037,1654794.56146,-916700498.044,-914431101.582,-918277826.478,-918129755.77,-914682982.494,4.0,2738345040640.0,0.124990974078,0.249546279492,102,0.0038985593187,3.46688419418e-13,0.12498974865
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-935382591.784,777920.184798,-935171555.471,-934692710.03,-936494546.165,-936308659.741,-934751974.666,4.0,605159813915.0,0.124990974078,0.249546279492,112,0.00779798505727,3.46688419418e-13,0.250007275152
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-978641434.719,2139125.88173,-978932457.48,-975774743.951,-980926079.963,-980663881.407,-976211556.163,4.0,4575859537870.0,0.124990974078,0.249546279492,117,0.00779798505727,3.46688419418e-13,0.250007275152
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1018813460.61,2144498.39225,-1018568226.03,-1016744185.8,-1021373204.56,-1021131271.14,-1016838978.47,4.0,4598873354360.0,0.124990974078,0.249546279492,122,0.00389897189959,3.46688419418e-13,0.125002976198
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1036204323.82,3307904.2232,-1037151857.87,-1031622413.12,-1038891166.42,-1038808322.75,-1032273777.22,4.0,10942230349900.0,0.124990974078,0.125226860254,106,0.00391294293863,3.46688419418e-13,0.249992724848
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1065848911.56,4338220.65849,-1065717043.44,-1060726330.66,-1071235228.71,-1070522348.9,-1061360089.6,4.0,18820158481800.0,0.124990974078,0.125226860254,101,0.00195636794902,3.46688419418e-13,0.12498974865
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1075727566.55,467480.777775,-1075783580.02,-1075107019.86,-1076236086.29,-1076176196.56,-1075200517.68,4.0,218538277589.0,0.124990974078,0.125226860254,111,0.00391317068328,3.46688419418e-13,0.250007275152
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1118461899.33,3223189.86294,-1119141769.74,-1114217988.66,-1121346069.17,-1121225241.97,-1114746738.11,4.0,10388952892600.0,0.124990974078,0.125226860254,116,0.00391317068328,3.46688419418e-13,0.250007275152
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1157285857.99,2825886.2091,-1157640377.19,-1154037712.47,-1159824965.11,-1159771986.2,-1154303402.9,4.0,7985632866790.0,0.124990974078,0.125226860254,121,0.00195657498961,3.46688419418e-13,0.125002976198
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145104969635.0,251.799974342,-145104969670.0,-145104969345.0,-145104969856.0,-145104969853.0,-145104969369.0,4.0,63403.2270786,0.124990974078,0.125226860254,1,0.00195636794902,3.46688419418e-13,0.12498974865
