smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-340561997.412,5956084.69525,-340670037.811,-333184461.067,-347723452.959,-346753354.071,-334219384.194,4.0,35474944897000.0,0.249981948155,0.0155953099878,0.249996693157,1.7334191682000001e-13,0.249546279492,83
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-343547120.85,1216846.26435,-343524963.026,-342133909.721,-345004647.627,-344842658.603,-342282604.051,4.0,1480714831070.0,0.250018051845,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.249546279492,73
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-348701378.972,2654325.38019,-348548055.404,-345672775.478,-352036629.603,-351607794.505,-346009616.435,4.0,7045443223920.0,0.250018051845,0.00391345630072,0.124994709051,1.7334191682000001e-13,0.125226860254,51
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-349641144.904,3192706.04587,-349728531.974,-346087637.846,-353019877.824,-352797041.105,-346362906.807,4.0,10193371895300.0,0.124990974078,0.00391300505149,0.249996693157,1.7334191682000001e-13,0.125226860254,110
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-361595757.773,1685989.15334,-361636211.79,-359514724.752,-363595882.76,-363348553.748,-359786326.174,4.0,2842559425190.0,0.250018051845,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,67
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-393683808.385,2210427.42893,-393635134.394,-391664238.245,-395800726.506,-395737705.891,-391698054.466,4.0,4885989418560.0,0.249981948155,0.0156524342817,0.250003306843,1.7334191682000001e-13,0.250453720508,94
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-400585945.055,793567.182812,-400476557.283,-399795938.583,-401594727.069,-401477152.31,-399847880.679,4.0,629748873637.0,0.250018051845,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.125226860254,61
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-419275103.479,3280552.95364,-418081253.275,-416927931.998,-424009975.371,-423250886.61,-416970710.636,4.0,10762027681600.0,0.249981948155,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,88
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-431268502.255,7866082.63679,-431416829.168,-421564674.585,-440675676.099,-439468174.654,-422861172.178,4.0,61875256048800.0,0.124990974078,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.125226860254,115
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-442096037.841,2161848.18106,-441988500.168,-439985742.9,-444421408.13,-444272204.642,-440070423.784,4.0,4673587557960.0,0.250018051845,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.249546279492,72
