smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1428162817.65,24455992.8087,-1418632961.09,-1411636454.48,-1463748893.93,-1457888730.71,-1411778703.76,4.0,598095584261000.0,86,0.249981948155,0.125226860254,4.95258127397e-14,0.250000944804,0.00782614319848
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1442788286.6,12090215.3455,-1440557589.99,-1432485795.08,-1457552171.34,-1456087009.36,-1432612539.1,4.0,146173307101000.0,93,0.249981948155,0.249546279492,4.95258127397e-14,0.250000944804,0.0155955752144
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1464440898.1,17235375.6789,-1460096091.69,-1448614341.91,-1488957067.11,-1484774023.22,-1450190501.95,4.0,297058174792000.0,107,0.124990974078,0.249546279492,4.95258127397e-14,0.249999055196,0.00779772866837
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1484743780.07,22819016.2374,-1480972356.59,-1461182970.47,-1515847436.6,-1510969965.39,-1463797587.6,4.0,520707502045000.0,114,0.124990974078,0.250453720508,4.95258127397e-14,0.250000944804,0.00782614319848
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1537342307.21,15674767.2035,-1532728587.28,-1523974398.42,-1559937655.86,-1556099817.96,-1525044004.35,4.0,245698326884000.0,71,0.250018051845,0.125226860254,4.95258127397e-14,0.125000566882,0.00391363970343
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1567758716.32,8712438.58845,-1567298496.86,-1559221253.67,-1577216617.87,-1576583741.71,-1559577998.16,4.0,75906586157500.0,92,0.249981948155,0.249546279492,4.95258127397e-14,0.250000944804,0.0155955752144
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1626333284.22,20023859.6114,-1633578076.33,-1597100637.51,-1641076346.7,-1640492286.04,-1602031573.44,4.0,400954953736000.0,106,0.124990974078,0.125226860254,4.95258127397e-14,0.249999055196,0.00391304202267
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1639271984.03,43379790.8833,-1622688428.3,-1609781851.86,-1701929227.67,-1691879588.26,-1609881357.83,4.0,1881806257070000.0,99,0.249981948155,0.250453720508,4.95258127397e-14,0.125000566882,0.0078261491138
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1652041748.78,40137121.0461,-1647476278.9,-1617085168.3,-1696129269.01,-1693107776.12,-1617367379.26,4.0,1610988485870000.0,113,0.124990974078,0.249546279492,4.95258127397e-14,0.250000944804,0.00779778760718
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1687409036.9,49998628.234,-1689493010.42,-1625214770.72,-1745435356.05,-1738740139.2,-1633160371.69,4.0,2499862825280000.0,120,0.124990974078,0.125226860254,4.95258127397e-14,0.250000944804,0.00391307159924
