smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1126024973.29,5327311.9058,-1126024973.29,-1122257994.92,-1129791951.67,-1129415253.83,-1122634692.76,2.0,28380252141700.0,8.74780185431e-15,0.125,0.00390625549581,0.125,0.250000351732,75
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1220437126.5,13283516.4031,-1220437126.5,-1211044261.98,-1229829991.03,-1228890704.58,-1211983548.43,2.0,176451808030000.0,8.74780185431e-15,0.125,0.00390624450419,0.125,0.249999648268,30
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1226597061.24,63528699.348,-1226597061.24,-1181675487.13,-1271518635.35,-1267026477.94,-1186167644.54,2.0,4035895640840000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,88
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1232138539.62,23444260.5895,-1232138539.62,-1215560943.98,-1248716135.26,-1247058375.7,-1217218703.54,2.0,549633354588000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,59
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1276563973.77,23207714.8123,-1276563973.77,-1260153641.25,-1292974306.29,-1291333273.04,-1261794674.5,2.0,538598026809000.0,8.74780185431e-15,0.125,0.00781251099161,0.25,0.250000351732,70
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1383955204.18,45545314.6854,-1383955204.18,-1351749803.31,-1416160605.04,-1412940064.96,-1354970343.4,2.0,2074375689800000.0,8.74780185431e-15,0.125,0.00195312719832,0.125,0.125000140693,101
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1392568707.69,24224179.2808,-1392568707.69,-1375439626.25,-1409697789.13,-1407984880.98,-1377152534.39,2.0,586810861830000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,83
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1444423635.58,46791973.3221,-1444423635.58,-1411336713.94,-1477510557.22,-1474201865.05,-1414645406.1,2.0,2189488767370000.0,8.74780185431e-15,0.25,0.00781251099161,0.125,0.250000351732,54
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1522650893.77,93522299.8071,-1522650893.77,-1456520641.39,-1588781146.16,-1582168120.92,-1463133666.63,2.0,8746420561210000.0,8.74780185431e-15,0.125,0.00781251099161,0.25,0.250000351732,65
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1617615516.9,54657604.9397,-1617615516.9,-1578966753.8,-1656264279.99,-1652399403.68,-1582831630.11,2.0,2987453777740000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,94
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1631271043.5,1546415.48958,-1631271043.5,-1630177562.62,-1632364524.38,-1632255176.29,-1630286910.71,2.0,2391400866420.0,8.74780185431e-15,0.25,0.00781251099161,0.125,0.250000351732,78
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1712744308.46,4384899.89419,-1712744308.46,-1709643716.01,-1715844900.91,-1715534841.66,-1709953775.25,2.0,19227347082100.0,8.74780185431e-15,0.25,0.00781250879329,0.25,0.125000140693,107
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1721410453.08,5243745.47032,-1721410453.08,-1717702565.1,-1725118341.06,-1724747552.26,-1718073353.89,2.0,27496866557500.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,89
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1795320432.1,102325072.314,-1795320432.1,-1722965679.58,-1867675184.62,-1860439709.36,-1730201154.83,2.0,1.04704204241e+16,8.74780185431e-15,0.125,0.00781251099161,0.25,0.250000351732,60
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1857134961.94,56529058.5206,-1857134961.94,-1817162881.33,-1897107042.56,-1893109834.5,-1821160089.39,2.0,3195534457220000.0,8.74780185431e-15,0.125,0.00390625549581,0.125,0.250000351732,100
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1877047673.62,72285192.812,-1877047673.62,-1825934323.6,-1928161023.64,-1923049688.63,-1831045658.6,2.0,5225149099870000.0,8.74780185431e-15,0.25,0.00390625439665,0.125,0.125000140693,102
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1986703609.15,5278384.99151,-1986703609.15,-1982971227.33,-1990435990.97,-1990062752.79,-1983344465.51,2.0,27861348118600.0,8.74780185431e-15,0.125,0.00390625549581,0.125,0.250000351732,55
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1999414132.69,44132785.6374,-1999414132.69,-1968207540.69,-2030620724.68,-2027500065.48,-1971328199.89,2.0,1947702768120000.0,8.74780185431e-15,0.25,0.0156250219832,0.25,0.250000351732,84
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2026904761.78,45456440.2783,-2026904761.78,-1994762204.61,-2059047318.95,-2055833063.23,-1997976460.33,2.0,2066287962770000.0,8.74780185431e-15,0.125,0.00781251099161,0.25,0.250000351732,95
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2053558160.99,29071037.1637,-2053558160.99,-2033001833.47,-2074114488.5,-2072058855.75,-2035057466.23,2.0,845125201775000.0,8.74780185431e-15,0.25,0.00781250879329,0.25,0.125000140693,113
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2178713269.93,23651356.0915,-2178713269.93,-2161989235.65,-2195437304.2,-2193764900.77,-2163661639.08,2.0,559386644968000.0,8.74780185431e-15,0.25,0.00781250879329,0.25,0.125000140693,108
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2192302639.39,3898558.54859,-2192302639.39,-2189545942.2,-2195059336.57,-2194783666.85,-2189821611.92,2.0,15198758756800.0,8.74780185431e-15,0.25,0.00781251099161,0.125,0.250000351732,79
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2271916549.19,40660780.2139,-2271916549.19,-2243165035.77,-2300668062.6,-2297792911.26,-2246040187.11,2.0,1653299047600000.0,8.74780185431e-15,0.125,0.00781251099161,0.25,0.250000351732,90
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2366032319.03,39675764.6462,-2366032319.03,-2337977316.8,-2394087321.26,-2391281821.03,-2340782817.02,2.0,1574166300260000.0,8.74780185431e-15,0.25,0.00781250879329,0.25,0.125000140693,119
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2396884970.68,59207962.8919,-2396884970.68,-2355018618.62,-2438751322.74,-2434564687.53,-2359205253.82,2.0,3505582869810000.0,8.74780185431e-15,0.25,0.00390625439665,0.125,0.125000140693,103
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2507470683.59,13125358.6041,-2507470683.59,-2498189653.52,-2516751713.67,-2515823610.66,-2499117756.53,2.0,172275038487000.0,8.74780185431e-15,0.25,0.00781250879329,0.25,0.125000140693,114
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2587073468.16,32571104.754,-2587073468.16,-2564042219.12,-2610104717.21,-2607801592.3,-2566345344.02,2.0,1060876864890000.0,8.74780185431e-15,0.125,0.00781251099161,0.25,0.250000351732,85
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2621128885.84,41626294.1913,-2621128885.84,-2591694650.95,-2650563120.74,-2647619697.25,-2594638074.44,2.0,1732748368100000.0,8.74780185431e-15,0.25,0.00781250879329,0.25,0.125000140693,109
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,7107702.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2684955045.03,88578332.4052,-2684955045.03,-2622320705.52,-2747589384.54,-2741325950.59,-2628584139.47,2.0,7846120971680000.0,8.74780185431e-15,0.125,0.00195312719832,0.125,0.125000140693,125
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,5330777.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2806690020.32,39012797.0005,-2806690020.32,-2779103807.01,-2834276233.63,-2831517612.3,-2781862428.34,2.0,1521998329810000.0,8.74780185431e-15,0.125,0.00390625549581,0.125,0.250000351732,80
