npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,248500751.114,6421440.27907,245881531.829,258050096.78,244189844.017,244394974.995,256273434.231,4.0,41234895257700.0,3.9741070500699994e-14,107,0.125,0.249579831933,0.249999116588,0.00779934218767
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,233957441.525,33624363.6035,229588403.09,273365609.47,203287350.45,204122117.55,269909419.309,4.0,1130597827740000.0,3.9741070500699994e-14,94,0.25,0.250420168067,0.250000883412,0.0156513158103
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,213478792.614,33333116.5831,226545696.426,236108614.648,164715162.957,172919570.974,235744348.918,4.0,1111096661140000.0,3.9741070500699994e-14,114,0.125,0.250420168067,0.250000883412,0.00782565790513
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,210526424.011,6262071.35464,209812682.094,218482653.747,203997678.109,204523048.343,217529038.362,4.0,39213537650600.0,3.9741070500699994e-14,46,0.25,0.125210084034,0.125000353365,0.00391282618726
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,192100787.814,19762417.454,198054165.017,208028688.913,164266132.309,168432414.581,207434432.963,4.0,390553143628000.0,3.9741070500699994e-14,66,0.25,0.125210084034,0.250000883412,0.00782565790513
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,140561636.806,9748642.62048,141439125.917,150925495.513,128442799.878,129818193.975,150076594.882,4.0,95036032941900.0,3.9741070500699994e-14,93,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,135491969.098,16134016.068,134244440.1,154113081.985,119365914.205,120210654.215,152519824.577,4.0,260306474482000.0,3.9741070500699994e-14,73,0.25,0.249579831933,0.125000353365,0.00779939179609
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,127237462.213,30243414.7667,122318273.349,167714203.148,96599099.0071,99302268.7893,162059520.047,4.0,914664136751000.0,3.9741070500699994e-14,86,0.25,0.125210084034,0.250000883412,0.00782565790513
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,97534861.1629,15465306.2469,101013195.66,110808411.837,77304641.4932,79759264.0461,110440789.983,4.0,239175697312000.0,3.9741070500699994e-14,113,0.125,0.249579831933,0.250000883412,0.00779939730813
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,67543413.4444,28383409.2288,77489711.6878,89284535.243,25909695.1589,33264960.3765,87897048.9715,4.0,805617919449000.0,3.9741070500699994e-14,106,0.125,0.125210084034,0.249999116588,0.00391280129954
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,60412096.8079,28660908.7019,65368842.5533,89838452.6169,21072249.5082,27579654.3716,86305095.2007,4.0,821447687619000.0,3.9741070500699994e-14,120,0.125,0.125210084034,0.250000883412,0.00391282895256
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,24191925.0176,19219717.0614,27426855.3937,43347415.5142,-1433426.23123,2049267.81363,41805679.6951,4.0,369397523920000.0,3.9741070500699994e-14,72,0.25,0.249579831933,0.125000353365,0.00779939179609
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,6392224.93404,16638935.1565,12297427.9542,18632231.042,-17658187.2142,-13770254.0257,18287419.6655,4.0,276854163141000.0,3.9741070500699994e-14,92,0.25,0.249579831933,0.250000883412,0.0155987946163
