smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-425757564.995,1211180.06502,-425757564.995,-424901131.358,-426613998.633,-426528355.269,-424986774.722,2.0,1466957149910.0,44,0.25,3.66466187075e-13,0.249546279492,0.0155962499057,0.249993707579
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-456474184.492,436503.914008,-456474184.492,-456165529.614,-456782839.37,-456751973.882,-456196395.102,2.0,190535666945.0,103,0.249963898917,3.66466187075e-13,0.125226860254,0.00391289464826,0.125003845369
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-465296459.666,1074719.39842,-465296459.666,-464536518.292,-466056401.041,-465980406.903,-464612512.429,2.0,1155021785340.0,69,0.25,3.66466187075e-13,0.249546279492,0.0155970350308,0.250006292421
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-502981239.14,2004464.28165,-502981239.14,-501563868.854,-504398609.426,-504256872.398,-501705605.883,2.0,4017877056410.0,94,0.25,3.66466187075e-13,0.249546279492,0.0155970350308,0.250006292421
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-541823489.355,109850.168734,-541823489.355,-541745813.556,-541901165.154,-541893397.574,-541753581.136,2.0,12067059570.9,119,0.25,3.66466187075e-13,0.249546279492,0.00779856113348,0.125003845369
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-550402631.467,1268642.20944,-550402631.467,-549505565.958,-551299696.976,-551209990.425,-549595272.509,2.0,1609453055580.0,14,0.25,3.66466187075e-13,0.249546279492,0.00779768877217,0.12498986221
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-555637229.144,962932.774374,-555637229.144,-554956332.849,-556318125.439,-556250035.809,-555024422.479,2.0,927239527963.0,39,0.25,3.66466187075e-13,0.249546279492,0.0155962499057,0.249993707579
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-593538273.692,1110053.55417,-593538273.692,-592753347.296,-594323200.088,-594244707.448,-592831839.936,2.0,1232218893120.0,64,0.25,3.66466187075e-13,0.249546279492,0.0155970350308,0.250006292421
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-632563406.613,1504255.88623,-632563406.613,-631499737.076,-633627076.151,-633520709.197,-631606104.029,2.0,2262785771260.0,89,0.25,3.66466187075e-13,0.249546279492,0.0155970350308,0.250006292421
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-673470072.725,999368.699841,-673470072.725,-672763412.34,-674176733.11,-674106067.071,-672834078.379,2.0,998737798223.0,114,0.25,3.66466187075e-13,0.249546279492,0.00779856113348,0.125003845369
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-701417091.218,1005786.19339,-701417091.218,-700705892.98,-702128289.456,-702057169.632,-700777012.804,2.0,1011605866810.0,34,0.25,3.66466187075e-13,0.250453720508,0.0156529635417,0.249993707579
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-704686621.47,78458.2268357,-704686621.47,-704631143.126,-704742099.814,-704736551.98,-704636690.96,2.0,6155693358.21,25,0.125018050542,3.66466187075e-13,0.125226860254,0.00195679352968,0.12498986221
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-712989473.082,941705.09322,-712989473.082,-712323587.024,-713655359.139,-713588770.533,-712390175.63,2.0,886808482596.0,9,0.25,3.66466187075e-13,0.250453720508,0.00782604400407,0.12498986221
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-739177767.491,47105.5950063,-739177767.491,-739144458.806,-739211076.177,-739207745.308,-739147789.674,2.0,2218937080.9,59,0.25,3.66466187075e-13,0.250453720508,0.0156537515218,0.250006292421
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-743639019.281,1111952.66842,-743639019.281,-742852750.009,-744425288.554,-744346661.626,-742931376.936,2.0,1236438736810.0,50,0.125018050542,3.66466187075e-13,0.125226860254,0.00391380597435,0.249993707579
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-779289006.22,1153133.98534,-779289006.22,-778473617.359,-780104395.08,-780022856.194,-778555156.245,2.0,1329717988140.0,84,0.25,3.66466187075e-13,0.250453720508,0.0156537515218,0.250006292421
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-784159093.22,1225425.80405,-784159093.22,-783292586.324,-785025600.116,-784938949.426,-783379237.014,2.0,1501668401240.0,75,0.125018050542,3.66466187075e-13,0.125226860254,0.00391400299785,0.250006292421
