smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-353532196.653,18681070.0904,-357689873.08,-329383385.107,-369365655.346,-369031415.256,-332212231.053,4.0,348982379722000.0,4.95258127397e-14,0.124990974078,0.125226860254,110,0.249999055196,0.00391304202267
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-361799285.607,5470211.96845,-361717114.409,-355373269.113,-368389644.496,-367626637.612,-356086973.278,4.0,29923218979700.0,4.95258127397e-14,0.250018051845,0.249546279492,68,0.250000944804,0.0155978276082
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-368526844.016,5780747.93751,-367061086.479,-363636165.637,-376349037.47,-375305200.012,-363800548.572,4.0,33417046717000.0,4.95258127397e-14,0.250018051845,0.249546279492,47,0.125000566882,0.00779891969886
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-380205865.975,19747264.1486,-379915443.267,-356451257.534,-404541319.834,-401232779.221,-359585544.523,4.0,389954441354000.0,4.95258127397e-14,0.249981948155,0.250453720508,89,0.250000944804,0.015652286397
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-410728908.238,19169500.4594,-404544711.002,-396048158.196,-437778052.753,-433734234.328,-396381458.28,4.0,367469747861000.0,4.95258127397e-14,0.124990974078,0.249546279492,103,0.124998488314,0.00389883191784
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-483396252.056,5571865.2783,-484281900.467,-476092651.86,-488928555.43,-488524332.928,-477028263.408,4.0,31045682679500.0,4.95258127397e-14,0.250018051845,0.125226860254,46,0.125000566882,0.00391363970343
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-492250256.31,25377970.8771,-496371271.866,-460556486.22,-515701995.288,-514768701.856,-463962388.986,4.0,644041405840000.0,4.95258127397e-14,0.124990974078,0.250453720508,109,0.249999055196,0.00782608404535
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-495230979.041,9178385.37078,-497584110.979,-482810872.183,-502944822.023,-502700874.358,-484466699.011,4.0,84242758014600.0,4.95258127397e-14,0.249981948155,0.125226860254,81,0.249999055196,0.00782608404535
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-496861883.238,15737218.3833,-498154178.815,-476463588.527,-514675586.796,-512461937.714,-479452614.955,4.0,247660042443000.0,4.95258127397e-14,0.249981948155,0.249546279492,88,0.250000944804,0.0155955752144
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-498774174.567,27530419.9525,-491351726.938,-476513735.789,-535879508.603,-531010480.491,-476929295.323,4.0,757924022762000.0,4.95258127397e-14,0.250018051845,0.249546279492,67,0.250000944804,0.0155978276082
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-582767988.773,18246669.5128,-580927431.604,-563456008.11,-605761083.772,-603044570.006,-565068187.575,4.0,332940948309000.0,4.95258127397e-14,0.124990974078,0.249546279492,102,0.124998488314,0.00389883191784
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-612828989.525,4097700.34809,-613062007.205,-607663110.983,-617528832.707,-616988279.951,-608343474.348,4.0,16791148142800.0,4.95258127397e-14,0.250018051845,0.125226860254,66,0.250000944804,0.00782727349068
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-627851186.777,16706863.2386,-621000176.742,-616760162.227,-652644231.397,-648152607.178,-617141180.426,4.0,279119279274000.0,4.95258127397e-14,0.249981948155,0.249546279492,87,0.250000944804,0.0155955752144
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-634034332.383,50506792.4221,-617374247.499,-595622430.576,-705766403.958,-694823434.499,-596569349.105,4.0,2550936080770000.0,4.95258127397e-14,0.124990974078,0.125226860254,115,0.250000944804,0.00391307159924
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-639871503.691,11866955.9075,-638104854.302,-628133366.509,-655142939.653,-653300564.83,-628915751.698,4.0,140824642511000.0,4.95258127397e-14,0.249981948155,0.250453720508,94,0.250000944804,0.015652286397
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-645789749.563,20288831.6091,-650626698.152,-618002665.847,-663902936.099,-662905969.711,-621901801.389,4.0,411636688061000.0,4.95258127397e-14,0.124990974078,0.249546279492,108,0.249999055196,0.00779772866837
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-659870542.546,19597023.9351,-661935341.977,-635630919.96,-679980566.27,-678579863.604,-638270502.285,4.0,384043347111000.0,4.95258127397e-14,0.250018051845,0.249546279492,73,0.125000566882,0.00779891969886
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-752589244.016,23271002.3572,-748078463.823,-730412159.355,-783787889.062,-779587282.654,-731906297.648,4.0,541539550708000.0,4.95258127397e-14,0.124990974078,0.125226860254,101,0.124998488314,0.00195650474422
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-769533976.446,11533940.3674,-770215753.657,-754761301.48,-782943096.991,-781072129.345,-757041335.452,4.0,133031780398000.0,4.95258127397e-14,0.250018051845,0.249546279492,72,0.125000566882,0.00779891969886
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-776132583.309,21725192.4566,-770674584.536,-757745378.778,-805435785.387,-801561591.109,-758344773.791,4.0,471983987276000.0,4.95258127397e-14,0.249981948155,0.249546279492,93,0.250000944804,0.0155955752144
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-777884539.729,32384123.8115,-777954136.057,-747300458.38,-808329428.423,-807573655.441,-748097989.159,4.0,1048731475040000.0,4.95258127397e-14,0.124990974078,0.250453720508,114,0.250000944804,0.00782614319848
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-781711561.817,15583446.5436,-782244768.684,-763082925.418,-799273784.482,-797622583.099,-765054050.922,4.0,242843806177000.0,4.95258127397e-14,0.249981948155,0.125226860254,86,0.250000944804,0.00782614319848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-790333262.681,7749819.86748,-787324763.788,-784870664.928,-801812858.221,-799711260.597,-785167163.216,4.0,60059707978400.0,4.95258127397e-14,0.124990974078,0.249546279492,107,0.249999055196,0.00779772866837
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-904368143.382,16136184.508,-898907408.135,-892209128.531,-927448628.729,-923846099.472,-892535216.64,4.0,260376450477000.0,4.95258127397e-14,0.250018051845,0.125226860254,71,0.125000566882,0.00391363970343
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-922180450.93,16722070.2138,-929340342.531,-897283411.932,-932757706.724,-932472932.054,-901864121.563,4.0,279627632237000.0,4.95258127397e-14,0.249981948155,0.249546279492,92,0.250000944804,0.0155955752144
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-930612231.903,39612258.7929,-938714152.514,-881234202.875,-963786419.709,-963441818.38,-886439956.571,4.0,1569131046670000.0,4.95258127397e-14,0.124990974078,0.125226860254,120,0.250000944804,0.00391307159924
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-932047367.596,40672999.4856,-914879937.842,-905719594.09,-992710000.612,-981096483.357,-907032653.492,4.0,1654292887160000.0,4.95258127397e-14,0.249981948155,0.250453720508,99,0.125000566882,0.0078261491138
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-966934121.814,9328636.44889,-964965924.952,-958480590.6,-979324046.752,-977735077.449,-958888641.786,4.0,87023457995600.0,4.95258127397e-14,0.124990974078,0.249546279492,113,0.250000944804,0.00779778760718
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-995912772.91,43355260.6464,-981128790.8,-961967577.471,-1059425932.57,-1048101707.76,-964421413.011,4.0,1879678625720000.0,4.95258127397e-14,0.124990974078,0.125226860254,106,0.249999055196,0.00391304202267
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1061075546.75,24517359.7136,-1060979587.94,-1037567842.5,-1084775168.62,-1083989938.46,-1038295497.37,4.0,601100927326000.0,4.95258127397e-14,0.249981948155,0.249546279492,98,0.125000566882,0.00779779350107
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1063297009.04,29791784.4551,-1057449275.87,-1033615165.14,-1104674319.26,-1097705076.63,-1037075767.87,4.0,887550421020000.0,4.95258127397e-14,0.124990974078,0.250453720508,119,0.250000944804,0.00782614319848
