npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,584873913.528,142077.705202,584873913.528,584974377.637,584773449.419,584783495.83,584964331.226,2.0,20186074315.4,0.00783304718417,1.0563053673200001e-12,28,0.24999086758,0.25,0.125333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,581566611.783,8169.4673157,581566611.783,581572388.469,581560835.098,581561412.766,581571810.8,2.0,66740196.2222,0.00391623744292,1.0563053673200001e-12,3,0.12498630137,0.25,0.125333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,563203693.31,790594.270319,563203693.31,563762727.88,562644658.74,562700562.197,563706824.423,2.0,625039300261.0,0.0078336194825,1.0563053673200001e-12,53,0.25000913242,0.25,0.125333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,541327110.528,258925.587044,541327110.528,541510198.567,541144022.49,541162331.294,541491889.763,2.0,67042459626.3,0.0078336194825,1.0563053673200001e-12,78,0.25000913242,0.25,0.125333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,520472549.584,682028.159681,520472549.584,520954816.321,519990282.847,520038509.521,520906589.647,2.0,465162410598.0,0.00391680974125,1.0563053673200001e-12,103,0.12500456621,0.25,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,511269144.871,132698.416216,511269144.871,511362976.821,511175312.921,511184696.116,511353593.626,2.0,17608869666.2,0.00779081278539,1.0563053673200001e-12,19,0.12498630137,0.25,0.249333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,491190566.569,130563.185416,491190566.569,491282888.683,491098244.456,491107476.667,491273656.472,2.0,17046745386.0,0.0155827640791,1.0563053673200001e-12,44,0.24999086758,0.25,0.249333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,470084905.375,126594.827762,470084905.375,470174421.437,469995389.314,470004340.92,470165469.831,2.0,16026250416.1,0.0155839025875,1.0563053673200001e-12,69,0.25000913242,0.25,0.249333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,449146797.651,426034.104898,449146797.651,449448049.256,448845546.046,448875671.207,449417924.095,2.0,181505058536.0,0.0155839025875,1.0563053673200001e-12,94,0.25000913242,0.25,0.249333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,427218371.815,765698.609486,427218371.815,427759802.494,426676941.136,426731084.204,427705659.427,2.0,586294360569.0,0.00779195129376,1.0563053673200001e-12,119,0.12500456621,0.25,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,425571621.108,412809.873102,425571621.108,425863521.768,425279720.447,425308910.513,425834331.702,2.0,170411991331.0,0.00779081278539,1.0563053673200001e-12,14,0.12498630137,0.25,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,417979606.108,411519.112053,417979606.108,418270594.063,417688618.153,417717716.949,418241495.267,2.0,169347979585.0,0.0155827640791,1.0563053673200001e-12,39,0.24999086758,0.25,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,396595424.566,236806.709903,396595424.566,396762872.196,396427976.935,396444721.698,396746127.433,2.0,56077417855.2,0.0155839025875,1.0563053673200001e-12,64,0.25000913242,0.25,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,375612599.007,625891.251588,375612599.007,376055170.956,375170027.059,375214284.254,376010913.761,2.0,391739858814.0,0.0155839025875,1.0563053673200001e-12,89,0.25000913242,0.25,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,354036526.066,52459.5418947,354036526.066,354073620.564,353999431.569,354003141.018,354069911.114,2.0,2752003535.81,0.00779195129376,1.0563053673200001e-12,114,0.12500456621,0.25,0.249333333333
