smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,307501185.59,2015185.23137,307501185.59,308926136.733,306076234.448,306218729.562,308783641.618,2.0,4060971516730.0,2.43433201164e-13,0.0156253674309,0.25,67,0.25,0.250005878895
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,301305799.478,7031780.90968,301305799.478,306278019.443,296333579.513,296830801.509,305780797.446,2.0,49445942761700.0,2.43433201164e-13,0.00781194885362,0.25,79,0.25,0.124991181658
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,260324739.562,144204.403864,260324739.562,260426707.473,260222771.65,260232968.441,260416510.682,2.0,20794910093.9,2.43433201164e-13,0.00781231628454,0.25,56,0.125,0.249994121105
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,256160708.75,4330290.87165,256160708.75,259222686.79,253098730.711,253404928.515,258916488.986,2.0,18751419033100.0,2.43433201164e-13,0.0156246325691,0.25,84,0.25,0.249994121105
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,251284006.767,2272268.00481,251284006.767,252890742.882,249677270.652,249837944.264,252730069.27,2.0,5163201885660.0,2.43433201164e-13,0.00781268371546,0.25,72,0.25,0.125002939447
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,209779144.121,4397482.84637,209779144.121,212888634.062,206669654.18,206980603.174,212577685.068,2.0,19337855384100.0,2.43433201164e-13,0.00781268371546,0.25,61,0.125,0.250005878895
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,200993746.151,4841502.51648,200993746.151,204417205.412,197570286.891,197912632.817,204074859.486,2.0,23440146617100.0,2.43433201164e-13,0.0156253674309,0.25,89,0.25,0.250005878895
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,199245825.651,2053655.70635,199245825.651,200697979.527,197793671.775,197938887.163,200552764.14,2.0,4217501760240.0,2.43433201164e-13,0.00390597442681,0.25,51,0.125,0.124991181658
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,156870410.131,2460311.56091,156870410.131,158610113.119,155130707.142,155304677.441,158436142.821,2.0,6053132976740.0,2.43433201164e-13,0.00781268371546,0.25,66,0.125,0.250005878895
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,152194550.706,3573947.24276,152194550.706,154721713.037,149667388.375,149920104.608,154468996.804,2.0,12773098894000.0,2.43433201164e-13,0.0156253674309,0.25,94,0.25,0.250005878895
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,125572481.708,472395.536621,125572481.708,125906515.795,125238447.621,125271851.029,125873112.387,2.0,223157543020.0,2.43433201164e-13,0.0156246325691,0.25,83,0.25,0.249994121105
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,113397567.707,3083857.52433,113397567.707,115578184.275,111216951.139,111435012.796,115360122.618,2.0,9510177230370.0,2.43433201164e-13,0.00781194885362,0.25,78,0.25,0.124991181658
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,108109167.745,2181089.54942,108109167.745,109651430.956,106566904.534,106721130.855,109497204.635,2.0,4757151622590.0,2.43433201164e-13,0.00390634185773,0.25,71,0.125,0.125002939447
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,101778744.309,9947271.38174,101778744.309,108812527.357,94744961.2605,95448339.5653,108109149.052,2.0,98948207942000.0,2.43433201164e-13,0.00781268371546,0.25,99,0.25,0.125002939447
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,74252437.8838,4203257.94888,74252437.8838,77224590.0826,71280285.6851,71577500.905,76927374.8627,2.0,17667377384800.0,2.43433201164e-13,0.0156253674309,0.25,88,0.25,0.250005878895
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,21342015.6996,1181535.25366,21342015.6996,22177487.2896,20506544.1095,20590091.2685,22093940.1306,2.0,1396025555640.0,2.43433201164e-13,0.0156253674309,0.25,93,0.25,0.250005878895
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-28714783.5467,6011607.29358,-28714783.5467,-24463935.2636,-32965631.8298,-32540547.0015,-24889020.0919,2.0,36139422252200.0,2.43433201164e-13,0.00781268371546,0.25,98,0.25,0.125002939447
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-29173957.119,474132.985469,-29173957.119,-28838694.4698,-29509219.7682,-29475693.5033,-28872220.7347,2.0,224802087909.0,2.43433201164e-13,0.0156246325691,0.25,82,0.25,0.249994121105
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-61527022.0101,5139777.18182,-61527022.0101,-57892650.711,-65161393.3091,-64797956.1792,-58256087.8409,2.0,26417309478800.0,2.43433201164e-13,0.00781194885362,0.25,77,0.25,0.124991181658
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-79739044.8249,1696863.32835,-79739044.8249,-78539181.2587,-80938908.3911,-80818922.0345,-78659167.6153,2.0,2879345155100.0,2.43433201164e-13,0.0156253674309,0.25,87,0.25,0.250005878895
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-136524479.193,1844507.83758,-136524479.193,-135220215.193,-137828743.193,-137698316.793,-135350641.593,2.0,3402209162890.0,2.43433201164e-13,0.0156253674309,0.25,92,0.25,0.250005878895
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-142688814.221,2559736.68487,-142688814.221,-140878807.053,-144498821.388,-144317820.672,-141059807.769,2.0,6552251895890.0,0.0,0.00390592428786,0.12499839544,104,0.25,0.124991181658
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-155593427.884,7454453.75848,-155593427.884,-150322333.081,-160864522.686,-160337413.206,-150849442.561,2.0,55568880837300.0,0.0,0.00781221600193,0.12499839544,109,0.25,0.249994121105
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-189032888.821,2142638.43689,-189032888.821,-187517814.653,-190547962.99,-190396455.573,-187669322.07,2.0,4590899471250.0,2.43433201164e-13,0.00781268371546,0.25,97,0.25,0.125002939447
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-202931602.622,3606576.83486,-202931602.622,-200381367.686,-205481837.559,-205226814.066,-200636391.179,2.0,13007396465800.0,2.43433201164e-13,0.00781231628454,0.25,81,0.125,0.249994121105
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-205742638.585,6528679.37252,-205742638.585,-201126165.128,-210359112.041,-209897464.696,-201587812.474,2.0,42623654349200.0,0.0,0.00781258342813,0.12499839544,114,0.25,0.250005878895
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-251573155.601,8187182.28386,-251573155.601,-245783943.49,-257362367.713,-256783446.502,-246362864.701,2.0,67029953749200.0,2.43433201164e-13,0.00781268371546,0.25,86,0.125,0.250005878895
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-253384401.921,835714.464702,-253384401.921,-252793462.556,-253975341.287,-253916247.35,-252852556.493,2.0,698418666513.0,2.43433201164e-13,0.00390597442681,0.25,76,0.125,0.124991181658
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-254658045.048,1010007.05264,-254658045.048,-253943862.213,-255372227.884,-255300809.601,-254015280.496,2.0,1020114246380.0,0.0,0.00781258342813,0.12499839544,119,0.25,0.250005878895
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-297834540.338,6834206.6799,-297834540.338,-293002026.45,-302667054.225,-302183802.837,-293485277.839,2.0,46706380943600.0,2.43433201164e-13,0.00781268371546,0.25,91,0.125,0.250005878895
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-306224719.663,6655745.82356,-306224719.663,-301518396.657,-310931042.668,-310460410.368,-301989028.958,2.0,44298952467900.0,0.0,0.00390629171407,0.12499839544,124,0.25,0.125002939447
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-317165911.453,9692887.94394,-317165911.453,-310312004.659,-324019818.248,-323334427.568,-310997395.338,2.0,93952076693700.0,0.0,0.00390592428786,0.12499839544,103,0.25,0.124991181658
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-331109866.22,4537548.34547,-331109866.22,-327901335.015,-334318397.425,-333997544.305,-328222188.135,2.0,20589344987400.0,0.0,0.00781221600193,0.12499839544,108,0.25,0.249994121105
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-356791242.781,1592403.89081,-356791242.781,-355665243.192,-357917242.371,-357804642.412,-355777843.151,2.0,2535750151480.0,2.43433201164e-13,0.00390634185773,0.25,96,0.125,0.125002939447
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-379919854.169,2117577.22877,-379919854.169,-378422500.951,-381417207.388,-381267472.066,-378572236.273,2.0,4484133319810.0,0.0,0.00781258342813,0.12499839544,113,0.25,0.250005878895
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-428411393.746,12478133.0767,-428411393.746,-419588021.23,-437234766.261,-436352429.009,-420470358.482,2.0,155703805079000.0,0.0,0.00781258342813,0.12499839544,118,0.25,0.250005878895
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-489710402.634,6465405.72388,-489710402.634,-485138670.403,-494282134.864,-493824961.641,-485595843.627,2.0,41801471174300.0,0.0,0.00390629171407,0.12499839544,123,0.25,0.125002939447
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-509563250.297,13637172.3069,-509563250.297,-499920313.282,-519206187.311,-518241893.61,-500884606.984,2.0,185972468529000.0,0.0,0.00781221600193,0.12499839544,107,0.25,0.249994121105
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-515505676.925,2305633.54859,-515505676.925,-513875347.808,-517136006.043,-516972973.131,-514038380.72,2.0,5315946060390.0,0.0,0.00390592428786,0.12499839544,102,0.25,0.124991181658
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-554720524.27,4579616.36828,-554720524.27,-551482246.481,-557958802.06,-557634974.281,-551806074.26,2.0,20972886080600.0,0.0,0.00781258342813,0.12499839544,112,0.25,0.250005878895
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-622481356.432,1064667.11654,-622481356.432,-621728523.095,-623234189.77,-623158906.437,-621803806.428,2.0,1133516069050.0,0.0,0.00781258342813,0.12499839544,117,0.25,0.250005878895
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-669674265.926,7600678.45302,-669674265.926,-664299774.65,-675048757.202,-674511308.074,-664837223.778,2.0,57770312946100.0,0.0,0.00390629171407,0.12499839544,122,0.25,0.125002939447
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-690298356.307,9635811.63449,-690298356.307,-683484808.558,-697111904.056,-696430549.281,-684166163.332,2.0,92848865855300.0,0.0,0.00390610800096,0.12499839544,106,0.125,0.249994121105
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-696435326.675,2671402.49488,-696435326.675,-694546359.856,-698324293.494,-698135396.812,-694735256.538,2.0,7136391289650.0,0.0,0.00195296214393,0.12499839544,101,0.125,0.124991181658
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-743136926.786,1198885.2606,-743136926.786,-742289186.888,-743984666.683,-743899892.694,-742373960.878,2.0,1437325868080.0,0.0,0.00390629171407,0.12499839544,111,0.125,0.250005878895
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-797698193.727,4483034.78164,-797698193.727,-794528209.433,-800868178.022,-800551179.592,-794845207.862,2.0,20097600853400.0,0.0,0.00390629171407,0.12499839544,116,0.125,0.250005878895
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-833679509.715,1894738.74038,-833679509.715,-832339727.103,-835019292.327,-834885314.066,-832473705.365,2.0,3590034894310.0,0.0,0.00195314585703,0.12499839544,121,0.125,0.125002939447
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1432885261.86,0.0,-1432885261.86,-1432885261.86,-1432885261.86,-1432885261.86,-1432885261.86,2.0,0.0,2.43433201164e-13,0.00195301228288,0.12500160456,1,0.125,0.124991181658
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1483842351.97,0.0,-1483842351.97,-1483842351.97,-1483842351.97,-1483842351.97,-1483842351.97,2.0,0.0,2.43433201164e-13,0.00390620828358,0.12500160456,6,0.125,0.249994121105
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1534804235.56,0.0,-1534804235.56,-1534804235.56,-1534804235.56,-1534804235.56,-1534804235.56,2.0,0.0,2.43433201164e-13,0.00390639200139,0.12500160456,11,0.125,0.250005878895
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1585766119.16,0.0,-1585766119.16,-1585766119.16,-1585766119.16,-1585766119.16,-1585766119.16,2.0,0.0,2.43433201164e-13,0.00390639200139,0.12500160456,16,0.125,0.250005878895
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1636728002.75,0.0,-1636728002.75,-1636728002.75,-1636728002.75,-1636728002.75,-1636728002.75,2.0,0.0,2.43433201164e-13,0.0019531960007,0.12500160456,21,0.125,0.125002939447
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1983080117.78,2277133.31304,-1983080117.78,-1981469941.37,-1984690294.19,-1984529276.55,-1981630959.01,2.0,5185336125340.0,2.43433201164e-13,0.00781194885362,0.25,53,0.25,0.124991181658
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2030051390.92,612699.730061,-2030051390.92,-2029618146.79,-2030484635.05,-2030441310.64,-2029661471.2,2.0,375400959217.0,2.43433201164e-13,0.0156246325691,0.25,58,0.25,0.249994121105
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2089138962.1,1740305.91874,-2089138962.1,-2087908379.98,-2090369544.21,-2090246486.0,-2088031438.19,2.0,3028664690820.0,2.43433201164e-13,0.0156253674309,0.25,63,0.25,0.250005878895
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2138931726.62,2371026.34938,-2138931726.62,-2137255157.81,-2140608295.43,-2140440638.54,-2137422814.69,2.0,5621765949470.0,2.43433201164e-13,0.0156253674309,0.25,68,0.25,0.250005878895
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2188595921.17,3770203.78215,-2188595921.17,-2185929984.51,-2191261857.83,-2190995264.16,-2186196578.17,2.0,14214436559000.0,2.43433201164e-13,0.00781268371546,0.25,73,0.25,0.125002939447
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2487772906.42,15235476.8967,-2487772906.42,-2476999797.39,-2498546015.45,-2497468704.55,-2478077108.3,2.0,232119756269000.0,0.0,0.00195296214393,0.12499839544,105,0.125,0.124991181658
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2547917148.74,3114477.09627,-2547917148.74,-2545714880.86,-2550119416.61,-2549899189.83,-2545935107.65,2.0,9699967583170.0,0.0,0.00390610800096,0.12499839544,110,0.125,0.249994121105
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2589018269.97,4273002.90202,-2589018269.97,-2585996800.64,-2592039739.29,-2591737592.36,-2586298947.57,2.0,18258553800700.0,0.0,0.00390629171407,0.12499839544,115,0.125,0.250005878895
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2647358499.64,8993734.72606,-2647358499.64,-2640998968.83,-2653718030.45,-2653082077.37,-2641634921.91,2.0,80887264322700.0,0.0,0.00390629171407,0.12499839544,120,0.125,0.250005878895
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2696699142.79,4873009.56916,-2696699142.79,-2693253404.68,-2700144880.9,-2699800307.09,-2693597978.49,2.0,23746222261100.0,0.0,0.00195314585703,0.12499839544,125,0.125,0.125002939447
720.0,-395.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-268672337767000.0,6419634.59696,-268672337767000.0,-268672333228000.0,-268672342307000.0,-268672341853000.0,-268672333682000.0,2.0,41211708358500.0,2.43433201164e-13,0.00781194885362,0.25,28,0.25,0.124991181658
720.0,-395.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-268672390581000.0,2285742.18191,-268672390581000.0,-268672388965000.0,-268672392198000.0,-268672392036000.0,-268672389127000.0,2.0,5224617322180.0,2.43433201164e-13,0.0156246325691,0.25,33,0.25,0.249994121105
720.0,-395.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-268672438924000.0,1401353.38925,-268672438924000.0,-268672437933000.0,-268672439914000.0,-268672439815000.0,-268672438032000.0,2.0,1963791321550.0,2.43433201164e-13,0.0156253674309,0.25,38,0.25,0.250005878895
