smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1054488504.32,287734.719208,-1054476213.0,-1054235494.7,-1054766096.58,-1054757309.19,-1054236907.29,4.0,82791268637.7,3.46688419418e-13,0.249981948155,0.0077971186374,0.12498974865,0.249546279492,78
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1060883669.14,227914.494413,-1060869478.26,-1060619561.57,-1061176158.45,-1061131363.35,-1060655842.14,4.0,51945016763.4,3.46688419418e-13,0.249981948155,0.00782629995845,0.125002976198,0.250453720508,99
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1075051663.97,141295.439894,-1075019317.83,-1074919758.3,-1075248261.9,-1075218358.37,-1074930254.15,4.0,19964401334.8,3.46688419418e-13,0.249981948155,0.0155950624366,0.249992724848,0.249546279492,83
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1117266930.25,407146.083171,-1117308908.41,-1116736979.98,-1117712924.22,-1117664881.4,-1116810209.68,4.0,165767933042.0,3.46688419418e-13,0.249981948155,0.0155959701145,0.250007275152,0.249546279492,88
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1159425587.99,631617.012128,-1159486628.87,-1158648440.32,-1160080653.91,-1160033482.91,-1158732235.85,4.0,398940050009.0,3.46688419418e-13,0.249981948155,0.0155959701145,0.250007275152,0.249546279492,93
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1201751100.91,233076.498956,-1201778254.42,-1201442753.51,-1202005141.28,-1201975712.92,-1201488473.98,4.0,54324654365.7,3.46688419418e-13,0.249981948155,0.00779794379918,0.125002976198,0.249546279492,98
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1212061148.71,423768.601356,-1212001365.48,-1211613115.64,-1212628748.24,-1212544527.49,-1211661466.44,4.0,179579827495.0,3.46688419418e-13,0.249981948155,0.0077971186374,0.12498974865,0.249546279492,77
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1221166351.18,529752.529952,-1220925397.84,-1220855302.39,-1221959306.64,-1221805951.79,-1220864085.24,4.0,280637742991.0,3.46688419418e-13,0.249981948155,0.0155950624366,0.249992724848,0.249546279492,82
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1263486019.28,382085.71262,-1263470100.56,-1263052650.84,-1263951225.16,-1263898393.37,-1263095931.4,4.0,145989491788.0,3.46688419418e-13,0.249981948155,0.0155959701145,0.250007275152,0.249546279492,87
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1273937236.14,531954.757807,-1274073633.54,-1273184348.29,-1274417329.2,-1274378498.19,-1273305017.74,4.0,282975864353.0,3.46688419418e-13,0.124990974078,0.00195636794902,0.12498974865,0.125226860254,105
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1305891009.22,412119.035081,-1305741282.86,-1305583923.76,-1306497547.38,-1306389411.33,-1305602224.0,4.0,169842099076.0,3.46688419418e-13,0.249981948155,0.0155959701145,0.250007275152,0.249546279492,92
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1316065358.37,407507.695114,-1316060253.18,-1315573924.72,-1316567002.37,-1316498476.26,-1315639387.73,4.0,166062521577.0,3.46688419418e-13,0.124990974078,0.00391294293863,0.249992724848,0.125226860254,110
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1348226152.08,161436.978208,-1348188550.84,-1348074023.23,-1348453483.39,-1348416197.46,-1348088748.42,4.0,26061897932.9,3.46688419418e-13,0.249981948155,0.00779794379918,0.125002976198,0.249546279492,97
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1357892748.78,623036.592227,-1358091025.88,-1356994971.43,-1358393971.94,-1358366488.52,-1357141421.1,4.0,388174595254.0,3.46688419418e-13,0.124990974078,0.00391317068328,0.250007275152,0.125226860254,115
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1369041632.96,433373.455422,-1369197633.44,-1368403677.73,-1369367587.25,-1369346246.08,-1368518619.19,4.0,187812551864.0,3.46688419418e-13,0.249981948155,0.00391273589804,0.12498974865,0.125226860254,76
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1370061601.8,478722.424684,-1370038398.59,-1369579143.39,-1370590466.64,-1370551898.12,-1369603789.99,4.0,229175159896.0,3.46688419418e-13,0.249981948155,0.00782588587727,0.249992724848,0.125226860254,81
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1399522209.08,542410.233574,-1399523189.51,-1398944926.78,-1400097530.53,-1400060944.68,-1398982100.89,4.0,294208861485.0,3.46688419418e-13,0.124990974078,0.00391317068328,0.250007275152,0.125226860254,120
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1412854503.02,958206.746769,-1413057513.82,-1411516816.24,-1413786168.19,-1413689707.02,-1411735083.89,4.0,918160169554.0,3.46688419418e-13,0.249981948155,0.00782634136657,0.250007275152,0.125226860254,86
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1438906421.5,648965.701307,-1438855121.87,-1438332389.86,-1439583052.39,-1439546644.85,-1438338017.62,4.0,421156481473.0,3.46688419418e-13,0.124990974078,0.00391273589804,0.12498974865,0.250453720508,104
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1441735263.09,338686.763034,-1441760847.6,-1441379787.03,-1442039570.13,-1442035089.01,-1441399618.86,4.0,114708723454.0,3.46688419418e-13,0.124990974078,0.00195657498961,0.125002976198,0.125226860254,125
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1455505387.17,1023065.09008,-1455588299.43,-1454372916.33,-1456472033.49,-1456440617.35,-1454454079.83,4.0,1046662178540.0,3.46688419418e-13,0.249981948155,0.00782634136657,0.250007275152,0.125226860254,91
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1464682062.96,901760.117401,-1464607852.55,-1463834577.1,-1465677969.62,-1465607354.33,-1463860666.15,4.0,813171309335.0,3.46688419418e-13,0.124990974078,0.00782588587727,0.249992724848,0.250453720508,109
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1497344500.51,425238.79422,-1497305659.3,-1496872302.23,-1497894381.21,-1497818679.54,-1496924699.18,4.0,180828032110.0,3.46688419418e-13,0.249981948155,0.00391314997922,0.125002976198,0.125226860254,96
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1506438750.56,205089.16364,-1506403326.51,-1506228483.22,-1506719866.02,-1506674601.63,-1506252493.17,4.0,42061565042.4,3.46688419418e-13,0.124990974078,0.00782634136657,0.250007275152,0.250453720508,114
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1549021090.24,569026.383128,-1549047552.29,-1548299641.09,-1549689615.29,-1549598670.28,-1548406463.33,4.0,323791024696.0,3.46688419418e-13,0.124990974078,0.00782634136657,0.250007275152,0.250453720508,119
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1591456294.0,321300.952148,-1591557061.54,-1590991802.09,-1591719250.81,-1591702034.14,-1591069479.29,4.0,103234301851.0,3.46688419418e-13,0.124990974078,0.00391314997922,0.125002976198,0.250453720508,124
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1599722405.62,777635.677079,-1599710083.92,-1598785386.43,-1600684068.23,-1600549119.2,-1598912942.43,4.0,604717246266.0,3.46688419418e-13,0.124990974078,0.0038985593187,0.12498974865,0.249546279492,103
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1618733674.76,234299.077709,-1618682451.5,-1618516718.08,-1619053077.95,-1619008275.61,-1618530786.47,4.0,54896057815.2,3.46688419418e-13,0.124990974078,0.00779753121829,0.249992724848,0.249546279492,108
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1660915716.59,293188.645118,-1660981597.23,-1660519096.91,-1661180574.98,-1661166367.61,-1660572832.68,4.0,85959581626.2,3.46688419418e-13,0.124990974078,0.00779798505727,0.250007275152,0.249546279492,113
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1703405779.34,383037.342474,-1703386270.74,-1702995788.93,-1703854786.96,-1703812510.09,-1703026360.64,4.0,146717605729.0,3.46688419418e-13,0.124990974078,0.00779798505727,0.250007275152,0.249546279492,118
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1746003348.51,483219.054678,-1746137654.01,-1745335503.98,-1746402582.01,-1746388611.03,-1745430058.27,4.0,233500654804.0,3.46688419418e-13,0.124990974078,0.00389897189959,0.125002976198,0.249546279492,123
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1757703632.86,286370.420084,-1757723032.8,-1757346274.73,-1758022191.09,-1757990770.24,-1757389335.54,4.0,82008017499.0,3.46688419418e-13,0.124990974078,0.0038985593187,0.12498974865,0.249546279492,102
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1772024487.62,316787.532154,-1771957237.92,-1771743491.6,-1772439983.03,-1772388896.28,-1771754228.53,4.0,100354340528.0,3.46688419418e-13,0.124990974078,0.00779753121829,0.249992724848,0.249546279492,107
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1814972923.78,332900.213166,-1814980384.6,-1814584384.36,-1815346541.54,-1815313304.08,-1814622098.31,4.0,110822551926.0,3.46688419418e-13,0.124990974078,0.00779798505727,0.250007275152,0.249546279492,112
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1856855866.81,372187.257001,-1856985109.38,-1856326238.18,-1857127010.32,-1857123516.94,-1856407277.1,4.0,138523354274.0,3.46688419418e-13,0.124990974078,0.00779798505727,0.250007275152,0.249546279492,117
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1899882704.94,424907.687631,-1899779524.52,-1899488845.59,-1900482925.12,-1900384883.3,-1899524979.16,4.0,180546543008.0,3.46688419418e-13,0.124990974078,0.00389897189959,0.125002976198,0.249546279492,122
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1914711805.54,404218.930933,-1914596175.93,-1914368531.02,-1915286339.26,-1915196025.0,-1914389467.52,4.0,163392944125.0,3.46688419418e-13,0.124990974078,0.00195636794902,0.12498974865,0.125226860254,101
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1926732721.65,224842.759531,-1926749295.61,-1926442079.28,-1926990216.11,-1926956025.21,-1926486214.55,4.0,50554266513.6,3.46688419418e-13,0.124990974078,0.00391294293863,0.249992724848,0.125226860254,106
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1969230848.95,830442.875218,-1969324440.74,-1968128831.93,-1970145682.38,-1970023032.31,-1968307637.08,4.0,689635369001.0,3.46688419418e-13,0.124990974078,0.00391317068328,0.250007275152,0.125226860254,111
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2011397001.8,980975.120698,-2011701850.34,-2009986528.06,-2012197778.47,-2012151530.12,-2010215685.54,4.0,962312187428.0,3.46688419418e-13,0.124990974078,0.00391317068328,0.250007275152,0.125226860254,116
