npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2082098507.89,36434519.5832,2082098507.89,2107861603.76,2056335412.02,2058911721.61,2105285294.17,2.0,1327474217260000.0,1.21200144652e-13,0.125,0.00781264897013,0.250004767044,0.25,52
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2074191824.59,19553338.626,2074191824.59,2088018122.93,2060365526.26,2061748156.09,2086635493.1,2.0,382333051424000.0,1.21200144652e-13,0.25,0.0156252979403,0.250004767044,0.25,94
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2072588135.77,5553243.29086,2072588135.77,2076514871.76,2068661399.78,2069054073.38,2076122198.16,2.0,30838511047500.0,1.21200144652e-13,0.125,0.00390602654481,0.124992849434,0.25,2
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2063166717.28,17058987.8806,2063166717.28,2075229243.29,2051104191.27,2052310443.87,2074022990.69,2.0,291009067511000.0,1.21200144652e-13,0.25,0.00781264897013,0.125002383522,0.25,107
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2062603838.28,18672965.8726,2062603838.28,2075807619.07,2049400057.48,2050720435.56,2074487240.99,2.0,348679654479000.0,1.21200144652e-13,0.25,0.00781284756262,0.124992849434,0.250025424591,8
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2055416369.68,51941716.3556,2055416369.68,2092144709.54,2018688029.82,2022360863.81,2088471875.56,2.0,2697941897970000.0,1.21200144652e-13,0.125,0.00781264897013,0.250004767044,0.25,77
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2042954061.76,49260853.0234,2042954061.76,2077786744.98,2008121378.54,2011604646.86,2074303476.66,2.0,2426631640590000.0,1.21200144652e-13,0.25,0.0156268870075,0.250004767044,0.250025424591,83
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2041446269.45,13213688.4407,2041446269.45,2050789758.15,2032102780.75,2033037129.62,2049855409.28,2.0,174601562209000.0,1.21200144652e-13,0.25,0.0156268870075,0.250004767044,0.250025424591,58
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2034515457.04,10547248.0112,2034515457.04,2041973487.63,2027057426.45,2027803229.51,2041227684.57,2.0,111244440609000.0,1.21200144652e-13,0.25,0.00781344350374,0.125002383522,0.250025424591,113
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2032569017.39,7880726.13639,2032569017.39,2038141532.28,2026996502.5,2027553753.99,2037584280.79,2.0,62105844436800.0,1.21200144652e-13,0.125,0.00781314553318,0.249995232956,0.250025424591,28
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2031446660.76,40824534.5488,2031446660.76,2060313965.98,2002579355.54,2005466086.07,2057427235.46,2.0,1666642621120000.0,1.21200144652e-13,0.25,0.00781264897013,0.125002383522,0.25,119
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2028065119.94,4319112.11385,2028065119.94,2031119193.4,2025011046.47,2025316453.82,2030813786.06,2.0,18654729452000.0,1.21200144652e-13,0.25,0.00781185443652,0.250004767044,0.124987287705,70
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2027173671.58,35601994.6844,2027173671.58,2052348083.45,2001999259.72,2004516700.91,2049830642.26,2.0,1267502025500000.0,1.21200144652e-13,0.25,0.00781205308962,0.124992849434,0.25,14
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1994740219.4,54968730.306,1994740219.4,2033608981.35,1955871457.45,1959758333.64,2029722105.16,2.0,3021561311450000.0,1.21200144652e-13,0.125,0.00390632448506,0.125002383522,0.25,102
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1955074517.55,82340374.6147,1955074517.55,2013297954.81,1896851080.3,1902673424.02,2007475611.08,2.0,6779937291700000.0,1.21200144652e-13,0.25,0.0156247020597,0.249995232956,0.25,34
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1934486520.15,106444233.915,1934486520.15,2009753959.77,1859219080.53,1866745824.5,2002227215.81,2.0,1.13303749339e+16,1.21200144652e-13,0.25,0.00781344350374,0.125002383522,0.250025424591,108
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1931371296.3,28067359.1115,1931371296.3,1951217916.25,1911524676.34,1913509338.34,1949233254.26,2.0,787776647492000.0,1.21200144652e-13,0.25,0.00781155652656,0.249995232956,0.124987287705,40
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1930991951.91,16816089.8567,1930991951.91,1942882723.08,1919101180.74,1920290257.85,1941693645.96,2.0,282780878067000.0,1.21200144652e-13,0.25,0.0156252979403,0.250004767044,0.25,89
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1917618590.1,61179076.6017,1917618590.1,1960878730.03,1874358450.17,1878684464.16,1956552716.04,2.0,3742879413840000.0,1.21200144652e-13,0.25,0.0156252979403,0.250004767044,0.25,59
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1911325911.45,1168226.96508,1911325911.45,1912151972.66,1910499850.24,1910582456.36,1912069366.54,2.0,1364754241930.0,1.21200144652e-13,0.25,0.00781185443652,0.250004767044,0.124987287705,95
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1909166427.38,122148854.217,1909166427.38,1995538710.51,1822794144.25,1831431372.56,1986901482.2,2.0,1.49203425864e+16,1.21200144652e-13,0.125,0.00781344350374,0.250004767044,0.250025424591,53
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1903907467.06,103199234.239,1903907467.06,1976880345.4,1830934588.72,1838231876.55,1969583057.57,2.0,1.06500819474e+16,1.21200144652e-13,0.25,0.00781264897013,0.125002383522,0.25,114
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1883760726.06,41103702.3093,1883760726.06,1912825432.7,1854696019.43,1857602490.09,1909918962.03,2.0,1689514343530000.0,1.21200144652e-13,0.25,0.00390592721826,0.125002383522,0.124987287705,120
