smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-529326751.831,10317083.6505,-530444860.241,-508698293.102,-547379017.527,-542306069.594,-512843256.825,10.0,106442215050000.0,0.250018051845,0.0155978010819,0.250000519641,0.249546279492,2.4762864257000002e-14,37
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-599169266.705,12122331.0112,-598423994.161,-579086315.683,-619048331.757,-615561666.677,-581079825.453,10.0,146950909146000.0,0.250018051845,0.00782726017928,0.250000519641,0.125226860254,2.4762864257000002e-14,36
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-643283545.952,30796158.9927,-642946307.503,-583800139.729,-684436310.085,-684435734.661,-600034297.951,10.0,948403408706000.0,0.249981948155,0.00782610031248,0.249999574839,0.125226860254,2.4762864257000002e-14,81
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-652979000.838,37549449.0395,-654133580.153,-605909740.47,-721989735.823,-710726351.415,-611573784.201,10.0,1409961123170000.0,0.124990974078,0.00779774487657,0.249999574839,0.249546279492,2.4762864257000002e-14,108
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-670774753.285,17002907.8214,-675740957.237,-634376188.417,-686300509.404,-685449578.808,-640091442.557,10.0,289098874383000.0,0.250018051845,0.0155978010819,0.250000519641,0.249546279492,2.4762864257000002e-14,63
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-758881298.75,17763023.7191,-759247624.839,-727027390.831,-785902158.706,-781830322.392,-731677551.496,10.0,315525011645000.0,0.250018051845,0.0155978010819,0.250000519641,0.249546279492,2.4762864257000002e-14,62
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-803231900.578,33376571.6966,-815980849.136,-749741542.063,-835871761.789,-835040182.632,-750519121.582,10.0,1113995538220000.0,0.249981948155,0.015652259778,0.250000519641,0.250453720508,2.4762864257000002e-14,89
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-818292194.423,30280357.1521,-826441053.807,-766469346.012,-860402793.218,-853796454.156,-774267064.763,10.0,916900029260000.0,0.124990974078,0.00779774487657,0.249999574839,0.249546279492,2.4762864257000002e-14,107
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-870881388.098,27558621.2639,-883356517.164,-822810250.7,-901348035.208,-897676665.437,-828436903.837,10.0,759477605966000.0,0.250018051845,0.00782726017928,0.250000519641,0.125226860254,2.4762864257000002e-14,61
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-922136893.831,29752604.8314,-919216998.339,-882774053.848,-974703222.523,-970259897.37,-884416589.29,10.0,885217494256000.0,0.249981948155,0.0155955486918,0.250000519641,0.249546279492,2.4762864257000002e-14,88
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-929449656.488,33410679.8417,-932848357.234,-868278352.203,-975087486.938,-973677394.072,-885143629.738,10.0,1116273527480000.0,0.124990974078,0.0039130649445,0.250000519641,0.125226860254,2.4762864257000002e-14,115
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-935682279.828,6042033.02777,-934319095.819,-928676451.578,-949103605.429,-945812428.332,-929702554.529,10.0,36506163108700.0,0.124990974078,0.00391306346567,0.250000425161,0.125226860254,2.4762864257000002e-14,16
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-960209521.308,23458535.5903,-956891050.147,-931622960.905,-998137824.015,-992986456.18,-931797557.067,10.0,550302892041000.0,0.124990974078,0.00391305015624,0.249999574839,0.125226860254,2.4762864257000002e-14,106
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1040109315.05,18449344.267,-1037777696.22,-1012276684.85,-1066214063.13,-1065451381.67,-1016296818.99,10.0,340378303881000.0,0.249981948155,0.0155955486918,0.250000519641,0.249546279492,2.4762864257000002e-14,87
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1059465417.87,36316633.9443,-1063215477.92,-1003253759.41,-1105529481.28,-1100806242.51,-1011960077.28,10.0,1318897901040000.0,0.124990974078,0.007826129889,0.250000519641,0.250453720508,2.4762864257000002e-14,114
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1079763120.35,10869289.8829,-1076674513.26,-1066210329.61,-1100954821.51,-1096918197.45,-1067701549.73,10.0,118141462559000.0,0.250018051845,0.0155977951872,0.250000425161,0.249546279492,2.4762864257000002e-14,42
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1160611386.17,10588879.6986,-1164766020.62,-1140718072.91,-1172053295.15,-1171323522.72,-1143076669.45,10.0,112124373271000.0,0.250018051845,0.0078272572212,0.250000425161,0.125226860254,2.4762864257000002e-14,41
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1196232908.45,42509468.8003,-1190800189.42,-1126774909.16,-1268074163.04,-1255158097.28,-1138955992.4,10.0,1807054937690000.0,0.249981948155,0.007826129889,0.250000519641,0.125226860254,2.4762864257000002e-14,86
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1214801450.39,23079998.3254,-1215961442.24,-1180026401.19,-1253687009.46,-1244177459.14,-1183752465.69,10.0,532686322702000.0,0.250018051845,0.0155977951872,0.250000425161,0.249546279492,2.4762864257000002e-14,68
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1232095025.17,44836882.1924,-1238825021.97,-1155797835.41,-1307815273.66,-1293935692.76,-1165404994.3,10.0,2010346004730000.0,0.124990974078,0.00779777434592,0.250000519641,0.249546279492,2.4762864257000002e-14,113
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1321527035.27,33425127.1395,-1324439430.9,-1277931267.02,-1387604288.42,-1369838666.1,-1279328952.23,10.0,1117239124290000.0,0.250018051845,0.0155977951872,0.250000425161,0.249546279492,2.4762864257000002e-14,67
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1367453400.14,36402306.2893,-1362479361.86,-1308056678.12,-1422474875.74,-1419638698.82,-1322519367.09,10.0,1325127903180000.0,0.249981948155,0.0156522538627,0.250000425161,0.250453720508,2.4762864257000002e-14,94
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1375882387.87,54262284.5456,-1390766572.7,-1293402661.71,-1443545457.32,-1433177129.3,-1298623349.26,10.0,2944395524110000.0,0.124990974078,0.00779777434592,0.250000519641,0.249546279492,2.4762864257000002e-14,112
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1459638001.65,20240973.5864,-1464224028.51,-1414837091.05,-1479030130.19,-1478457805.28,-1423749562.04,10.0,409697011724000.0,0.250018051845,0.0078272572212,0.250000425161,0.125226860254,2.4762864257000002e-14,66
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1468656361.42,27643309.2612,-1467207907.27,-1427220599.56,-1512046831.44,-1506340217.53,-1428024708.11,10.0,764152546912000.0,0.249981948155,0.015595542798,0.250000425161,0.249546279492,2.4762864257000002e-14,93
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1487297089.93,7670285.49655,-1488052614.95,-1475004138.84,-1501591795.66,-1497531962.25,-1477060539.36,10.0,58833279598500.0,0.124990974078,0.00195653099342,0.12500016534,0.125226860254,2.4762864257000002e-14,21
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1499449798.72,49451794.0263,-1503347091.58,-1427202680.82,-1569996280.29,-1567291328.3,-1434666680.67,10.0,2445479932420000.0,0.124990974078,0.00391306346567,0.250000425161,0.125226860254,2.4762864257000002e-14,120
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1544825071.76,47550354.9371,-1535623892.37,-1491752865.34,-1649828234.94,-1616349537.32,-1493131542.22,10.0,2261036254650000.0,0.124990974078,0.0039130649445,0.250000519641,0.125226860254,2.4762864257000002e-14,111
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1620974545.14,26952871.4919,-1627095299.27,-1587822682.15,-1655702752.53,-1653842606.12,-1588060043.0,10.0,726457281660000.0,0.249981948155,0.015595542798,0.250000425161,0.249546279492,2.4762864257000002e-14,92
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1634576566.88,11556877.1478,-1631659238.46,-1619401339.28,-1655395026.64,-1654184283.42,-1621695926.56,10.0,133561409410000.0,0.250018051845,0.00779889464623,0.12500016534,0.249546279492,2.4762864257000002e-14,47
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1650339180.5,32528165.8866,-1659463811.54,-1591102421.45,-1689204255.43,-1684870380.62,-1596845205.25,10.0,1058081575950000.0,0.124990974078,0.00782612693135,0.250000425161,0.250453720508,2.4762864257000002e-14,119
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1729822946.25,11551117.2802,-1727908181.73,-1714912857.12,-1748832425.12,-1747444843.67,-1716295361.78,10.0,133428310422000.0,0.250018051845,0.00391362713156,0.12500016534,0.125226860254,2.4762864257000002e-14,46
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1778742707.22,30384744.3396,-1791083823.26,-1725473119.01,-1817745799.8,-1810719004.11,-1731790936.24,10.0,923232688586000.0,0.249981948155,0.00782612693135,0.250000425161,0.125226860254,2.4762864257000002e-14,91
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1791370742.67,27983976.9141,-1785005514.72,-1756086292.82,-1832097727.12,-1828359143.77,-1761041848.49,10.0,783102963930000.0,0.250018051845,0.00779889464623,0.12500016534,0.249546279492,2.4762864257000002e-14,73
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1821799029.95,47236147.6517,-1822802897.77,-1750830174.55,-1885801686.75,-1884434358.85,-1752272819.02,10.0,2231253644970000.0,0.124990974078,0.00779777139899,0.250000425161,0.249546279492,2.4762864257000002e-14,118
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1911066590.98,18970225.3665,-1915035745.47,-1877876241.07,-1937746517.51,-1934719188.07,-1884842777.19,10.0,359869450454000.0,0.250018051845,0.00779889464623,0.12500016534,0.249546279492,2.4762864257000002e-14,72
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1937255688.43,39005363.0503,-1934695553.55,-1870939005.41,-2013763032.28,-1993404343.87,-1887421569.23,10.0,1521418346690000.0,0.249981948155,0.0078261239737,0.12500016534,0.250453720508,2.4762864257000002e-14,99
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1976142560.31,28500971.4232,-1978469889.17,-1933091909.23,-2024721708.77,-2015926939.31,-1939101904.19,10.0,812305372066000.0,0.124990974078,0.00779777139899,0.250000425161,0.249546279492,2.4762864257000002e-14,117
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2006677904.71,34102102.9177,-2001814618.72,-1963016954.91,-2079632507.58,-2062872032.78,-1968277629.53,10.0,1162953423410000.0,0.250018051845,0.00391362713156,0.12500016534,0.125226860254,2.4762864257000002e-14,71
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2056670305.32,38354976.7042,-2057026940.62,-1997465855.66,-2115445002.93,-2108112138.02,-2003524505.63,10.0,1471104237980000.0,0.249981948155,0.00779776845205,0.12500016534,0.249546279492,2.4762864257000002e-14,98
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2077075158.48,33844716.2817,-2090319922.0,-2027039056.79,-2112447812.53,-2111233234.86,-2031677792.04,10.0,1145464820190000.0,0.124990974078,0.00195653099342,0.12500016534,0.125226860254,2.4762864257000002e-14,125
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2137843628.38,50547294.4078,-2136514635.33,-2070053250.48,-2216582939.11,-2208905181.42,-2074688938.2,10.0,2555028971950000.0,0.124990974078,0.00391306346567,0.250000425161,0.125226860254,2.4762864257000002e-14,116
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2228715287.73,25944767.3572,-2227419277.34,-2180896638.9,-2260954647.48,-2260804590.86,-2192994156.01,10.0,673130953217000.0,0.249981948155,0.00779776845205,0.12500016534,0.249546279492,2.4762864257000002e-14,97
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2246667697.53,51159552.9421,-2247043435.75,-2157238273.26,-2313044228.9,-2308816871.89,-2165677832.32,10.0,2617299857240000.0,0.124990974078,0.00391306198685,0.12500016534,0.250453720508,2.4762864257000002e-14,124
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2365888843.62,31060578.0136,-2360977357.89,-2314019469.67,-2416522880.59,-2412543598.51,-2326265047.82,10.0,964759506538000.0,0.249981948155,0.00391306198685,0.12500016534,0.125226860254,2.4762864257000002e-14,96
