smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,54350526.4628,1250581.95414,54542094.6287,55654176.8327,52663739.7612,52916695.475,55516162.0184,4.0,1563955224020.0,0.00782734744372,0.250018051845,1.7334191682000001e-13,61,0.250003306843,0.125226860254
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,21991130.4364,692973.837823,21993647.8628,22720969.0506,21256256.9693,21302529.5795,22676206.8962,4.0,480212739908.0,0.00779900812097,0.250018051845,1.7334191682000001e-13,72,0.125001984106,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-12113715.9442,2880480.29852,-11898671.823,-8863619.43946,-15793900.6912,-15297856.9919,-9230636.66603,4.0,8297166750180.0,0.0156524342817,0.249981948155,1.7334191682000001e-13,89,0.250003306843,0.250453720508
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-16642260.1721,3803183.58641,-17355469.8438,-11674741.9676,-20183359.0332,-20000103.4361,-12285923.3678,4.0,14464205391900.0,0.00779742807743,0.249981948155,1.7334191682000001e-13,78,0.124994709051,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-28837188.0869,1906444.73347,-28226606.0574,-27402938.9052,-31492601.3278,-31111370.9833,-27417820.032,4.0,3634531521780.0,0.00782734744372,0.250018051845,1.7334191682000001e-13,66,0.250003306843,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-51539594.1535,2082696.72374,-51468212.8065,-49672805.0451,-53549145.9559,-53485288.5262,-49693833.6665,4.0,4337625643070.0,0.0155953099878,0.249981948155,1.7334191682000001e-13,83,0.249996693157,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-94300382.9184,1796078.85174,-94677950.8467,-92083174.0246,-95762455.9557,-95761992.1964,-92310178.5408,4.0,3225899241670.0,0.0156524342817,0.249981948155,1.7334191682000001e-13,94,0.250003306843,0.250453720508
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-112899496.877,1162692.22571,-113131277.624,-111421523.208,-113913909.052,-113887427.009,-111587073.699,4.0,1351853211720.0,0.00391368407525,0.250018051845,1.7334191682000001e-13,71,0.125001984106,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-135954314.61,2810704.6349,-135685331.374,-133480136.156,-138966459.534,-138780982.571,-133504223.177,4.0,7900060544660.0,0.0155957225633,0.249981948155,1.7334191682000001e-13,88,0.250003306843,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-152255776.465,4787858.99498,-152214474.205,-146780933.739,-157813223.713,-157271685.951,-147297690.144,4.0,22923593755800.0,0.00195644559034,0.124990974078,1.7334191682000001e-13,105,0.124994709051,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-176550606.009,3178214.29725,-177139699.517,-172396098.942,-179526926.06,-179367008.657,-172909472.45,4.0,10101046119200.0,0.00779742807743,0.249981948155,1.7334191682000001e-13,77,0.124994709051,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-177578699.665,1509168.27305,-177831437.792,-175516205.639,-179135717.437,-178957448.171,-175846117.781,4.0,2277588876380.0,0.00782623784463,0.249981948155,1.7334191682000001e-13,99,0.125001984106,0.250453720508
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-194754759.686,3762149.04767,-195984522.749,-189265496.996,-197784496.248,-197552053.207,-190235797.876,4.0,14153765456900.0,0.0155953099878,0.249981948155,1.7334191682000001e-13,82,0.249996693157,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-219960935.748,2419977.22532,-219406789.866,-217665008.332,-223365154.928,-222804044.227,-217893631.504,4.0,5856289771070.0,0.0155957225633,0.249981948155,1.7334191682000001e-13,93,0.250003306843,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-236096222.336,4617819.75029,-236458905.995,-230147087.764,-241319989.588,-240698459.361,-230986228.187,4.0,21324259246100.0,0.00391300505149,0.124990974078,1.7334191682000001e-13,110,0.249996693157,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-278927120.788,2133418.28225,-279128495.657,-276201370.443,-281250121.393,-281023566.085,-276548750.673,4.0,4551473567050.0,0.0155957225633,0.249981948155,1.7334191682000001e-13,87,0.250003306843,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-303734994.967,2257916.58294,-303591606.05,-301343405.861,-306413361.906,-306153043.453,-301517690.964,4.0,5098187295490.0,0.00779788191041,0.249981948155,1.7334191682000001e-13,98,0.125001984106,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-320184917.727,3534887.76072,-321175374.046,-315143258.235,-323245664.58,-323026225.798,-315956970.808,4.0,12495431480900.0,0.00391310857042,0.124990974078,1.7334191682000001e-13,115,0.250003306843,0.125226860254
