smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,68276740.958,465100.67184,68276740.958,68605616.797,67947865.119,67980752.7029,68572729.2131,2.0,216318634946.0,211,1.21719856843e-13,0.11110627741,0.000686903322476,0.0556451612903,0.111103979461
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,47376386.4696,1028725.83873,47376386.4696,48103805.4861,46648967.453,46721709.3547,48031063.5845,2.0,1058276851280.0,314,1.21719856843e-13,0.11110627741,0.00136424547336,0.110483870968,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,46219908.7642,666569.410198,46219908.7642,46691244.5143,45748573.0142,45795706.5892,46644110.9393,2.0,444314778612.0,243,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,45970937.3733,304304.134182,45970937.3733,46186112.8902,45755761.8565,45777279.4082,46164595.3385,2.0,92601006080.0,172,1.21719856843e-13,0.111112744118,0.00137388660449,0.111290322581,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,43133830.4726,2057349.50367,43133830.4726,44588596.2579,41679064.6873,41824541.2658,44443119.6794,2.0,4232686980250.0,201,1.21719856843e-13,0.0555501992922,0.000343433488615,0.0556451612903,0.111103979461
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,40927943.7203,167097.934945,40927943.7203,41046099.8032,40809787.6374,40821603.2457,41034284.1949,2.0,27921719862.8,232,1.21719856843e-13,0.111112744118,0.00137388660449,0.111290322581,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,40041759.8298,1371515.80217,40041759.8298,41011567.9541,39071951.7056,39168932.518,40914587.1416,2.0,1881055595600.0,161,1.21719856843e-13,0.111112156236,0.000686939667721,0.0556451612903,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,29689710.8097,740118.862948,29689710.8097,30213053.8766,29166367.7428,29218702.0495,30160719.5699,2.0,547775931291.0,221,1.21719856843e-13,0.111112744118,0.000686943302245,0.0556451612903,0.111103979461
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,9875013.98028,1596788.98641,9875013.98028,11004114.3007,8745913.65987,8858823.69191,10891204.2687,2.0,2549735067130.0,324,1.21719856843e-13,0.111112744118,0.00136432487641,0.110483870968,0.111136071887
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,8457437.77855,904064.63334,8457437.77855,9096708.01142,7818167.54569,7882094.56897,9032780.98813,2.0,817332861256.0,303,1.21719856843e-13,0.0555501992922,0.000687065379015,0.111290322581,0.111136071887
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,6398615.39472,89939.6436513,6398615.39472,6462212.32664,6335018.46279,6341378.15598,6455852.63345,2.0,8089139500.13,182,1.21719856843e-13,0.111112744118,0.00137388660449,0.111290322581,0.111103979461
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,5574483.43948,659814.449649,5574483.43948,6041042.71115,5107924.1678,5154580.09497,5994386.78398,2.0,435355107966.0,253,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,3198131.12902,213690.108787,3198131.12902,3349232.85401,3047029.40402,3062139.57652,3334122.68151,2.0,45663462593.3,313,1.21719856843e-13,0.11110627741,0.00137420346952,0.111290322581,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,1906981.94136,308019.872324,1906981.94136,2124784.88182,1689179.0009,1710959.29495,2103004.58778,2.0,94876241746.3,242,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,1171038.0618,715210.12531,1171038.0618,1676767.99138,665308.132218,715881.125176,1626194.99842,2.0,511525523346.0,171,1.21719856843e-13,0.111112744118,0.000686943302245,0.0556451612903,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-8604155.89042,480226.209028,-8604155.89042,-8264584.68151,-8943727.09933,-8909769.97844,-8298541.8024,2.0,230617211837.0,231,1.21719856843e-13,0.111112744118,0.000686943302245,0.0556451612903,0.111103979461
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-28609160.3488,1477827.43759,-28609160.3488,-27564178.5463,-29654142.1514,-29549643.9711,-27668676.7266,2.0,2183973935280.0,405,1.21719856843e-13,0.0555501992922,0.000682086644385,0.110483870968,0.111136071887
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-29368039.5661,2049640.37505,-29368039.5661,-27918724.9579,-30817354.1743,-30672422.7135,-28063656.4188,2.0,4201025667050.0,334,1.21719856843e-13,0.111112744118,0.00136432487641,0.110483870968,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-31462751.8813,2470566.03127,-31462751.8813,-29715797.8873,-33209705.8754,-33035010.476,-29890493.2867,2.0,6103696514840.0,263,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-31666017.0264,305414.544252,-31666017.0264,-31450056.331,-31881977.7217,-31860381.6521,-31471652.4006,2.0,93278043840.9,192,1.21719856843e-13,0.0555560781178,0.000686939667721,0.111290322581,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-34853255.6277,324725.302154,-34853255.6277,-34623640.1645,-35082871.0909,-35059909.5446,-34646601.7109,2.0,105446521859.0,323,1.21719856843e-13,0.111112744118,0.00137428345215,0.111290322581,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-36060593.8286,987854.291095,-36060593.8286,-35362075.3606,-36759112.2967,-36689260.4499,-35431927.2074,2.0,975856100436.0,252,1.21719856843e-13,0.111112156236,0.00137387933544,0.111290322581,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-36875025.7748,885482.538218,-36875025.7748,-36248895.0674,-37501156.4822,-37438543.4115,-36311508.1381,2.0,784079325489.0,181,1.21719856843e-13,0.111112744118,0.000686943302245,0.0556451612903,0.111103979461
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-46559618.1068,681936.781467,-46559618.1068,-46077415.9843,-47041820.2294,-46993600.0171,-46125636.1966,2.0,465037773917.0,312,1.21719856843e-13,0.11110627741,0.00137420346952,0.111290322581,0.111136071887
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-49552437.6521,44483.0590753,-49552437.6521,-49520983.3794,-49583891.9249,-49580746.4976,-49524128.8067,2.0,1978742544.7,241,1.21719856843e-13,0.111112156236,0.000686939667721,0.0556451612903,0.111103979461
