smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,13329078.1874,32961485.3597,11030117.586,56115908.129,-48759128.9122,-33681783.5427,52844870.3637,10.0,1086459517120000.0,0.12498974865,104,0.250453720508,0.00391273589804,0.124990974078,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-4216506.5734,21932878.0396,-7448410.06436,30333839.0682,-44897057.5069,-31616021.2738,26475371.3241,10.0,481051139101000.0,0.125002976198,125,0.125226860254,0.00195657498961,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-6690379.16402,31788913.1697,-5972907.83699,37949863.4956,-60490292.7281,-48592769.7199,32973900.5824,10.0,1010535000510000.0,0.250007275152,87,0.249546279492,0.0155959701145,0.249981948155,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-33824478.1489,29656559.0813,-32299931.0166,15979045.3489,-70827509.6498,-70203863.7754,9672505.42443,10.0,879511496545000.0,0.12498974865,77,0.249546279492,0.0077971186374,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-34113955.3785,31313915.443,-35088141.02,12854664.0872,-83962089.0305,-78781935.2794,6007357.12211,10.0,980561300369000.0,0.250007275152,114,0.250453720508,0.00782634136657,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-38224859.6958,27997472.1265,-42350425.773,9836306.97235,-81677738.8538,-73303988.7162,3172104.38313,10.0,783858445474000.0,0.250007275152,92,0.249546279492,0.0155959701145,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-49473866.0845,36625771.6397,-48577048.8548,12326895.1543,-104080958.527,-98847092.6475,2949319.0521,10.0,1341447148200000.0,0.250007275152,119,0.250453720508,0.00782634136657,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-88865909.0022,30557357.1783,-86645656.6703,-43295560.5842,-135063298.522,-129844479.438,-47631942.134,10.0,933752077724000.0,0.125002976198,97,0.249546279492,0.00779794379918,0.249981948155,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-91965520.0704,15854509.8624,-91689985.4173,-66363638.6348,-113752344.325,-112003236.894,-68645391.8804,10.0,251365482976000.0,0.249992724848,81,0.125226860254,0.00782588587727,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-111062046.501,42387685.994,-117511496.324,-43285964.6785,-191377658.616,-165125345.037,-48015139.9629,10.0,1796715923930000.0,0.125002976198,124,0.250453720508,0.00391314997922,0.124990974078,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-142459826.565,25645504.0658,-144823710.725,-102777453.867,-174158479.637,-171331995.756,-109381195.495,10.0,657691878791000.0,0.249992724848,108,0.249546279492,0.00779753121829,0.124990974078,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-147769481.883,17268393.3512,-151476354.488,-113520337.852,-171426914.453,-168669560.267,-119277058.578,10.0,298197408932000.0,0.250007275152,86,0.125226860254,0.00782634136657,0.249981948155,3.46688419418e-13
