npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2296454930.8,4451268.28314,2296454930.8,2299602452.79,2293307408.81,2293622161.01,2299287700.59,2.0,19813789328500.0,0.125002383522,0.25,0.00781264897013,0.25,1.21200144652e-13,107
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2295501657.14,4147366.16749,2295501657.14,2298434287.88,2292569026.4,2292862289.47,2298141024.81,2.0,17200646127200.0,0.124992849434,0.25,0.00390602654481,0.125,1.21200144652e-13,2
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2273162421.24,220206.906357,2273162421.24,2273318131.04,2273006711.45,2273022282.43,2273302560.06,2.0,48491081607.3,0.124992849434,0.250025424591,0.00781284756262,0.25,1.21200144652e-13,13
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2265465886.92,635673.16304,2265465886.92,2265915375.72,2265016398.11,2265061346.99,2265870426.84,2.0,404080370210.0,0.250004767044,0.25,0.00781264897013,0.125,1.21200144652e-13,52
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2224530471.45,1117153.63332,2224530471.45,2225320418.36,2223740524.54,2223819519.23,2225241423.67,2.0,1248032240450.0,0.249995232956,0.250025424591,0.0156262910664,0.25,1.21200144652e-13,38
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2211261737.88,8243051.9431,2211261737.88,2217090455.81,2205433019.95,2206015891.75,2216507584.02,2.0,67947905336700.0,0.250004767044,0.25,0.00781264897013,0.125,1.21200144652e-13,77
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2160443869.22,3493626.75703,2160443869.22,2162914236.39,2157973502.05,2158220538.77,2162667199.68,2.0,12205427917400.0,0.250004767044,0.250025424591,0.0156268870075,0.25,1.21200144652e-13,63
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2154709780.82,7837160.90635,2154709780.82,2160251490.44,2149168071.2,2149722242.16,2159697319.48,2.0,61421091072100.0,0.125002383522,0.25,0.00390632448506,0.125,1.21200144652e-13,102
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2108105861.46,3234195.49022,2108105861.46,2110392783.03,2105818939.9,2106047632.06,2110164090.87,2.0,10460020469000.0,0.250004767044,0.250025424591,0.0156268870075,0.25,1.21200144652e-13,88
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2070279023.4,1264292.76075,2070279023.4,2071173013.39,2069385033.42,2069474432.42,2071083614.39,2.0,1598436184880.0,0.249995232956,0.250025424591,0.0156262910664,0.25,1.21200144652e-13,33
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2054157608.87,5439840.35888,2054157608.87,2058004156.87,2050311060.86,2050695715.66,2057619502.07,2.0,29591863130100.0,0.124992849434,0.250025424591,0.00781284756262,0.25,1.21200144652e-13,8
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2047863947.83,7243942.16323,2047863947.83,2052986188.46,2042741707.2,2043253931.27,2052473964.39,2.0,52474698064200.0,0.125002383522,0.250025424591,0.00781344350374,0.25,1.21200144652e-13,113
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2043511944.17,5520178.41441,2043511944.17,2047415299.76,2039608588.58,2039998924.14,2047024964.2,2.0,30472369727000.0,0.124992849434,0.25,0.00781205308962,0.25,1.21200144652e-13,19
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2016507831.02,3587941.36185,2016507831.02,2019044888.69,2013970773.35,2014224479.12,2018791182.92,2.0,12873323216000.0,0.250004767044,0.250025424591,0.0156268870075,0.25,1.21200144652e-13,58
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1977885447.95,3171672.99619,1977885447.95,1980128159.43,1975642736.47,1975867007.61,1979903888.28,2.0,10059509594800.0,0.249995232956,0.25,0.0156247020597,0.25,1.21200144652e-13,44
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1957508794.99,4321143.37279,1957508794.99,1960564304.77,1954453285.21,1954758836.18,1960258753.79,2.0,18672280048200.0,0.250004767044,0.250025424591,0.0156268870075,0.25,1.21200144652e-13,83
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1932138515.13,8078018.27919,1932138515.13,1937850536.64,1926426493.63,1926997695.78,1937279334.49,2.0,65254379318900.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,69
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1893498948.15,868548.367154,1893498948.15,1894113104.59,1892884791.71,1892946207.35,1894051688.95,2.0,754376266085.0,0.125002383522,0.250025424591,0.00781344350374,0.25,1.21200144652e-13,108
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1889152740.73,4750591.88605,1889152740.73,1892511916.47,1885793564.99,1886129482.56,1892175998.89,2.0,22568123267800.0,0.249995232956,0.250025424591,0.00781314553318,0.125,1.21200144652e-13,28
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1868950074.06,2632037.7929,1868950074.06,1870811205.83,1867088942.28,1867275055.46,1870625092.65,2.0,6927622943230.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,94
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1835570150.46,908401.028723,1835570150.46,1836212486.99,1834927813.93,1834992047.59,1836148253.34,2.0,825192428986.0,0.250004767044,0.250025424591,0.00781344350374,0.125,1.21200144652e-13,53
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1832028958.59,2728744.6837,1832028958.59,1833958472.46,1830099444.72,1830292396.1,1833765521.07,2.0,7446047548840.0,0.124992849434,0.250025424591,0.00390642378131,0.125,1.21200144652e-13,3
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1822239402.38,5396302.21687,1822239402.38,1826055164.27,1818423640.49,1818805216.68,1825673588.08,2.0,29120077615800.0,0.124992849434,0.124987287705,0.00195281465415,0.125,1.21200144652e-13,25
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1821479347.29,4393049.91199,1821479347.29,1824585702.67,1818372991.91,1818683627.45,1824275067.14,2.0,19298887529200.0,0.249995232956,0.25,0.0156247020597,0.25,1.21200144652e-13,39
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1809168178.96,3760717.82466,1809168178.96,1811827408.03,1806508949.88,1806774872.79,1811561485.12,2.0,14142998556700.0,0.125002383522,0.25,0.00781264897013,0.25,1.21200144652e-13,119
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1807396358.23,416162.344125,1807396358.23,1807690629.44,1807102087.01,1807131514.13,1807661202.32,2.0,173191096668.0,0.124992849434,0.25,0.00781205308962,0.25,1.21200144652e-13,14
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1777486360.0,170246.893868,1777486360.0,1777606742.73,1777365977.26,1777378015.54,1777594704.46,2.0,28984004871.6,0.250004767044,0.250025424591,0.00781344350374,0.125,1.21200144652e-13,78
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1776138910.27,2196609.50548,1776138910.27,1777692147.75,1774585672.79,1774740996.54,1777536824.0,2.0,4825093319550.0,0.249995232956,0.124987287705,0.00390577826328,0.125,1.21200144652e-13,50
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1768380496.88,8197466.47181,1768380496.88,1774176981.01,1762584012.75,1763163661.16,1773597332.6,2.0,67198456556500.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,64
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1729909233.38,203252.535703,1729909233.38,1730052954.62,1729765512.13,1729779884.25,1730038582.5,2.0,41311593269.9,0.125002383522,0.250025424591,0.00390672175187,0.125,1.21200144652e-13,103
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1723886602.24,40803.4304976,1723886602.24,1723915454.62,1723857749.85,1723860635.09,1723912569.38,2.0,1664919940.37,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,89
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1716388163.56,2713504.96053,1716388163.56,1718306901.32,1714469425.8,1714661299.58,1718115027.54,2.0,7363109170830.0,0.250004767044,0.124987287705,0.00390592721826,0.125,1.21200144652e-13,75
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1663559144.3,5725881.91046,1663559144.3,1667607954.23,1659510334.38,1659915215.37,1667203073.24,2.0,32785723652500.0,0.250004767044,0.124987287705,0.00390592721826,0.125,1.21200144652e-13,100
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1656903098.71,1635384.92657,1656903098.71,1658059490.48,1655746706.94,1655862346.12,1657943851.3,2.0,2674483858060.0,0.125002383522,0.25,0.00781264897013,0.25,1.21200144652e-13,114
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1638111515.69,4439482.53197,1638111515.69,1641250703.89,1634972327.49,1635286246.31,1640936785.07,2.0,19709005151700.0,0.249995232956,0.25,0.0156247020597,0.25,1.21200144652e-13,34
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1610183071.97,15846186.1822,1610183071.97,1621388017.68,1598978126.27,1600098620.84,1620267523.11,2.0,251101616520000.0,0.124992849434,0.124987287705,0.0039056293083,0.25,1.21200144652e-13,20
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1608535453.26,13647484.712,1608535453.26,1618185682.25,1598885224.27,1599850247.17,1617220659.35,2.0,186253838963000.0,0.125002383522,0.124987287705,0.00195296360913,0.125,1.21200144652e-13,125
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1596235138.49,3988794.61649,1596235138.49,1599055642.22,1593414634.77,1593696685.14,1598773591.84,2.0,15910482492500.0,0.249995232956,0.124987287705,0.00781155652656,0.25,1.21200144652e-13,45
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1594748081.76,8620079.18136,1594748081.76,1600843398.21,1588652765.32,1589262296.97,1600233866.56,2.0,74305765092800.0,0.124992849434,0.25,0.00781205308962,0.25,1.21200144652e-13,9
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1570635823.57,3587901.49874,1570635823.57,1573172853.05,1568098794.09,1568352497.03,1572919150.1,2.0,12873037164700.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,59
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1552761035.41,10338479.1074,1552761035.41,1560071444.1,1545450626.73,1546181667.6,1559340403.23,2.0,106884150255000.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,70
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1521355209.76,2943663.62856,1521355209.76,1523436694.27,1519273725.25,1519481873.7,1523228545.82,2.0,8665155558130.0,0.250004767044,0.25,0.0156252979403,0.25,1.21200144652e-13,84
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1490343917.36,6226405.02973,1490343917.36,1494746650.58,1485941184.14,1486381457.46,1494306377.26,2.0,38768119594200.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,95
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1471976983.7,3846541.36061,1471976983.7,1474696899.18,1469257068.22,1469529059.76,1474424907.63,2.0,14795880438900.0,0.125002383522,0.25,0.00781264897013,0.25,1.21200144652e-13,109
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1441427124.41,9137282.47161,1441427124.41,1447888158.81,1434966090.01,1435612193.45,1447242055.37,2.0,83489930966000.0,0.249995232956,0.25,0.00781235102987,0.125,1.21200144652e-13,29
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1436380529.28,9136047.56545,1436380529.28,1442840690.46,1429920368.09,1430566384.21,1442194674.34,2.0,83467365118200.0,0.125002383522,0.124987287705,0.00390592721826,0.25,1.21200144652e-13,120
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1394882077.02,3481838.37262,1394882077.02,1397344108.54,1392420045.49,1392666248.64,1397097905.39,2.0,12123198453100.0,0.249995232956,0.124987287705,0.00781155652656,0.25,1.21200144652e-13,40
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1392441961.78,6898094.74271,1392441961.78,1397319651.35,1387564272.21,1388052041.17,1396831882.4,2.0,47583711079400.0,0.250004767044,0.25,0.00781264897013,0.125,1.21200144652e-13,54
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1378047241.39,1514095.77541,1378047241.39,1379117868.78,1376976614.0,1377083676.74,1379010806.04,2.0,2292486017110.0,0.124992849434,0.25,0.00390602654481,0.125,1.21200144652e-13,4
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1372023213.96,4405831.09179,1372023213.96,1375138607.0,1368907820.92,1369219360.22,1374827067.7,2.0,19411347609400.0,0.124992849434,0.124987287705,0.0039056293083,0.25,1.21200144652e-13,15
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1342311554.15,10406186.1435,1342311554.15,1349669838.93,1334953269.36,1335689097.84,1348934010.45,2.0,108288710053000.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,65
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1326122584.57,2668776.21602,1326122584.57,1328009694.33,1324235474.81,1324424185.78,1327820983.35,2.0,7122366491170.0,0.250004767044,0.25,0.00781264897013,0.125,1.21200144652e-13,79
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1281288392.09,1390961.00968,1281288392.09,1282271950.05,1280304834.13,1280403189.93,1282173594.26,2.0,1934772530450.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,90
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1266775434.1,1823778.75729,1266775434.1,1268065040.43,1265485827.77,1265614788.41,1267936079.79,2.0,3326168955550.0,0.125002383522,0.25,0.00390632448506,0.125,1.21200144652e-13,104
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1223827201.83,7212021.56672,1223827201.83,1228926871.19,1218727532.48,1219237499.41,1228416904.25,2.0,52013255078800.0,0.125002383522,0.124987287705,0.00390592721826,0.25,1.21200144652e-13,115
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1182647760.62,7376207.13541,1182647760.62,1187863526.71,1177431994.54,1177953571.14,1187341950.1,2.0,54408431704400.0,0.249995232956,0.124987287705,0.00781155652656,0.25,1.21200144652e-13,35
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1166620721.05,12696463.4696,1166620721.05,1175598476.46,1157642965.63,1158540741.17,1174700700.92,2.0,161200184635000.0,0.124992849434,0.124987287705,0.0039056293083,0.25,1.21200144652e-13,10
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1132495163.24,1531790.50795,1132495163.24,1133578302.7,1131412023.79,1131520337.73,1133469988.75,2.0,2346382160250.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,60
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1064292885.08,8336923.02545,1064292885.08,1070187979.89,1058397790.28,1058987299.76,1069598470.41,2.0,69504285532300.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,85
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1017525132.92,12088823.2542,1017525132.92,1026073221.82,1008977044.02,1009831852.91,1025218412.93,2.0,146139647672000.0,0.125002383522,0.124987287705,0.00390592721826,0.25,1.21200144652e-13,110
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,964339500.971,14274077.2305,964339500.971,974432797.776,954246204.166,955255533.847,973423468.096,2.0,203749280782000.0,0.249995232956,0.124987287705,0.00390577826328,0.125,1.21200144652e-13,30
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,941671353.977,3301791.55876,941671353.977,944006073.179,939336634.776,939570106.696,943772601.259,2.0,10901827497500.0,0.124992849434,0.124987287705,0.00195281465415,0.125,1.21200144652e-13,5
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,916400785.462,9065752.31487,916400785.462,922811240.4,909990330.523,910631376.017,922170194.906,2.0,82187865034500.0,0.250004767044,0.124987287705,0.00390592721826,0.125,1.21200144652e-13,55
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,857274431.661,10068669.5435,857274431.661,864394056.173,850154807.149,850866769.601,863682093.722,2.0,101378106376000.0,0.250004767044,0.124987287705,0.00390592721826,0.125,1.21200144652e-13,80
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,803292758.312,11959480.8944,803292758.312,811749388.351,794836128.272,795681791.276,810903725.347,2.0,143029183263000.0,0.125002383522,0.124987287705,0.00195296360913,0.125,1.21200144652e-13,105
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235159787644000.0,1560659.35423,-235159787644000.0,-235159786541000.0,-235159788748000.0,-235159788637000.0,-235159786651000.0,2.0,2435657619950.0,0.124992849434,0.124987287705,0.0039056293083,0.25,1.21200144652e-13,6
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235159845466000.0,3217026.49518,-235159845466000.0,-235159843191000.0,-235159847741000.0,-235159847514000.0,-235159843419000.0,2.0,10349259470700.0,0.249995232956,0.124987287705,0.00781155652656,0.25,1.21200144652e-13,31
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235159898165000.0,2026423.16638,-235159898165000.0,-235159896733000.0,-235159899598000.0,-235159899455000.0,-235159896876000.0,2.0,4106390849240.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,56
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235159955634000.0,4283312.16545,-235159955634000.0,-235159952605000.0,-235159958662000.0,-235159958360000.0,-235159952908000.0,2.0,18346763106600.0,0.250004767044,0.124987287705,0.00781185443652,0.25,1.21200144652e-13,81
