smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1032601515.77,5647404.4781,-1032601515.77,-1028608197.77,-1036594833.78,-1036195501.98,-1029007529.57,2.0,31893177339300.0,5.2351036610599995e-14,0.249963898917,88,0.249546279492,0.0155944525465,0.250000998773
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1037868463.14,9995136.30327,-1037868463.14,-1030800834.48,-1044936091.79,-1044229328.93,-1031507597.34,2.0,99902749720900.0,5.2351036610599995e-14,0.25,29,0.125226860254,0.00782664749759,0.249999001227
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1043901633.0,39856972.7967,-1043901633.0,-1015718497.26,-1072084768.75,-1069266455.17,-1018536810.84,2.0,1588578280520000.0,5.2351036610599995e-14,0.125018050542,10,0.250453720508,0.00391386070417,0.124998601718
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1062442727.66,1997996.6112,-1062442727.66,-1061029930.7,-1063855524.61,-1063714244.91,-1061171210.4,2.0,3991990458380.0,5.2351036610599995e-14,0.25,64,0.249546279492,0.0155967047782,0.250000998773
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1101645625.97,8560886.88455,-1101645625.97,-1095592164.8,-1107699087.14,-1107093741.02,-1096197510.92,2.0,73288784250000.0,5.2351036610599995e-14,0.25,107,0.250453720508,0.00782670378051,0.125000399509
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1112791611.04,2367967.93858,-1112791611.04,-1111117204.85,-1114466017.22,-1114298576.6,-1111284645.47,2.0,5607272158160.0,5.2351036610599995e-14,0.125018050542,40,0.249546279492,0.00779941618599,0.249999001227
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1128948395.0,33883044.6354,-1128948395.0,-1104989464.38,-1152907325.63,-1150511432.57,-1107385357.44,2.0,1148060713760000.0,5.2351036610599995e-14,0.125018050542,75,0.125226860254,0.0039139201225,0.250000998773
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1142274347.13,7545550.99706,-1142274347.13,-1136938836.85,-1147609857.41,-1147076306.38,-1137472387.88,2.0,56935339849300.0,5.2351036610599995e-14,0.249963898917,83,0.250453720508,0.0156511596467,0.250000998773
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1212184750.55,1307448.93176,-1212184750.55,-1211260244.54,-1213109256.55,-1213016805.95,-1211352695.14,2.0,1709422709160.0,5.2351036610599995e-14,0.25,59,0.250453720508,0.0156534200683,0.250000998773
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1217876005.17,746766.968143,-1217876005.17,-1217347961.18,-1218404049.15,-1218351244.76,-1217400765.58,2.0,557660904709.0,5.2351036610599995e-14,0.125018050542,5,0.125226860254,0.00195693035208,0.124998601718
