smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2263215871.94,2641327.83644,-2263215871.94,-2261348171.11,-2265083572.76,-2264896802.68,-2261534941.2,2.0,6976612739580.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145808199845,38,0.142903225806
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2279529914.61,1688015.07074,-2279529914.61,-2278336307.71,-2280723521.52,-2280604160.83,-2278455668.4,2.0,2849394879050.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291630355421,102,0.142903225806
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2280838828.94,1381596.226,-2280838828.94,-2279861892.88,-2281815765.0,-2281718071.4,-2279959586.49,2.0,1908808131690.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,55,0.142822580645
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2313972621.81,3021945.47726,-2313972621.81,-2311835783.67,-2316109459.95,-2315895776.13,-2312049467.48,2.0,9132154467530.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,77,0.142822580645
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2332777598.53,9551563.051,-2332777598.53,-2326023623.53,-2339531573.54,-2338856176.04,-2326699021.03,2.0,91232356717200.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,119,0.142822580645
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2346274735.44,4317153.96087,-2346274735.44,-2343222046.6,-2349327424.28,-2349022155.4,-2343527315.48,2.0,18637818321800.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,13,0.142822580645
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2362814245.94,13417116.1256,-2362814245.94,-2353326912.14,-2372301579.73,-2371352846.35,-2354275645.52,2.0,180019005127000.0,0.0,0.0714285714286,0.0714229782537,0.000364520499613,64,0.0714516129032
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2371782699.06,748805.555271,-2371782699.06,-2371253213.58,-2372312184.55,-2372259236.0,-2371306162.12,2.0,560709759604.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291630355421,94,0.142903225806
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2380397725.85,316376.073465,-2380397725.85,-2380174014.19,-2380621437.52,-2380599066.35,-2380196385.35,2.0,100093819861.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145808199845,30,0.142903225806
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2383799847.41,3784415.65987,-2383799847.41,-2381123861.43,-2386475833.38,-2386208234.78,-2381391460.03,2.0,14321801886700.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,47,0.142822580645
