smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,201303506.155,782069.320187,201303506.155,201856512.675,200750499.636,200805800.288,201801212.023,2.0,611632421577.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,116,0.200002610148
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,182371586.109,331068.051916,182371586.109,182605686.574,182137485.645,182160895.691,182582276.527,2.0,109606055000.0,0.00400002652968,0.199998716352,1.28667840979e-13,0.1,74,0.200002610148
720.0,-419.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,142778947.544,4455619.39627,142778947.544,145929546.233,139628348.854,139943408.723,145614486.364,2.0,19852544204400.0,0.0079998044754,0.199998716352,1.28667840979e-13,0.2,51,0.19999639551
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,135852585.017,1484259.41056,135852585.017,136902114.911,134803055.122,134908008.112,136797161.922,2.0,2203025997840.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,152,0.200002610148
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,116679223.578,1883060.94783,116679223.578,118010748.743,115347698.412,115480850.929,117877596.227,2.0,3545918533250.0,0.00400002652968,0.199998716352,1.28667840979e-13,0.1,110,0.200002610148
720.0,-419.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,77266038.5288,2066291.76137,77266038.5288,78727127.4452,75804949.6125,75951058.5041,78581018.5536,2.0,4269561643090.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,87,0.200002610148
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,71562570.0092,69831.8484653,71562570.0092,71611948.5828,71513191.4356,71518129.293,71607010.7255,2.0,4876487060.08,0.00400001410048,0.199998716352,1.28667840979e-13,0.2,188,0.100000994342
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,64722188.1042,1651278.69554,64722188.1042,65889818.4675,63554557.741,63671320.7773,65773055.4311,2.0,2726721330350.0,0.00399976551653,0.199998716352,1.28667840979e-13,0.2,9,0.0999947797035
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,54976469.9694,677390.785709,54976469.9694,55455457.5875,54497482.3513,54545381.1131,55407558.8257,2.0,458858276563.0,0.0079998044754,0.199998716352,1.28667840979e-13,0.2,45,0.19999639551
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,48442724.7838,104086.421331,48442724.7838,48516324.9981,48369124.5694,48376484.5909,48508964.9767,2.0,10833983105.5,0.00400002652968,0.199998716352,1.28667840979e-13,0.1,146,0.200002610148
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,28103277.9773,251918.014415,28103277.9773,28281410.9136,27925145.041,27942958.3346,28263597.6199,2.0,63462685986.9,0.00399976551653,0.199998716352,1.28667840979e-13,0.2,8,0.0999947797035
720.0,-419.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,15505411.7428,839836.972832,15505411.7428,16099266.1614,14911557.3242,14970942.7661,16039880.7195,2.0,705326140936.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,123,0.200002610148
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-11445644.1437,2962986.85042,-11445644.1437,-9350496.04917,-13540792.2382,-13331277.4287,-9560010.85862,2.0,8779291075760.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,81,0.200002610148
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-17135958.0102,15603.611412,-17135958.0102,-17124924.5908,-17146991.4297,-17145888.0877,-17126027.9327,2.0,243472689.095,0.00200000705024,0.199998716352,1.28667840979e-13,0.1,182,0.100000994342
720.0,-295.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-35068482.8338,803398.221834,-35068482.8338,-34500394.5031,-35636571.1644,-35579762.3313,-34557203.3362,2.0,645448702846.0,0.00799993283785,0.200001925471,1.28667840979e-13,0.2,58,0.19999639551
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-50116260.2338,1555262.74671,-50116260.2338,-49016523.3991,-51215997.0685,-51106023.3851,-49126497.0826,2.0,2418842211300.0,0.0039999022377,0.199998716352,1.28667840979e-13,0.1,39,0.19999639551
720.0,-419.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-54680690.7948,100769.297336,-54680690.7948,-54609436.1413,-54751945.4483,-54744819.983,-54616561.6067,2.0,10154451285.5,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,159,0.200002610148
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-75954745.9002,3990787.47945,-75954745.9002,-73132833.0112,-78776658.7892,-78494467.5003,-73415024.3001,2.0,15926384706200.0,0.00199988275826,0.199998716352,1.28667840979e-13,0.1,3,0.0999947797035
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-82113680.4926,1429720.63897,-82113680.4926,-81102715.3335,-83124645.6516,-83023549.1357,-81203811.8494,2.0,2044101105500.0,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,117,0.200002610148
720.0,-295.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-100612683.364,1735107.84565,-100612683.364,-99385776.8404,-101839589.888,-101716899.235,-99508467.4927,2.0,3010599236030.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,94,0.200002610148
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-114845427.063,5412612.84121,-114845427.063,-111018131.819,-118672722.307,-118289992.782,-111400861.343,2.0,29296377768800.0,0.00399982969556,0.200001925471,1.28667840979e-13,0.2,16,0.0999947797035
720.0,-419.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-116471181.439,4176417.74538,-116471181.439,-113518008.131,-119424354.748,-119129037.417,-113813325.462,2.0,17442465183900.0,0.00400001410048,0.199998716352,1.28667840979e-13,0.2,195,0.100000994342
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-125005788.842,2467448.48906,-125005788.842,-123261039.283,-126750538.401,-126576063.445,-123435514.239,2.0,6088302046160.0,0.00400002652968,0.199998716352,1.28667840979e-13,0.1,75,0.200002610148
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-132066858.761,272316.748154,-132066858.761,-131874301.742,-132259415.781,-132240160.079,-131893557.444,2.0,74156411325.4,0.00799993283785,0.200001925471,1.28667840979e-13,0.2,52,0.19999639551
720.0,-171.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-132330871.23,5704581.46904,-132330871.23,-128297122.989,-136364619.471,-135961244.647,-128700497.813,2.0,32542249736900.0,0.00399982969556,0.200001925471,1.28667840979e-13,0.2,29,0.0999947797035
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-143266790.805,90632.7020131,-143266790.805,-143202703.807,-143330877.804,-143324469.104,-143209112.507,2.0,8214286674.2,0.00800005305936,0.199998716352,1.28667840979e-13,0.2,153,0.200002610148
720.0,-295.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-167328957.185,439502.863869,-167328957.185,-167018181.729,-167639732.64,-167608655.094,-167049259.275,2.0,193162767349.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,130,0.200002610148
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-187082166.467,1899787.92676,-187082166.467,-185738813.541,-188425519.393,-188291184.1,-185873148.834,2.0,3609194166660.0,0.00400002652968,0.199998716352,1.28667840979e-13,0.1,111,0.200002610148
720.0,-171.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-196644712.656,1827430.0736,-196644712.656,-195352524.459,-197936900.854,-197807682.034,-195481743.279,2.0,3339500673910.0,0.00799993283785,0.200001925471,1.28667840979e-13,0.2,65,0.19999639551
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-199190686.331,3591.8948155,-199190686.331,-199188146.478,-199193226.184,-199192972.199,-199188400.463,2.0,12901708.3656,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,88,0.200002610148
720.0,-543.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-211109281.903,1875146.39556,-211109281.903,-209783353.171,-212435210.635,-212302617.762,-209915946.044,2.0,3516174004780.0,0.00400001410048,0.199998716352,1.28667840979e-13,0.2,189,0.100000994342
720.0,-295.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-233996049.379,1564167.46149,-233996049.379,-232890015.96,-235102082.798,-234991479.456,-233000619.302,2.0,2446619847590.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,166,0.200002610148
720.0,-543.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-249343096.015,4010566.09288,-249343096.015,-246507197.534,-252178994.495,-251895404.647,-246790787.382,2.0,16084640385400.0,0.00799993283785,0.200001925471,1.28667840979e-13,0.2,46,0.19999639551
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-252078717.794,4777364.65522,-252078717.794,-248700610.85,-255456824.738,-255119014.044,-249038421.545,2.0,22823213049000.0,0.000999941379132,0.0999993581762,0.0,0.1,36,0.0999947797035
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-257060688.176,5021507.31737,-257060688.176,-253509946.3,-260611430.052,-260256355.864,-253865020.487,2.0,25215535738400.0,0.00400002652968,0.199998716352,1.28667840979e-13,0.1,147,0.200002610148
720.0,-543.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-257514421.529,5939000.16132,-257514421.529,-253314914.241,-261713928.816,-261293978.088,-253734864.97,2.0,35271722916200.0,0.00399982969556,0.200001925471,1.28667840979e-13,0.2,10,0.0999947797035
720.0,-171.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-257684765.549,3924209.45329,-257684765.549,-254909930.434,-260459600.665,-260182117.153,-255187413.946,2.0,15399419833300.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,101,0.200002610148
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-264539463.413,186622.52116,-264539463.413,-264407501.362,-264671425.463,-264658229.258,-264420697.567,2.0,34827965404.1,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,124,0.200002610148
720.0,-295.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-284290533.437,2664853.41545,-284290533.437,-282406197.516,-286174869.358,-285986435.766,-282594631.108,2.0,7101443725850.0,0.00399982969556,0.200001925471,1.28667840979e-13,0.2,23,0.0999947797035
720.0,-295.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-298103057.479,2195050.01322,-298103057.479,-296550922.729,-299655192.228,-299499978.753,-296706136.204,2.0,4818244560530.0,0.0040000782835,0.200001925471,1.28667840979e-13,0.2,202,0.100000994342
720.0,-295.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-299106946.288,3544903.34753,-299106946.288,-296600321.092,-301613571.484,-301362908.964,-296850983.612,2.0,12566339743300.0,0.00799993283785,0.200001925471,1.28667840979e-13,0.2,59,0.19999639551
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-317070272.174,6485137.27955,-317070272.174,-312484587.626,-321655956.721,-321197388.266,-312943156.081,2.0,42057005534600.0,0.00199995111885,0.0999993581762,0.0,0.1,72,0.19999639551
720.0,-543.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-318559469.196,1287473.26673,-318559469.196,-317649088.119,-319469850.274,-319378812.166,-317740126.226,2.0,1657587412540.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,82,0.200002610148
720.0,-667.0,-10529.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-320439468.119,1517409.56361,-320439468.119,-319366497.526,-321512438.711,-321405141.652,-319473794.586,2.0,2302531783750.0,0.00200000705024,0.199998716352,1.28667840979e-13,0.1,183,0.100000994342
720.0,-171.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-325092932.32,377800.72527,-325092932.32,-324825786.865,-325360077.775,-325333363.229,-324852501.411,2.0,142733388014.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,137,0.200002610148
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-335067813.184,1200716.69294,-335067813.184,-334218778.268,-335916848.1,-335831944.608,-334303681.76,2.0,1441720576700.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,160,0.200002610148
720.0,-667.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-373805454.691,2736657.50644,-373805454.691,-371870345.61,-375740563.771,-375547052.863,-372063856.518,2.0,7489294307580.0,0.00399996641893,0.200001925471,1.28667840979e-13,0.1,40,0.19999639551
720.0,-295.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-374749515.655,6072287.85117,-374749515.655,-370455759.738,-379043271.572,-378613895.98,-370885135.33,2.0,36872679747500.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,95,0.200002610148
720.0,-543.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-385658475.033,2298897.20707,-385658475.033,-384032909.229,-387284040.838,-387121484.257,-384195465.809,2.0,5284928368680.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,118,0.200002610148
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-387107168.339,1266985.06909,-387107168.339,-386211274.605,-388003062.073,-387913472.7,-386300863.978,2.0,1605251165290.0,0.00200001326484,0.0999993581762,0.0,0.1,108,0.200002610148
720.0,-171.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-391644977.959,5438579.66937,-391644977.959,-387799321.395,-395490634.523,-395106068.867,-388183887.051,2.0,29578148820000.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,173,0.200002610148
720.0,-419.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-400105477.321,3554029.56128,-400105477.321,-397592398.918,-402618555.724,-402367247.884,-397843706.758,2.0,12631126122500.0,0.0040000782835,0.200001925471,1.28667840979e-13,0.2,196,0.100000994342
720.0,-171.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-401445181.043,2459180.81199,-401445181.043,-399706277.614,-403184084.471,-403010194.128,-399880167.957,2.0,6047570266070.0,0.00199988275826,0.0999993581762,0.0,0.2,30,0.0999947797035
720.0,-667.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-405914561.546,2324274.27949,-405914561.546,-404271051.441,-407558071.65,-407393720.64,-404435402.452,2.0,5402250926300.0,0.00199991484778,0.200001925471,1.28667840979e-13,0.1,4,0.0999947797035
720.0,-419.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-429949351.938,6174476.10646,-429949351.938,-425583338.013,-434315365.864,-433878764.471,-426019939.406,2.0,38124155189200.0,0.00399982969556,0.200001925471,1.28667840979e-13,0.2,17,0.0999947797035
720.0,-419.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-435689782.821,860898.949708,-435689782.821,-435081035.336,-436298530.307,-436237655.558,-435141910.085,2.0,741147001609.0,0.00799993283785,0.200001925471,1.28667840979e-13,0.2,53,0.19999639551
720.0,-295.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-436305591.192,3315890.80725,-436305591.192,-433960902.317,-438650280.067,-438415811.18,-434195371.204,2.0,10995131845600.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,131,0.200002610148
720.0,-667.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-444509540.964,5277340.69901,-444509540.964,-440777897.569,-448241184.359,-447868020.02,-441151061.909,2.0,27850324853400.0,0.0040000907129,0.200001925471,1.28667840979e-13,0.1,76,0.200002610148
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-446368155.811,4885364.30873,-446368155.811,-442913681.579,-449822630.042,-449477182.619,-443259129.002,2.0,23866784429100.0,0.00200001326484,0.0999993581762,0.0,0.1,144,0.200002610148
720.0,-543.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-452935230.828,423790.339059,-452935230.828,-452635565.806,-453234895.851,-453204929.348,-452665532.308,2.0,179598251480.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,154,0.200002610148
720.0,-171.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-462351238.456,4030744.47452,-462351238.456,-459501071.705,-465201405.207,-464916388.532,-459786088.38,2.0,16246901018800.0,0.0039999022377,0.0999993581762,0.0,0.2,66,0.19999639551
720.0,-171.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-465440012.552,1601926.01213,-465440012.552,-464307279.806,-466572745.298,-466459472.024,-464420553.081,2.0,2566166948340.0,0.0040000782835,0.200001925471,1.28667840979e-13,0.2,209,0.100000994342
720.0,-419.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-505617937.359,11682976.9192,-505617937.359,-497356825.155,-513879049.563,-513052938.342,-498182936.375,2.0,136491949694000.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,89,0.200002610148
720.0,-295.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-505961184.587,3035145.2494,-505961184.587,-503815012.799,-508107356.375,-507892739.196,-504029629.978,2.0,9212106684950.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,167,0.200002610148
720.0,-667.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-512184851.343,3942469.13023,-512184851.343,-509397104.686,-514972597.999,-514693823.334,-509675879.352,2.0,15543062842800.0,0.0040000907129,0.200001925471,1.28667840979e-13,0.1,112,0.200002610148
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,643650.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-520298082.634,6070995.82054,-520298082.634,-516005240.321,-524590924.947,-524161640.716,-516434524.552,2.0,36856990253000.0,0.00200001326484,0.0999993581762,0.0,0.1,180,0.200002610148
720.0,-543.0,-7413.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-521384695.229,2724440.84457,-521384695.229,-519458224.632,-523311165.825,-523118518.765,-519650871.692,2.0,7422577915550.0,0.0040000782835,0.200001925471,1.28667840979e-13,0.2,190,0.100000994342
720.0,-171.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,321825.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-522303251.342,8716463.37571,-522303251.342,-516139780.981,-528466721.703,-527850374.667,-516756128.017,2.0,75976733780200.0,0.00400002652968,0.0999993581762,0.0,0.2,102,0.200002610148
720.0,-295.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-561136635.948,2199394.75025,-561136635.948,-559581429.006,-562691842.891,-562536322.197,-559736949.7,2.0,4837337267430.0,0.00199988275826,0.0999993581762,0.0,0.2,24,0.0999947797035
720.0,-419.0,-4297.2,-1e+200,-1e+200,-1e+200,-1e+200,482737.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-567463102.894,2637165.54532,-567463102.894,-565598345.253,-569327860.534,-569141384.77,-565784821.018,2.0,6954642113400.0,0.00800018142579,0.200001925471,1.28667840979e-13,0.2,125,0.200002610148
