npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1287610759.88,38968243.7285,1287610759.88,1315165469.27,1260056050.49,1262811521.43,1312409998.33,2.0,1518524019280000.0,0.125012930589,0.25,40,0.00781329733668,8.95747037061e-15,0.249999653633
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1218481899.52,84944522.0748,1218481899.52,1278546747.1,1158417051.93,1164423536.69,1272540262.34,2.0,7215571830510000.0,0.125012930589,0.25,35,0.00781329733668,8.95747037061e-15,0.249999653633
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1211849044.22,44878223.0064,1211849044.22,1243582740.04,1180115348.41,1183288717.99,1240409370.46,2.0,2014054900210000.0,0.25,0.25,57,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1105946947.04,44395776.4211,1105946947.04,1137339501.6,1074554392.47,1077693647.93,1134200246.14,2.0,1970984964030000.0,0.249974138823,0.25,63,0.0156234053222,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1029064250.72,19072638.0858,1029064250.72,1042550642.44,1015577858.99,1016926498.17,1041202003.27,2.0,363765523552000.0,0.25,0.125,52,0.00781251082398,8.95747037061e-15,0.250000346367
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1019994720.32,9660827.68981,1019994720.32,1026825957.09,1013163483.55,1013846607.22,1026142833.41,2.0,93331591652200.0,0.25,0.25,69,0.015625021648,8.95747037061e-15,0.250000346367
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,959091276.173,32227291.4895,959091276.173,981879412.524,936303139.821,938581953.456,979600598.889,2.0,1038598316750000.0,0.249974138823,0.25,58,0.0156234053222,8.95747037061e-15,0.250000346367
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,936264250.054,50471477.7423,936264250.054,971952974.222,900575525.886,904144398.303,968384101.806,2.0,2547370065490000.0,0.125012930589,0.125,75,0.00390665949345,8.95747037061e-15,0.250000346367
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,915873837.653,96253190.1554,915873837.653,983935121.123,847812554.183,854618682.53,977128992.776,2.0,9264676615090000.0,0.125012930589,0.125,30,0.00390664866834,8.95747037061e-15,0.249999653633
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,840639981.759,70001804.0909,840639981.759,890138732.127,791141231.391,796091106.428,885188857.09,2.0,4900252575980000.0,0.25,0.25,64,0.015625021648,8.95747037061e-15,0.250000346367
