smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3009154808.67,49261231.0899,-2996485850.43,-2953143818.81,-3114780656.13,-3087544856.83,-2955291768.92,10.0,2426668888490000.0,116,0.250000425161,0.125226860254,0.00391306346567,0.124990974078,2.4762864257000002e-14
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3011610771.12,29660474.6887,-3014244671.74,-2951829367.76,-3055271263.11,-3051522540.5,-2965953236.85,10.0,879743758757000.0,92,0.250000425161,0.249546279492,0.015595542798,0.249981948155,2.4762864257000002e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3100176024.93,23732334.6751,-3097108470.06,-3049304227.9,-3127710797.65,-3126858163.04,-3066042072.72,10.0,563223709132000.0,68,0.250000425161,0.249546279492,0.0155977951872,0.250018051845,2.4762864257000002e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3126507688.31,30408697.3795,-3133415014.01,-3083688662.77,-3176794056.99,-3166968203.09,-3084738861.98,10.0,924688876320000.0,124,0.12500016534,0.250453720508,0.00391306198685,0.124990974078,2.4762864257000002e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3159929037.3,24516687.0914,-3153566158.19,-3132164570.76,-3205364019.74,-3201527966.69,-3134342742.54,10.0,601067945938000.0,91,0.250000425161,0.125226860254,0.00782612693135,0.249981948155,2.4762864257000002e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3201243609.66,20096196.7538,-3206925255.18,-3165720099.24,-3231866136.07,-3224997406.68,-3170833106.85,10.0,403857123966000.0,67,0.250000425161,0.249546279492,0.0155977951872,0.250018051845,2.4762864257000002e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3273315782.07,2386458.63484,-3273119516.12,-3268638331.13,-3276404012.72,-3276322471.01,-3269770063.71,10.0,5695184815790.0,11,0.250000519641,0.125226860254,0.0039130649445,0.124990974078,2.4762864257000002e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3273939563.55,36696120.6527,-3280761411.84,-3186385602.83,-3319934241.94,-3312790137.32,-3217284045.39,10.0,1346605270960000.0,123,0.12500016534,0.249546279492,0.00389888422603,0.124990974078,2.4762864257000002e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3298364958.22,31848435.8829,-3289172683.14,-3259279291.74,-3374296668.74,-3350789826.32,-3264652524.04,10.0,1014322868190000.0,99,0.12500016534,0.250453720508,0.0078261239737,0.249981948155,2.4762864257000002e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3313932541.62,16809952.0555,-3311550041.61,-3294084147.87,-3346580366.01,-3343494899.16,-3296601613.36,10.0,282574488110000.0,66,0.250000425161,0.125226860254,0.0078272572212,0.250018051845,2.4762864257000002e-14
