npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2139227347.73,24625496.5904,2139227347.73,2156640203.36,2121814492.1,2123555777.66,2154898917.79,2.0,606415082326000.0,0.125002383522,0.00195296360913,1.21200144652e-13,125,0.124987287705,0.125
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2118506003.09,9689641.79563,2118506003.09,2125357614.51,2111654391.67,2112339552.81,2124672453.37,2.0,93889158127600.0,0.250004767044,0.00781185443652,1.21200144652e-13,70,0.124987287705,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2092105286.49,3531153.61526,2092105286.49,2094602189.16,2089608383.82,2089858074.09,2094352498.89,2.0,12469045854600.0,0.124992849434,0.00781205308962,1.21200144652e-13,9,0.25,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2090210539.45,11060885.8766,2090210539.45,2098031766.86,2082389312.05,2083171434.79,2097249644.12,2.0,122343196375000.0,0.250004767044,0.0156252979403,1.21200144652e-13,59,0.25,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2052274974.36,3244096.81508,2052274974.36,2054568897.22,2049981051.51,2050210443.79,2054339504.93,2.0,10524164145600.0,0.250004767044,0.00781185443652,1.21200144652e-13,95,0.124987287705,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2044886318.89,596334.033122,2044886318.89,2045307990.73,2044464647.05,2044506814.23,2045265823.54,2.0,355614279060.0,0.250004767044,0.0156252979403,1.21200144652e-13,84,0.25,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1975320508.01,495565.166063,1975320508.01,1975670925.5,1974970090.52,1975005132.27,1975635883.75,2.0,245584833815.0,0.125002383522,0.00390592721826,1.21200144652e-13,120,0.124987287705,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1973606948.81,1973107.56114,1973606948.81,1975002146.55,1972211751.07,1972351270.85,1974862626.77,2.0,3893153447840.0,0.125002383522,0.00781264897013,1.21200144652e-13,109,0.25,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1973561121.54,6001844.43111,1973561121.54,1977805066.43,1969317176.64,1969741571.13,1977380671.94,2.0,36022136575300.0,0.249995232956,0.00781235102987,1.21200144652e-13,29,0.25,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1955132070.37,7829635.41639,1955132070.37,1960668458.66,1949595682.07,1950149320.9,1960114819.83,2.0,61303190753600.0,0.249995232956,0.00781155652656,1.21200144652e-13,40,0.124987287705,0.25
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1929136626.39,16153025.1459,1929136626.39,1940558540.01,1917714712.77,1918856904.13,1939416348.64,2.0,260920221365000.0,0.124992849434,0.0039056293083,1.21200144652e-13,15,0.124987287705,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1905755407.51,13050464.0999,1905755407.51,1914983479.17,1896527335.84,1897450143.01,1914060672.0,2.0,170314613222000.0,0.250004767044,0.00781264897013,1.21200144652e-13,54,0.25,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1903710969.27,14206365.4751,1903710969.27,1913756386.63,1893665551.9,1894670093.64,1912751844.89,2.0,201820820013000.0,0.250004767044,0.00781185443652,1.21200144652e-13,65,0.124987287705,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1873701254.35,6519620.81305,1873701254.35,1878311322.44,1869091186.26,1869552193.07,1877850315.63,2.0,42505455545900.0,0.124992849434,0.00390602654481,1.21200144652e-13,4,0.25,0.125
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1852861826.99,6448085.1894,1852861826.99,1857421311.75,1848302342.23,1848758290.7,1856965363.28,2.0,41577802609800.0,0.250004767044,0.00781264897013,1.21200144652e-13,79,0.25,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1848482146.69,6867340.24847,1848482146.69,1853338089.54,1843626203.83,1844111798.11,1852852495.26,2.0,47160362088200.0,0.250004767044,0.00781185443652,1.21200144652e-13,90,0.124987287705,0.25
