smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2782391800.55,37128806.8162,-2782391800.55,-2756137769.47,-2808645831.63,-2806020428.52,-2758763172.58,2.0,1378548295590000.0,0.142850352821,9.835748238069999e-14,0.0714534883721,0.00145816514632,0.142857142857,68
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2789976843.62,19336694.5143,-2789976843.62,-2776303735.81,-2803649951.44,-2802282640.66,-2777671046.59,2.0,373907754738000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,165
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2807226665.89,8279860.79587,-2807226665.89,-2801371920.17,-2813081411.61,-2812495937.03,-2801957394.75,2.0,68556094799000.0,0.142859493254,9.835748238069999e-14,0.0714534883721,0.00145825844858,0.142857142857,132
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2825480455.72,13122161.6123,-2825480455.72,-2816201686.26,-2834759225.18,-2833831348.23,-2817129563.21,2.0,172191125379000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,93
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2867901328.91,19275029.4055,-2867901328.91,-2854271824.91,-2881530832.91,-2880167882.51,-2855634775.31,2.0,371526758584000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,157
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2870983931.19,17352478.1814,-2870983931.19,-2858713876.2,-2883253986.18,-2882026980.68,-2859940881.7,2.0,301108499037000.0,0.0714206061936,9.835748238069999e-14,0.0714534883721,0.000729035922026,0.142857142857,4
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2878172080.91,28890414.9107,-2878172080.91,-2857743472.61,-2898600689.2,-2896557828.37,-2859786333.44,2.0,834656073712000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,29
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2941016736.99,12192741.8921,-2941016736.99,-2932395166.52,-2949638307.46,-2948776150.42,-2933257323.56,2.0,148662954847000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,85
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2984862015.53,8595872.79273,-2984862015.53,-2978783815.58,-2990940215.47,-2990332395.47,-2979391635.58,2.0,73889029068800.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,149
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3011805004.96,38882793.7955,-3011805004.96,-2984310717.8,-3039299292.13,-3036549863.41,-2987060146.52,2.0,1511871653340000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,21
