smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-292432169.695,201403.891274,-292432169.695,-292289755.637,-292574583.752,-292560342.346,-292303997.043,2.0,40563527420.1,0.00779840846903,0.25,1.83230531396e-13,114,0.125001398296,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-313578722.579,8391540.28017,-313578722.579,-307645007.542,-319512437.615,-318919066.112,-308238379.045,2.0,70417948273700.0,0.00779955640487,0.125018050542,1.83230531396e-13,70,0.250003495741,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-325400401.671,2124229.9679,-325400401.671,-323898344.256,-326902459.086,-326752253.344,-324048549.997,2.0,4512352956530.0,0.00195697413424,0.125018050542,1.83230531396e-13,125,0.125001398296,0.125226860254
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-353328564.46,2707601.43146,-353328564.46,-351414001.127,-355243127.793,-355051671.46,-351605457.46,2.0,7331105511660.0,0.00782656932572,0.25,1.83230531396e-13,29,0.249996504259,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-354213783.171,9718426.43553,-354213783.171,-347341817.936,-361085748.406,-360398551.882,-348029014.459,2.0,94447812382900.0,0.0156535764121,0.25,1.83230531396e-13,84,0.250003495741,0.250453720508
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-364539443.837,2133185.17562,-364539443.837,-363031054.134,-366047833.54,-365896994.57,-363181893.104,2.0,4550478993460.0,0.00391318616671,0.25,1.83230531396e-13,4,0.124995105963,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-367407661.973,3982331.59925,-367407661.973,-364591728.294,-370223595.652,-369942002.284,-364873321.662,2.0,15858964966400.0,0.00389957098961,0.125018050542,1.83230531396e-13,15,0.124995105963,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-379639682.361,3012443.2056,-379639682.361,-377509563.342,-381769801.379,-381556789.477,-377722575.244,2.0,9074814066970.0,0.0077993382861,0.125018050542,1.83230531396e-13,40,0.249996504259,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-394599871.448,2667133.50898,-394599871.448,-392713923.257,-396485819.638,-396297224.819,-392902518.076,2.0,7113601154720.0,0.00779955640487,0.125018050542,1.83230531396e-13,95,0.250003495741,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-421744300.082,2802630.0327,-421744300.082,-419762541.38,-423726058.783,-423527882.913,-419960717.251,2.0,7854735100180.0,0.00782678820604,0.25,1.83230531396e-13,54,0.250003495741,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-428518617.976,4865604.57419,-428518617.976,-425078115.987,-431959119.965,-431615069.766,-425422166.186,2.0,23674107872400.0,0.00782676631801,0.25,1.83230531396e-13,109,0.125001398296,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-474387010.268,7342038.09222,-474387010.268,-469195405.345,-479578615.191,-479059454.699,-469714565.838,2.0,53905523347700.0,0.0038997672965,0.125018050542,1.83230531396e-13,120,0.125001398296,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-474506122.247,8704582.92246,-474506122.247,-468351052.636,-480661191.859,-480045684.898,-468966559.597,2.0,75769763854000.0,0.00779955640487,0.125018050542,1.83230531396e-13,65,0.250003495741,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-500074420.803,2294258.1369,-500074420.803,-498452135.317,-501696706.29,-501534477.741,-498614363.866,2.0,5263620398740.0,0.00782678820604,0.25,1.83230531396e-13,79,0.250003495741,0.125226860254
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-530014258.541,196285.827379,-530014258.541,-529875463.502,-530153053.581,-530139174.077,-529889343.006,2.0,38528126029.7,0.00391375124775,0.125018050542,1.83230531396e-13,10,0.124995105963,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-544284880.486,258588.080796,-544284880.486,-544102031.1,-544467729.871,-544449444.932,-544120316.039,2.0,66867795529.7,0.00782769951624,0.125018050542,1.83230531396e-13,35,0.249996504259,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-548084142.215,2067165.4456,-548084142.215,-546622435.51,-549545848.919,-549399678.249,-546768606.181,2.0,4273172979460.0,0.00779955640487,0.125018050542,1.83230531396e-13,90,0.250003495741,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-583049012.542,4494017.31151,-583049012.542,-579871262.427,-586226762.658,-585908987.647,-580189037.438,2.0,20196191596100.0,0.003913383159,0.25,1.83230531396e-13,104,0.125001398296,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-623137629.485,209848.703167,-623137629.485,-622989244.044,-623286014.926,-623271176.382,-623004082.588,2.0,44036478221.0,0.0038997672965,0.125018050542,1.83230531396e-13,115,0.125001398296,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-625589068.829,12722110.5033,-625589068.829,-616593178.221,-634584959.436,-633685370.376,-617492767.281,2.0,161852095658000.0,0.00782791842816,0.125018050542,1.83230531396e-13,60,0.250003495741,0.250453720508
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-691294615.139,7549027.6772,-691294615.139,-685956646.477,-696632583.801,-696098786.935,-686490443.343,2.0,56987818871100.0,0.00195687562387,0.125018050542,1.83230531396e-13,5,0.124995105963,0.125226860254
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-699343515.58,1041253.12437,-699343515.58,-698607238.434,-700079792.725,-700006165.01,-698680866.149,2.0,1084208069010.0,0.00782791842816,0.125018050542,1.83230531396e-13,85,0.250003495741,0.250453720508
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-706255799.564,450508.264775,-706255799.564,-705937242.115,-706574357.013,-706542501.268,-705969097.86,2.0,202957696630.0,0.00391384975812,0.125018050542,1.83230531396e-13,30,0.249996504259,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-777631652.054,2260907.2648,-777631652.054,-776032949.196,-779230354.913,-779070484.627,-776192819.481,2.0,5111701660020.0,0.00391395921408,0.125018050542,1.83230531396e-13,55,0.250003495741,0.125226860254
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-787554513.69,7113430.58317,-787554513.69,-782524558.687,-792584468.693,-792081473.192,-783027554.187,2.0,50600894661600.0,0.00391394826849,0.125018050542,1.83230531396e-13,110,0.125001398296,0.250453720508
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-858050469.419,7094506.62905,-858050469.419,-853033895.672,-863067043.165,-862565385.791,-853535553.047,2.0,50332024309700.0,0.00391395921408,0.125018050542,1.83230531396e-13,80,0.250003495741,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-943945895.583,5400589.32651,-943945895.583,-940127102.248,-947764688.919,-947382809.585,-940508981.582,2.0,29166365073600.0,0.00195697413424,0.125018050542,1.83230531396e-13,105,0.125001398296,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-19038711355.8,775132.202756,-19038711355.8,-19038163254.6,-19039259457.0,-19039204646.9,-19038218064.7,2.0,600829931750.0,0.00195687562387,0.125018050542,1.83230531396e-13,1,0.124995105963,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-359984787994.0,2399993.2776,-359984787994.0,-359983090942.0,-359986485045.0,-359986315340.0,-359983260647.0,2.0,5759967732520.0,0.00782637233343,0.25,1.83230531396e-13,7,0.124995105963,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-769892585361.0,3751762.68997,-769892585361.0,-769889932464.0,-769895238258.0,-769894972968.0,-769890197754.0,2.0,14075723281800.0,0.00779688984465,0.249963898917,1.83230531396e-13,13,0.124995105963,0.249546279492
720.0,-254.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-218744401823000.0,4546210.66599,-218744401823000.0,-218744398608000.0,-218744405037000.0,-218744404716000.0,-218744398929000.0,2.0,20668031419600.0,0.00779728234506,0.249963898917,1.83230531396e-13,118,0.125001398296,0.249546279492
