smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-182731061.586,22099581.0294,-182731061.586,-167104297.979,-198357825.193,-196795148.832,-168666974.339,2.0,488391481673000.0,115,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-203271997.412,16904546.6581,-203271997.412,-191318677.837,-215225316.986,-214029985.029,-192514009.794,2.0,285763697715000.0,146,0.111096848726,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136380758179
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-214902582.926,17597010.5316,-214902582.926,-202459617.45,-227345548.401,-226101251.854,-203703913.998,2.0,309654779651000.0,105,0.111096848726,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000686881190826
720.0,-323.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-225546317.482,2256390.46668,-225546317.482,-223950808.482,-227141826.482,-226982275.582,-224110359.382,2.0,5091297938130.0,57,0.111128939092,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000682088768685
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-236969376.723,1404681.57656,-236969376.723,-235976116.855,-237962636.592,-237863310.605,-236075442.842,2.0,1973130331530.0,136,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-529.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-251349330.906,4962431.34174,-251349330.906,-247840362.053,-254858299.759,-254507402.874,-248191258.938,2.0,24625724821500.0,26,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-185.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-278724017.163,336054.143314,-278724017.163,-278486391.0,-278961643.327,-278937880.711,-278510153.616,2.0,112932387238.0,78,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-290233415.354,167557.574694,-290233415.354,-290114934.257,-290351896.452,-290340048.342,-290126782.367,2.0,28075540837.4,167,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-529.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-299775894.814,845583.393175,-299775894.814,-299177977.062,-300373812.565,-300314020.79,-299237768.837,2.0,715011274813.0,126,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-312908952.924,7804543.73439,-312908952.924,-307390307.125,-318427598.723,-317875734.143,-307942171.705,2.0,60910902902000.0,47,0.111128939092,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000682088768685
720.0,-323.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-332949781.381,12864815.2817,-332949781.381,-323852983.256,-342046579.505,-341136899.693,-324762663.069,2.0,165503472232000.0,157,0.111128939092,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136420151812
