smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-142457227.179,2483912.36575,-142193693.487,-140001454.142,-145440067.601,-145149903.358,-140133498.169,4.0,6169820640720.0,0.0556451612903,3.4776821570799994e-14,0.0555541185209,301,0.111136071887,0.000343556926741
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-154966536.868,892568.099482,-154656523.406,-154289948.855,-156263151.804,-156047884.865,-154319207.717,4.0,796677812213.0,0.0556451612903,3.4776821570799994e-14,0.111111428379,51,0.0555519897304,0.000343467583909
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-166845427.769,3713075.90104,-166977214.638,-162935293.318,-170491988.481,-170343347.947,-163163005.973,4.0,13786932646900.0,0.111290322581,3.4776821570799994e-14,0.111111596344,142,0.111103979461,0.00137387241249
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-173913167.722,1234415.57291,-173881111.004,-172488538.07,-175401910.809,-175234105.438,-172637109.41,4.0,1523781806630.0,0.111290322581,3.4776821570799994e-14,0.111111596344,233,0.111103979461,0.00137387241249
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-188676226.043,13198761.3038,-185123161.495,-176867864.447,-207590716.734,-204265333.104,-178061409.348,4.0,174207299954000.0,0.110483870968,3.4776821570799994e-14,0.111111428379,324,0.111136071887,0.00136430872078
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-194256644.675,8696294.77835,-192038464.74,-186346215.267,-206603433.955,-204569357.776,-187049383.485,4.0,75625542871900.0,0.110483870968,3.4776821570799994e-14,0.111109748728,415,0.111136071887,0.00136428809678
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-197944869.071,11498177.8997,-192746470.02,-191176866.176,-215109670.067,-211910399.23,-191257097.583,4.0,132208095013000.0,0.0556451612903,3.4776821570799994e-14,0.111109748728,311,0.111136071887,0.000687123202027
720.0,-361.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-211852133.018,30585359.2938,-198613982.842,-192651177.303,-257529389.085,-248787357.498,-193450318.784,4.0,935464203133000.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,506,0.111103979461,0.000686915437701
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-215377350.689,5004891.75839,-214990265.24,-210315570.49,-221213301.786,-220692921.498,-210603699.509,4.0,25048941513200.0,0.0556451612903,3.4776821570799994e-14,0.111111596344,141,0.111103979461,0.000686936206245
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-216465858.305,8147763.39624,-217828179.497,-205320964.914,-224886109.312,-223888995.827,-207135471.115,4.0,66386048361100.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,403,0.111136071887,0.000687113853483
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-228994236.375,13670579.1198,-229132397.156,-215672770.399,-242039380.787,-241651238.673,-216143808.983,4.0,186884733470000.0,0.111290322581,3.4776821570799994e-14,0.111111596344,232,0.111103979461,0.00137387241249
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-241505415.119,14180359.5835,-242752356.517,-225627610.499,-254889336.945,-254447256.522,-226817855.76,4.0,201082597918000.0,0.111290322581,3.4776821570799994e-14,0.111111428379,323,0.111136071887,0.0013742671786
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-248288109.591,19191760.1168,-244472357.224,-230405493.29,-273802230.626,-270490082.529,-231428189.968,4.0,368323656381000.0,0.110483870968,3.4776821570799994e-14,0.111109748728,414,0.111136071887,0.00136428809678
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-278442764.098,6167273.84482,-278089908.976,-272785443.597,-284805794.842,-284480568.615,-272898956.751,4.0,38035266677000.0,0.111290322581,3.4776821570799994e-14,0.111111428379,322,0.111136071887,0.0013742671786
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-282687189.554,11494737.0821,-279127218.957,-273725173.257,-298769147.045,-296423729.707,-273934608.237,4.0,132128980587000.0,0.0556451612903,3.4776821570799994e-14,0.111111596344,231,0.111103979461,0.000686936206245
720.0,-430.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-289617471.744,12964963.4034,-295491307.736,-270283402.606,-297203868.9,-297156643.69,-273854929.41,4.0,168090276051000.0,0.110483870968,3.4776821570799994e-14,0.0555541185209,505,0.111103979461,0.000681937789602
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-290099873.866,10574607.5878,-288546723.502,-279643186.613,-303662861.849,-302043620.529,-280330537.714,4.0,111822325637000.0,0.111290322581,3.4776821570799994e-14,0.111109748728,413,0.111136071887,0.00137424640405
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-297586683.774,2198104.28936,-297207462.005,-295513600.271,-300418210.816,-300082498.017,-295621780.009,4.0,4831662466920.0,0.0556451612903,3.4776821570799994e-14,0.111111428379,61,0.0555519897304,0.000343467583909
720.0,-636.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-303124066.179,11286048.1208,-299560607.105,-294595424.733,-318779625.771,-316558253.365,-294678721.695,4.0,127374882184000.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,402,0.111136071887,0.000687113853483
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-306723027.832,2953790.48431,-307040407.955,-302859980.249,-309951315.168,-309598745.932,-303402977.558,4.0,8724878225220.0,0.111290322581,3.4776821570799994e-14,0.111111428379,152,0.111103979461,0.00137387033564
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-319972936.736,9237948.96082,-318125246.654,-311420338.273,-332220915.364,-330647722.825,-311884916.763,4.0,85339701002700.0,0.111290322581,3.4776821570799994e-14,0.111111596344,243,0.111103979461,0.00137387241249
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-336864779.667,16432123.9359,-335516319.901,-318497299.419,-357929179.449,-355101112.874,-320516290.134,4.0,270014697045000.0,0.110483870968,3.4776821570799994e-14,0.111111596344,334,0.111136071887,0.00136431078318
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-342717301.814,25449958.0499,-334751554.916,-322711657.773,-378654439.651,-373252445.045,-323334204.24,4.0,647700364743000.0,0.110483870968,3.4776821570799994e-14,0.111111428379,425,0.111136071887,0.00136430872078
