smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2389851652.8,6851057.50777,-2389935948.09,-2382464900.19,-2397069814.83,-2396619388.96,-2382965903.24,4.0,46936988974800.0,0.142857142857,0.00145826259799,9.43922884283e-14,0.0714534883721,0.142859899754,177
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2404640497.93,18806332.8425,-2398922093.08,-2388801059.7,-2431916745.88,-2427059566.03,-2390227196.64,4.0,353678154984000.0,0.142857142857,0.0014574903171,9.43922884283e-14,0.142848837209,0.0714211779319,195
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2426504492.12,4698394.78994,-2426755109.4,-2420975292.44,-2431532457.22,-2431155376.34,-2421502743.69,4.0,22074913602100.0,0.142857142857,0.000729131298995,9.43922884283e-14,0.0714534883721,0.0714299498771,185
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2437141368.83,18646587.9428,-2434722017.85,-2418850344.09,-2460271095.53,-2457788039.38,-2419881789.64,4.0,347695241909000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,211
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2459629269.08,19597452.0449,-2456486073.03,-2443083346.89,-2482461583.36,-2480513348.86,-2443145663.76,4.0,384060126651000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,219
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2472911897.58,4906817.03101,-2473899753.49,-2466081462.88,-2477766620.48,-2477211615.91,-2467229180.99,4.0,24076853375800.0,0.142857142857,0.00291515964308,9.43922884283e-14,0.142848837209,0.142851127809,202
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2488539802.46,10152968.3852,-2487788586.15,-2477219810.67,-2501362226.86,-2499744609.08,-2478386698.67,4.0,103082767030000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,227
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2529344752.22,21690218.6998,-2531689950.36,-2500684029.66,-2553315078.51,-2550293372.45,-2505112854.61,4.0,470465587243000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,210
960.0,-453.7,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2530306611.3,7022429.62061,-2531281476.48,-2521515670.18,-2537147822.07,-2536764911.69,-2522483499.67,4.0,49314517776400.0,0.142857142857,0.0014574903171,9.43922884283e-14,0.142848837209,0.0714211779319,261
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2534500216.44,3171242.43183,-2533819893.28,-2531421189.91,-2538939889.29,-2538196436.12,-2531756449.19,4.0,10056778561400.0,0.142857142857,0.0014574903171,9.43922884283e-14,0.142848837209,0.0714211779319,194
