smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-418396263.963,2391626.59482,-418396263.963,-416705128.58,-420087399.347,-419918285.808,-416874242.118,2.0,5719877769060.0,1.8375228834e-12,0.25,0.249998396884,0.125039974416,40,0.00781494828764
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-420777179.088,6666300.54668,-420777179.088,-416063392.766,-425490965.41,-425019586.777,-416534771.398,2.0,44439562978600.0,1.8375228834e-12,0.125,0.249998396884,0.250079948833,29,0.00781494828764
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-441432237.806,3748069.19834,-441432237.806,-438781952.659,-444082522.952,-443817494.438,-439046981.174,2.0,14048022715600.0,1.8375228834e-12,0.25,0.250001603116,0.249920051167,57,0.0156201033606
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-450398986.041,3127219.82734,-450398986.041,-448187707.695,-452610264.387,-452389136.553,-448408835.53,2.0,9779503848490.0,1.8375228834e-12,0.125,0.250001603116,0.249920051167,52,0.00781005168032
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-461047718.965,25045930.3966,-461047718.965,-443337571.741,-478757866.19,-476986851.468,-445108586.463,2.0,627298629433000.0,1.8375228834e-12,0.25,0.249998396884,0.125039974416,35,0.00781494828764
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-464270741.38,2024833.0137,-464270741.38,-462838968.225,-465702514.535,-465559337.219,-462982145.541,2.0,4099948733360.0,1.8375228834e-12,0.25,0.250001603116,0.249920051167,63,0.0156201033606
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,350882.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-482383592.633,8106605.15126,-482383592.633,-476651357.158,-488115828.108,-487542604.561,-477224580.706,2.0,65717047078400.0,1.8375228834e-12,0.125,0.249998396884,0.125039974416,30,0.00390747414382
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-489118595.121,9490667.06857,-489118595.121,-482407680.079,-495829510.163,-495158418.659,-483078771.583,2.0,90072761406500.0,1.8375228834e-12,0.25,0.250001603116,0.250079948833,69,0.0156300970288
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-490727486.102,5642040.91722,-490727486.102,-486737960.709,-494717011.494,-494318058.955,-487136913.249,2.0,31832625711600.0,1.8375228834e-12,0.25,0.250001603116,0.249920051167,58,0.0156201033606
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-508194153.929,290540.14431,-508194153.929,-507988711.023,-508399596.836,-508379052.545,-508009255.314,2.0,84413575455.7,1.8375228834e-12,0.25,0.250001603116,0.250079948833,64,0.0156300970288
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-508725685.484,6996586.34346,-508725685.484,-503778351.835,-513673019.132,-513178285.768,-504273085.2,2.0,48952220461500.0,1.8375228834e-12,0.125,0.250001603116,0.125039974416,75,0.0039075242572
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-512718448.746,5285689.56216,-512718448.746,-508980901.813,-516455995.679,-516082240.985,-509354656.506,2.0,27938514147500.0,1.8375228834e-12,0.125,0.250001603116,0.249920051167,53,0.00781005168032
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-536479454.873,12779659.5923,-536479454.873,-527442870.914,-545516038.832,-544612380.436,-528346529.31,2.0,163319699294000.0,1.8375228834e-12,0.25,0.250001603116,0.250079948833,59,0.0156300970288
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-550226141.603,12465547.9144,-550226141.603,-541411668.142,-559040615.065,-558159167.719,-542293115.488,2.0,155389884807000.0,1.8375228834e-12,0.25,0.250001603116,0.125039974416,70,0.00781504851441
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-560916640.103,2216805.14955,-560916640.103,-559349122.149,-562484158.057,-562327406.261,-559505873.944,2.0,4914225071060.0,1.8375228834e-12,0.125,0.250001603116,0.125039974416,76,0.0039075242572
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-562073027.044,15576075.77,-562073027.044,-551059078.243,-573086975.845,-571985580.965,-552160473.123,2.0,242614136394000.0,1.8375228834e-12,0.25,0.250001603116,0.125039974416,65,0.00781504851441
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-588272941.935,777757.589609,-588272941.935,-587722984.269,-588822899.601,-588767903.834,-587777980.036,2.0,604906868194.0,1.8375228834e-12,0.125,0.250001603116,0.250079948833,54,0.00781504851441
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-591616611.363,6667857.26117,-591616611.363,-586901724.278,-596331498.449,-595860009.74,-587373212.987,2.0,44460320455400.0,1.8375228834e-12,0.25,0.250001603116,0.249920051167,82,0.0156201033606
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-603011017.88,13329388.4436,-603011017.88,-593585716.922,-612436318.837,-611493788.741,-594528247.018,2.0,177672596280000.0,1.8375228834e-12,0.125,0.250001603116,0.249920051167,77,0.00781005168032
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-616637495.576,5750896.55347,-616637495.576,-612570997.626,-620703993.527,-620297343.732,-612977647.421,2.0,33072811168700.0,1.8375228834e-12,0.25,0.250001603116,0.125039974416,60,0.00781504851441
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-623511246.936,10082720.5821,-623511246.936,-616381686.84,-630640807.033,-629927851.023,-617094642.85,2.0,101661254337000.0,1.8375228834e-12,0.25,0.250001603116,0.249920051167,88,0.0156201033606
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,701764.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-636750548.465,1481445.73166,-636750548.465,-635703008.142,-637798088.788,-637693334.755,-635807762.174,2.0,2194681455840.0,1.8375228834e-12,0.125,0.250001603116,0.125039974416,55,0.0039075242572
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-640961008.447,11322291.6388,-640961008.447,-632954939.25,-648967077.643,-648166470.724,-633755546.17,2.0,128194287954000.0,1.8375228834e-12,0.25,0.250001603116,0.250079948833,94,0.0156300970288
