npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,446849634.785,642796.51524,446849634.785,447304160.56,446395109.01,446440561.588,447258707.982,2.0,413187360005.0,0.124986205628,1.0406674226900002e-12,77,0.00779080681749,0.25,0.249333333333
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,440611891.075,1210717.93483,440611891.075,441467997.937,439755784.213,439841394.9,441382387.251,2.0,1465837917730.0,0.250009196248,1.0406674226900002e-12,120,0.00391764180651,0.125026522385,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,433337745.231,468004.171885,433337745.231,433668674.154,433006816.307,433039909.199,433635581.262,2.0,219027904902.0,0.250009196248,1.0406674226900002e-12,87,0.0155839065661,0.25,0.249333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,420708042.14,934955.413871,420708042.14,421369155.453,420046928.826,420113040.158,421303044.122,2.0,874141625926.0,0.124986205628,1.0406674226900002e-12,104,0.00391706538603,0.125026522385,0.250666666667
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,414562562.948,2582844.29182,414562562.948,416388909.661,412736216.234,412918850.906,416206274.99,2.0,6671084635810.0,0.249990803752,1.0406674226900002e-12,109,0.00783470719255,0.125026522385,0.250666666667
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,411970222.544,769057.309381,411970222.544,412514028.182,411426416.905,411480797.469,412459647.619,2.0,591449145112.0,0.125004598124,1.0406674226900002e-12,125,0.00195882090326,0.125026522385,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,405323356.19,1169880.17444,405323356.19,406150586.395,404496125.986,404578849.006,406067863.374,2.0,1368619622560.0,0.250009196248,1.0406674226900002e-12,92,0.0155839065661,0.25,0.249333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,387046220.418,867181.049209,387046220.418,387659410.018,386433030.818,386494349.778,387598091.058,2.0,752002972107.0,0.250009196248,1.0406674226900002e-12,114,0.00783528361303,0.125026522385,0.250666666667
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,376557851.55,92330.7608321,376557851.55,376623139.257,376492563.843,376499092.614,376616610.487,2.0,8524969395.84,0.125004598124,1.0406674226900002e-12,97,0.00779195328306,0.25,0.249333333333
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,369629436.83,1432053.10448,369629436.83,370642051.292,368616822.369,368718083.815,370540789.845,2.0,2050776094050.0,0.249990803752,1.0406674226900002e-12,81,0.00783304518423,0.25,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,356349009.222,332742.31336,356349009.222,356584293.568,356113724.876,356137253.311,356560765.134,2.0,110717447100.0,0.250009196248,1.0406674226900002e-12,119,0.00783528361303,0.125026522385,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,342090953.158,915388.112418,342090953.158,342738230.3,341443676.017,341508403.731,342673502.586,2.0,837935396357.0,0.124986205628,1.0406674226900002e-12,76,0.00391623444301,0.25,0.125333333333
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,341216271.69,2070477.53467,341216271.69,342680320.395,339752222.985,339898627.855,342533915.524,2.0,4286877221580.0,0.250009196248,1.0406674226900002e-12,86,0.00783362148244,0.25,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,328381857.269,1989544.64759,328381857.269,329788677.781,326975036.757,327115718.809,329647995.73,2.0,3958287904740.0,0.125004598124,1.0406674226900002e-12,124,0.00391764180651,0.125026522385,0.250666666667
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,318432022.585,1601228.10942,318432022.585,319564261.84,317299783.331,317413007.257,319451037.914,2.0,2563931458390.0,0.249990803752,1.0406674226900002e-12,108,0.00779303321812,0.125026522385,0.249333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,313719866.421,522837.725686,313719866.421,314089568.523,313350164.32,313387134.53,314052598.312,2.0,273359287400.0,0.124986205628,1.0406674226900002e-12,103,0.00389622993185,0.125026522385,0.249333333333
