smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1044127602.76,44547461.0572,-1044127602.76,-1012627790.96,-1075627414.56,-1072477433.38,-1015777772.14,2.0,1984476286640000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00391391230429,75
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1060984579.12,17700541.764,-1060984579.12,-1048468406.01,-1073500752.23,-1072249134.92,-1049720023.32,2.0,313309178741000.0,0.25,2.6175466018599997e-14,0.250000499385,0.249546279492,0.0155966736232,64
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1070539778.51,7148836.15312,-1070539778.51,-1065484787.98,-1075594769.03,-1075089269.98,-1065990287.04,2.0,51105858344200.0,0.249963898917,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00782556419142,53
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1101590217.84,25520225.066,-1101590217.84,-1083544693.64,-1119635742.04,-1117831189.62,-1085349246.06,2.0,651281887421000.0,0.125018050542,2.6175466018599997e-14,0.249999500615,0.125226860254,0.00391389666791,30
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1135314583.63,9277696.95123,-1135314583.63,-1128754261.2,-1141874906.06,-1141218873.82,-1129410293.44,2.0,86075660718800.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00391391230429,76
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1159176624.86,21274658.3231,-1159176624.86,-1144133169.7,-1174220080.03,-1172715734.51,-1145637515.21,2.0,452611086766000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.249546279492,0.00779946292521,70
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1206053781.85,3456947.11084,-1206053781.85,-1203609351.11,-1208498212.59,-1208253769.52,-1203853794.18,2.0,11950483327100.0,0.25,2.6175466018599997e-14,0.250000499385,0.250453720508,0.0156533888,59
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1254792270.9,7896123.46289,-1254792270.9,-1249208868.45,-1260375673.35,-1259817333.1,-1249767208.7,2.0,62348765741200.0,0.25,2.6175466018599997e-14,0.250000499385,0.250453720508,0.0156533888,82
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1336195619.56,53521335.0507,-1336195619.56,-1298350320.61,-1374040918.51,-1370256388.62,-1302134850.5,2.0,2864533305610000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.249546279492,0.00779946292521,65
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1340497461.75,13278956.4508,-1340497461.75,-1331107821.6,-1349887101.91,-1348948137.89,-1332046785.61,2.0,176330684422000.0,0.25,2.6175466018599997e-14,0.250000499385,0.125226860254,0.0078266944,77
