npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2099644985.47,773189.021906,2099644985.47,2100191712.68,2099098258.27,2099152930.99,2100137039.96,2.0,597821263596.0,0.0156252662803,62,0.250004260484,0.25,0.25,1.17734560967e-13
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2079454263.78,20295099.1338,2079454263.78,2093805066.0,2065103461.56,2066538541.78,2092369985.78,2.0,411891048852000.0,0.00781266272682,72,0.125002603629,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2057300849.42,5147607.25264,2057300849.42,2060940757.42,2053660941.43,2054024932.23,2060576766.62,2.0,26497860427500.0,0.0156253254536,93,0.250005207258,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2055149615.71,19312809.4745,2055149615.71,2068805834.26,2041493397.17,2042859019.03,2067440212.4,2.0,372984609799000.0,0.00781233727318,56,0.249994792742,0.125,0.25,1.17734560967e-13
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2054770284.08,2227819.9351,2054770284.08,2056345590.66,2053194977.49,2053352508.15,2056188060.0,2.0,4963181663250.0,0.00781266272682,41,0.250005207258,0.125,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2040847320.04,25466593.0613,2040847320.04,2058854920.69,2022839719.39,2024640479.46,2057054160.62,2.0,648547362149000.0,0.00781263314013,114,0.250004260484,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2038617276.19,36800146.1811,2038617276.19,2064638909.1,2012595643.28,2015197806.57,2062036745.81,2.0,1354250758950000.0,0.00390633136341,46,0.125002603629,0.125,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2028712661.51,34643723.6001,2028712661.51,2053209473.4,2004215849.63,2006665530.82,2050759792.21,2.0,1200187584880000.0,0.00781266272682,119,0.250005207258,0.25,0.125,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2025383830.88,55908125.2012,2025383830.88,2064916845.33,1985850816.43,1989804117.87,2060963543.89,2.0,3125718463510000.0,0.00781266272682,98,0.125002603629,0.25,0.25,1.17734560967e-13
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1997993614.84,14874608.7961,1997993614.84,2008511551.58,1987475678.09,1988527471.76,2007459757.91,2.0,221253986836000.0,0.0156253254536,67,0.250005207258,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1967686301.92,26478794.8711,1967686301.92,1986409637.33,1948962966.5,1950835300.05,1984537303.79,2.0,701126577828000.0,0.00781233727318,108,0.249994792742,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1958149020.05,61399368.6538,1958149020.05,2001564929.98,1914733110.11,1919074701.11,1997223338.99,2.0,3769882471090000.0,0.00781263314013,61,0.250004260484,0.125,0.25,1.17734560967e-13
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1948712841.31,40995244.0488,1948712841.31,1977700856.37,1919724826.25,1922623627.75,1974802054.87,2.0,1680610034620000.0,0.0156246745464,82,0.249994792742,0.25,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1938431200.8,18406516.7724,1938431200.8,1951446573.63,1925415827.97,1926717365.26,1950145036.35,2.0,338799859693000.0,0.00390633136341,124,0.125002603629,0.25,0.125,1.17734560967e-13
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1915851651.57,5814821.94577,1915851651.57,1919963351.6,1911739951.54,1912151121.54,1919552181.6,2.0,33812154261000.0,0.0156253254536,92,0.250005207258,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1907208739.1,86386490.8658,1907208739.1,1968293212.59,1846124265.6,1852232712.95,1962184765.24,2.0,7462625804110000.0,0.00781263314013,113,0.250004260484,0.25,0.125,1.17734560967e-13
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1894709129.38,6619457.52557,1894709129.38,1899389792.69,1890028466.08,1890496532.41,1898921726.36,2.0,43817217932800.0,0.00781207099292,77,0.124993135887,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1891869435.22,72231192.2285,1891869435.22,1942944601.06,1840794269.38,1845901785.96,1937837084.47,2.0,5217345130750000.0,0.00390603549646,103,0.124993135887,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1884266389.7,50049592.8618,1884266389.7,1919656796.21,1848875983.19,1852415023.84,1916117755.56,2.0,2504961745630000.0,0.00781266272682,66,0.250005207258,0.125,0.25,1.17734560967e-13
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1879772900.74,16582551.6009,1879772900.74,1891498535.43,1868047266.06,1869219829.53,1890325971.96,2.0,274981017595000.0,0.0156252662803,87,0.250004260484,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1878892194.1,49144025.8354,1878892194.1,1913642268.02,1844142120.18,1847617127.57,1910167260.63,2.0,2415135275310000.0,0.00390603549646,51,0.124993135887,0.125,0.25,1.17734560967e-13
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1877769077.86,16493541.7817,1877769077.86,1889431773.1,1866106382.62,1867272652.15,1888265503.58,2.0,272036920505000.0,0.00781266272682,97,0.125002603629,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1868450977.73,15236697.11,1868450977.73,1879224949.58,1857677005.89,1858754403.07,1878147552.4,2.0,232156938821000.0,0.00390633136341,71,0.125002603629,0.125,0.25,1.17734560967e-13
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1861600089.54,36984592.3,1861600089.54,1887752145.55,1835448033.52,1838063239.12,1885136939.95,2.0,1367860067590000.0,0.00781266272682,118,0.250005207258,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1830527799.42,18841298.5544,1830527799.42,1843850609.39,1817204989.45,1818537270.44,1842518328.4,2.0,354994531215000.0,0.00781233727318,81,0.249994792742,0.125,0.25,1.17734560967e-13
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1818676672.73,31843208.2814,1818676672.73,1841193221.25,1796160124.22,1798411779.08,1838941566.39,2.0,1013989913650000.0,0.00390603549646,102,0.124993135887,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1809322138.03,39005850.8453,1809322138.03,1836903439.66,1781740836.39,1784498966.55,1834145309.5,2.0,1521456400170000.0,0.00781263314013,86,0.250004260484,0.125,0.25,1.17734560967e-13
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1779065033.07,83930662.3228,1779065033.07,1838412973.55,1719717092.59,1725651886.64,1832478179.5,2.0,7044356077940000.0,0.00781233727318,107,0.249994792742,0.25,0.125,1.17734560967e-13
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1758911487.57,40088185.4477,1758911487.57,1787258115.35,1730564859.8,1733399522.57,1784423452.57,2.0,1607062612490000.0,0.00390633136341,123,0.125002603629,0.25,0.125,1.17734560967e-13
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1733902272.95,10566752.7363,1733902272.95,1741374095.47,1726430450.44,1727177632.69,1740626913.22,2.0,111656263390000.0,0.00781263314013,112,0.250004260484,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1731331412.78,8071915.5283,1731331412.78,1737039118.99,1725623706.57,1726194477.19,1736468348.37,2.0,65155820296000.0,0.00390603549646,76,0.124993135887,0.125,0.25,1.17734560967e-13
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1726049686.02,44344896.5002,1726049686.02,1757406263.05,1694693109.0,1697828766.7,1754270605.35,2.0,1966469845610000.0,0.00781266272682,91,0.250005207258,0.125,0.25,1.17734560967e-13
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1689039722.35,74161844.2761,1689039722.35,1741480065.34,1636599379.36,1641843413.66,1736236031.05,2.0,5499979146440000.0,0.00390633136341,96,0.125002603629,0.125,0.25,1.17734560967e-13
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1647344762.93,87409542.1275,1647344762.93,1709152642.91,1585536882.95,1591717670.95,1702971854.91,2.0,7640428054930000.0,0.00390616863659,106,0.249994792742,0.125,0.125,1.17734560967e-13
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1620883137.97,27876795.7663,1620883137.97,1640595009.29,1601171266.64,1603142453.77,1638623822.16,2.0,777115742196000.0,0.00781266272682,117,0.250005207258,0.25,0.125,1.17734560967e-13
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1586755324.89,45081714.0709,1586755324.89,1618632910.62,1554877739.16,1558065497.73,1615445152.04,2.0,2032360943570000.0,0.00390633136341,122,0.125002603629,0.25,0.125,1.17734560967e-13
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1507525916.92,69735758.7853,1507525916.92,1556836544.85,1458215288.99,1463146351.78,1551905482.06,2.0,4863076053360000.0,0.00390631657006,111,0.250004260484,0.125,0.125,1.17734560967e-13
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1445222487.67,45409461.0231,1445222487.67,1477331825.49,1413113149.85,1416324083.63,1474120891.7,2.0,2062019150410000.0,0.00195301774823,101,0.124993135887,0.125,0.125,1.17734560967e-13
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1382629985.11,62878890.0339,1382629985.11,1427092074.64,1338167895.57,1342614104.52,1422645865.69,2.0,3953754811900000.0,0.00195316568171,121,0.125002603629,0.125,0.125,1.17734560967e-13
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1381440547.91,16185112.4965,1381440547.91,1392885150.71,1369995945.11,1371140405.39,1391740690.43,2.0,261957866525000.0,0.00390633136341,116,0.250005207258,0.125,0.125,1.17734560967e-13
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171388575170.0,42732891.204,-171388575170.0,-171358358453.0,-171418791887.0,-171415770215.0,-171361380124.0,2.0,1826099990650000.0,0.00390616863659,110,0.249994792742,0.125,0.125,1.17734560967e-13
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171419861333.0,81768817.2874,-171419861333.0,-171362042048.0,-171477680618.0,-171471898690.0,-171367823976.0,2.0,6686139480590000.0,0.00195301774823,105,0.124993135887,0.125,0.125,1.17734560967e-13
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171473958243.0,43074912.8361,-171473958243.0,-171443499680.0,-171504416806.0,-171501370949.0,-171446545536.0,2.0,1855448115830000.0,0.00781207099292,53,0.124993135887,0.25,0.25,1.17734560967e-13
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171475574823.0,24255844.717,-171475574823.0,-171458423351.0,-171492726295.0,-171491011148.0,-171460138498.0,2.0,588346002936000.0,0.00781207099292,27,0.124993135887,0.25,0.25,1.17734560967e-13
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171484185934.0,22690211.8763,-171484185934.0,-171468141532.0,-171500230337.0,-171498625897.0,-171469745972.0,2.0,514845714991000.0,0.0156252662803,89,0.250004260484,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171491593639.0,38921141.2307,-171491593639.0,-171464072236.0,-171519115041.0,-171516362901.0,-171466824376.0,2.0,1514855234700000.0,0.00195301774823,1,0.124993135887,0.125,0.125,1.17734560967e-13
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171502879730.0,812778.970314,-171502879730.0,-171502305008.0,-171503454451.0,-171503396979.0,-171502362481.0,2.0,660609654585.0,0.00781207099292,79,0.124993135887,0.25,0.25,1.17734560967e-13
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171522678262.0,7737845.45579,-171522678262.0,-171517206779.0,-171528149745.0,-171527602597.0,-171517753928.0,2.0,59874252297600.0,0.0156246745464,84,0.249994792742,0.25,0.25,1.17734560967e-13
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171535211339.0,12477399.3169,-171535211339.0,-171526388485.0,-171544034192.0,-171543151907.0,-171527270770.0,2.0,155685493713000.0,0.00390631657006,115,0.250004260484,0.125,0.125,1.17734560967e-13
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171542728797.0,34991162.5572,-171542728797.0,-171517986309.0,-171567471285.0,-171564997036.0,-171520460557.0,2.0,1224381457110000.0,0.0156246745464,32,0.249994792742,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171556445017.0,29315427.5944,-171556445017.0,-171535715880.0,-171577174155.0,-171575101241.0,-171537788793.0,2.0,859394295043000.0,0.0156246745464,58,0.249994792742,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171561245076.0,17603298.8851,-171561245076.0,-171548797664.0,-171573692488.0,-171572447746.0,-171550042405.0,2.0,309876131637000.0,0.00390616863659,6,0.249994792742,0.125,0.125,1.17734560967e-13
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171587065646.0,14767855.5399,-171587065646.0,-171576623196.0,-171597508097.0,-171596463852.0,-171577667441.0,2.0,218089557247000.0,0.00390633136341,120,0.250005207258,0.125,0.125,1.17734560967e-13
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171590906809.0,57596333.2787,-171590906809.0,-171550180051.0,-171631633566.0,-171627560891.0,-171554252727.0,2.0,3317337607150000.0,0.0156252662803,37,0.250004260484,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171612248692.0,34530511.257,-171612248692.0,-171587831933.0,-171636665451.0,-171634223775.0,-171590273609.0,2.0,1192356207670000.0,0.0156252662803,63,0.250004260484,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171614078218.0,17150401.6647,-171614078218.0,-171601951053.0,-171626205383.0,-171624992667.0,-171603163769.0,2.0,294136277261000.0,0.00390631657006,11,0.250004260484,0.125,0.125,1.17734560967e-13
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171635700990.0,55046943.663,-171635700990.0,-171596776923.0,-171674625057.0,-171670732650.0,-171600669330.0,2.0,3030166006640000.0,0.0156253254536,94,0.250005207258,0.25,0.25,1.17734560967e-13
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171654576841.0,92703755.208,-171654576841.0,-171589025387.0,-171720128294.0,-171713573149.0,-171595580532.0,2.0,8593986229670000.0,0.00195316568171,125,0.125002603629,0.125,0.125,1.17734560967e-13
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171659852244.0,10954261.8141,-171659852244.0,-171652106411.0,-171667598077.0,-171666823493.0,-171652880994.0,2.0,119995851892000.0,0.00390633136341,16,0.250005207258,0.125,0.125,1.17734560967e-13
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171687515014.0,1774926.3268,-171687515014.0,-171686259951.0,-171688770076.0,-171688644570.0,-171686385458.0,2.0,3150363465570.0,0.0156253254536,42,0.250005207258,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171711720831.0,41419689.4337,-171711720831.0,-171682432688.0,-171741008974.0,-171738080160.0,-171685361502.0,2.0,1715590672780000.0,0.0156253254536,68,0.250005207258,0.25,0.25,1.17734560967e-13
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171733184393.0,41014919.1497,-171733184393.0,-171704182465.0,-171762186320.0,-171759286127.0,-171707082658.0,2.0,1682223592860000.0,0.00781266272682,99,0.125002603629,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171754444999.0,668207.934453,-171754444999.0,-171753972504.0,-171754917493.0,-171754870244.0,-171754019754.0,2.0,446501843666.0,0.00195316568171,21,0.125002603629,0.125,0.125,1.17734560967e-13
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171757941212.0,57954544.0284,-171757941212.0,-171716961161.0,-171798921263.0,-171794823258.0,-171721059166.0,2.0,3358729173540000.0,0.00781266272682,47,0.125002603629,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171776575015.0,12031779.6789,-171776575015.0,-171768067262.0,-171785082768.0,-171784231993.0,-171768918038.0,2.0,144763722242000.0,0.00781266272682,73,0.125002603629,0.25,0.25,1.17734560967e-13
