npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1533460716.41,7132937.42583,1533460716.41,1538504464.83,1528416967.99,1528921342.83,1538000089.99,2.0,50878796320800.0,0.250002932717,94,8.705791516489999e-14,0.0156242827598,0.25,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1514728139.08,4723117.91321,1514728139.08,1518067887.79,1511388390.38,1511722365.25,1517733912.92,2.0,22307842822100.0,0.250002932717,78,8.705791516489999e-14,0.00779001066777,0.124645892351,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1501769542.42,9568191.91232,1501769542.42,1508535275.81,1495003809.04,1495680382.37,1507858702.47,2.0,91550296471000.0,0.249997067283,50,8.705791516489999e-14,0.00391749567674,0.125354107649,0.125007204196
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1500188327.33,442374.160333,1500188327.33,1500501133.1,1499875521.56,1499906802.13,1500469852.52,2.0,195694897730.0,0.250002399496,64,8.705791516489999e-14,0.0156242494354,0.25,0.249985591609
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1438611402.09,2402813.51783,1438611402.09,1440310447.82,1436912356.36,1437082260.93,1440140543.25,2.0,5773512801440.0,0.249997067283,34,8.705791516489999e-14,0.0156239161913,0.25,0.249985591609
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1434881771.86,644762.047024,1434881771.86,1435337687.48,1434425856.25,1434471447.81,1435292095.92,2.0,415718097282.0,0.125001466359,119,8.705791516489999e-14,0.00781214137989,0.25,0.249985591609
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1432056598.05,2464703.68918,1432056598.05,1433799406.74,1430313789.36,1430488070.23,1433625125.87,2.0,6074764275440.0,0.124996134146,9,8.705791516489999e-14,0.0078118081358,0.25,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1415670902.73,6101759.73432,1415670902.73,1419985498.41,1411356307.04,1411787766.61,1419554038.84,2.0,37231471855400.0,0.125001466359,103,8.705791516489999e-14,0.00389500533388,0.124645892351,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1412249376.82,7389109.21329,1412249376.82,1417474266.06,1407024487.59,1407546976.52,1416951777.13,2.0,54598934966000.0,0.250002399496,75,8.705791516489999e-14,0.0039175792334,0.125354107649,0.125007204196
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1399110787.36,3180205.07926,1399110787.36,1401359531.94,1396862042.79,1397086917.24,1401134657.48,2.0,10113704346100.0,0.250002932717,89,8.705791516489999e-14,0.0156242827598,0.25,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1391873892.16,2986291.59848,1391873892.16,1393985519.2,1389762265.12,1389973427.82,1393774356.5,2.0,8917937511160.0,0.124996134146,20,8.705791516489999e-14,0.00390635431621,0.25,0.125007204196
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1350775262.13,3668065.80718,1350775262.13,1353368976.33,1348181547.92,1348440919.34,1353109604.91,2.0,13454706765800.0,0.249997067283,45,8.705791516489999e-14,0.00781285860954,0.25,0.125007204196
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1344265232.65,11102658.1526,1344265232.65,1352115997.52,1336414467.78,1337199544.27,1351330921.03,2.0,123269018054000.0,0.250002399496,59,8.705791516489999e-14,0.0156242494354,0.25,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1314482021.21,10740896.719,1314482021.21,1322076982.12,1306887060.3,1307646556.39,1321317486.02,2.0,115366862329000.0,0.250002932717,100,8.705791516489999e-14,0.00391758758907,0.125354107649,0.125007204196
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1310871692.63,629937.467106,1310871692.63,1311317125.69,1310426259.58,1310470802.88,1311272582.38,2.0,396821212463.0,0.125001466359,114,8.705791516489999e-14,0.00781214137989,0.25,0.249985591609
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1264007130.79,289591.957587,1264007130.79,1264211903.23,1263802358.35,1263822835.6,1264191425.99,2.0,83863501899.3,0.249997067283,29,8.705791516489999e-14,0.00778982790274,0.124645892351,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1258941924.29,9710462.92942,1258941924.29,1265808258.48,1252075590.11,1252762223.53,1265121625.06,2.0,94293090303600.0,0.250002399496,70,8.705791516489999e-14,0.0078130252508,0.25,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1250700577.31,3805407.24306,1250700577.31,1253391406.58,1248009748.05,1248278830.97,1253122323.65,2.0,14481124285500.0,0.124996134146,4,8.705791516489999e-14,0.00389483918385,0.124645892351,0.249985591609
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1247098321.16,5148548.97601,1247098321.16,1250738895.06,1243457747.27,1243821804.66,1250374837.67,2.0,26507556558400.0,0.250002932717,84,8.705791516489999e-14,0.0156242827598,0.25,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1229010129.55,12543067.4082,1229010129.55,1237879417.57,1220140841.53,1221027770.33,1236992488.77,2.0,157328540007000.0,0.125001466359,125,8.705791516489999e-14,0.00195879379453,0.125354107649,0.125007204196
