npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,307947208.891,355977.439786,307947208.891,308198922.953,307695494.829,307720666.235,308173751.546,2.0,126719937637.0,0.00783304718417,28,1.0563053673200001e-12,0.125333333333,0.24999086758,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,290076051.49,1334.24278478,290076051.49,290076994.942,290075108.038,290075202.383,290076900.597,2.0,1780203.80875,0.0155827640791,44,1.0563053673200001e-12,0.249333333333,0.24999086758,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,279440349.544,75120.2011471,279440349.544,279493467.548,279387231.541,279392543.341,279488155.748,2.0,5643044620.38,0.0078336194825,53,1.0563053673200001e-12,0.125333333333,0.25000913242,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,261258313.868,75363.4226079,261258313.868,261311603.856,261205023.881,261210352.88,261306274.857,2.0,5679645467.17,0.0155839025875,69,1.0563053673200001e-12,0.249333333333,0.25000913242,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,250109909.145,71468.1448834,250109909.145,250160444.754,250059373.535,250064427.096,250155391.193,2.0,5107695733.07,0.0078336194825,78,1.0563053673200001e-12,0.125333333333,0.25000913242,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,232513456.536,248023.774333,232513456.536,232688835.829,232338077.243,232355615.173,232671297.899,2.0,61515792634.4,0.0155839025875,94,1.0563053673200001e-12,0.249333333333,0.25000913242,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,221303616.825,405252.535881,221303616.825,221590173.641,221017060.009,221045715.69,221561517.96,2.0,164229617838.0,0.00391680974125,103,1.0563053673200001e-12,0.125333333333,0.12500456621,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,211383093.356,250088.628593,211383093.356,211559932.721,211206253.991,211223937.927,211542248.784,2.0,62544322151.4,0.00779081278539,14,1.0563053673200001e-12,0.249333333333,0.12498630137,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,204028916.734,30885.2558391,204028916.734,204050755.908,204007077.561,204009261.478,204048571.991,2.0,953899028.246,0.00779195129376,119,1.0563053673200001e-12,0.249333333333,0.12500456621,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,196897674.04,252778.807724,196897674.04,197076415.649,196718932.431,196736806.592,197058541.488,2.0,63897125634.3,0.0155827640791,39,1.0563053673200001e-12,0.249333333333,0.24999086758,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,167561411.041,252559.37836,167561411.041,167739997.491,167382824.592,167400683.237,167722138.846,2.0,63786239597.8,0.0155839025875,64,1.0563053673200001e-12,0.249333333333,0.25000913242,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,139625500.091,31802.6137138,139625500.091,139647987.935,139603012.247,139605261.031,139645739.15,2.0,1011406239.03,0.0155839025875,89,1.0563053673200001e-12,0.249333333333,0.25000913242,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,125548073.748,283283.454183,125548073.748,125748385.4,125347762.097,125367793.262,125728354.235,2.0,80249515414.1,0.00195769405898,25,1.0563053673200001e-12,0.125333333333,0.12498630137,0.124972890913
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,110508354.012,242489.624528,110508354.012,110679820.07,110336887.954,110354034.56,110662673.464,2.0,58801218003.7,0.00779195129376,114,1.0563053673200001e-12,0.249333333333,0.12500456621,0.25
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,105724932.851,233966.442069,105724932.851,105890372.109,105559493.593,105576037.519,105873828.183,2.0,54740296014.4,0.00783247488584,9,1.0563053673200001e-12,0.250666666667,0.12498630137,0.25
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,98506462.0905,43269.4837186,98506462.0905,98537058.2358,98475865.9451,98478925.5596,98533998.6213,2.0,1872248221.27,0.0156660943683,34,1.0563053673200001e-12,0.250666666667,0.24999086758,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,97309371.2603,169083.309089,97309371.2603,97428931.2148,97189811.3059,97201767.3013,97416975.2193,2.0,28589165412.4,0.00391567420506,50,1.0563053673200001e-12,0.125333333333,0.24999086758,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,70723105.5834,185956.214267,70723105.5834,70854596.4835,70591614.6833,70604763.7733,70841447.3935,2.0,34579713624.5,0.015667238965,59,1.0563053673200001e-12,0.250666666667,0.25000913242,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,69093037.4165,75202.3089593,69093037.4165,69146213.4791,69039861.3538,69045178.9601,69140895.8728,2.0,5655387272.81,0.00391596029216,75,1.0563053673200001e-12,0.125333333333,0.25000913242,0.124972890913
