smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3325785294.38,40631002.8665,-3312058171.84,-3296397097.92,-3382627735.94,-3374368602.91,-3296419957.42,4.0,1650878393930000.0,4.95258127397e-14,0.250000944804,120,0.125226860254,0.124990974078,0.00391307159924
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3330783691.02,18174580.7964,-3326525725.35,-3315843992.64,-3354239320.73,-3351510532.19,-3316018001.79,4.0,330315387125000.0,4.95258127397e-14,0.250000944804,113,0.249546279492,0.124990974078,0.00779778760718
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3350229200.98,6677100.19041,-3351336512.26,-3341156569.68,-3357087209.73,-3356372862.55,-3342535303.63,4.0,44583666952800.0,4.95258127397e-14,0.124998488314,52,0.249546279492,0.250018051845,0.00779879001474
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3364170647.94,22628187.3521,-3355999644.69,-3347776673.85,-3396906628.52,-3391606870.9,-3348173829.53,4.0,512034862843000.0,4.95258127397e-14,0.249999055196,106,0.125226860254,0.124990974078,0.00391304202267
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3375058655.62,5109794.44716,-3373461289.42,-3370845726.13,-3382466317.52,-3381198036.75,-3371155587.18,4.0,26109999292200.0,4.95258127397e-14,0.124998488314,76,0.125226860254,0.249981948155,0.00391300948845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3377459297.21,3020598.52338,-3376840095.11,-3374504076.31,-3381652922.3,-3380987661.89,-3374797815.47,4.0,9124015439420.0,4.95258127397e-14,0.249999055196,57,0.249546279492,0.250018051845,0.0155977097136
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3380057044.41,55430252.2551,-3357798754.88,-3343696208.55,-3460934459.34,-3447486071.01,-3343789623.16,4.0,3072512865060000.0,4.95258127397e-14,0.250000944804,94,0.250453720508,0.249981948155,0.015652286397
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3387042196.03,33668457.1638,-3378330218.54,-3359550245.52,-3431958101.52,-3426227160.33,-3360054000.22,4.0,1133565007790000.0,4.95258127397e-14,0.250000944804,63,0.249546279492,0.250018051845,0.0155978276082
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3388439075.38,38865400.3869,-3373651443.98,-3360538412.88,-3445915000.66,-3435447167.67,-3362133667.04,4.0,1510519347240000.0,4.95258127397e-14,0.250000944804,69,0.250453720508,0.250018051845,0.0156545469814
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3418076668.64,7104419.10618,-3415649884.83,-3412537631.49,-3428469273.4,-3426649886.15,-3412900948.46,4.0,50472770836300.0,4.95258127397e-14,0.249999055196,81,0.125226860254,0.249981948155,0.00782608404535
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3433499514.51,49485326.4708,-3434008730.83,-3379516093.09,-3486464503.3,-3482873602.74,-3383412523.43,4.0,2448797535930000.0,4.95258127397e-14,0.125000566882,75,0.125226860254,0.250018051845,0.00391363970343
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3457562103.2,11428450.8214,-3453359014.56,-3449589549.12,-3473940834.54,-3471380402.22,-3449628128.27,4.0,130609488178000.0,4.95258127397e-14,0.250000944804,119,0.250453720508,0.124990974078,0.00782614319848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3460773175.29,8900882.299,-3459484210.7,-3452860993.42,-3471263286.32,-3470329628.78,-3453021272.21,4.0,79225705700700.0,4.95258127397e-14,0.250000944804,112,0.249546279492,0.124990974078,0.00779778760718
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3461440327.0,31533959.6191,-3445984550.05,-3445062996.57,-3508729211.33,-3499421121.46,-3445097620.27,4.0,994390609259000.0,4.95258127397e-14,0.250000944804,87,0.249546279492,0.249981948155,0.0155955752144
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3492908743.94,6849199.7178,-3492936932.12,-3484996235.78,-3500764875.75,-3500020303.02,-3485757721.42,4.0,46911536774400.0,4.95258127397e-14,0.124998488314,51,0.125226860254,0.250018051845,0.00391357462558
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3506742565.77,20370983.1034,-3510144364.04,-3479158309.31,-3527523225.69,-3525488163.74,-3483234450.22,4.0,414976952599000.0,4.95258127397e-14,0.125000566882,100,0.125226860254,0.249981948155,0.0039130745569
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3508057144.33,8033524.5037,-3507594780.57,-3500953012.08,-3516086004.07,-3515750592.45,-3501011005.45,4.0,64537515951500.0,4.95258127397e-14,0.250000944804,68,0.249546279492,0.250018051845,0.0155978276082
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3511107231.75,7569535.44203,-3509589124.27,-3503761153.15,-3521489525.31,-3519953831.06,-3504385982.91,4.0,57297866808100.0,4.95258127397e-14,0.249999055196,32,0.249546279492,0.250018051845,0.0155977097136
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3511957374.94,13338717.7907,-3509626942.11,-3498995972.61,-3529579642.95,-3527293173.03,-3499884182.83,4.0,177921392299000.0,4.95258127397e-14,0.249999055196,56,0.125226860254,0.250018051845,0.00782721432901
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3513803731.04,30547168.5694,-3500204944.8,-3495374061.89,-3559430972.66,-3550847755.17,-3495798007.64,4.0,933129507609000.0,4.95258127397e-14,0.250000944804,62,0.249546279492,0.250018051845,0.0155978276082
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3513934587.17,8596304.3045,-3510266184.81,-3508577324.51,-3526628654.54,-3524409917.36,-3508595020.27,4.0,73896447695500.0,4.95258127397e-14,0.250000944804,38,0.249546279492,0.250018051845,0.0155978276082
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3522263800.1,40568175.5139,-3508974766.15,-3489665340.89,-3581440327.22,-3571040221.14,-3492092026.6,4.0,1645776864530000.0,4.95258127397e-14,0.125000566882,50,0.125226860254,0.250018051845,0.00391363970343
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3522866007.41,18252067.742,-3519192499.08,-3505206406.16,-3547872625.31,-3544200178.99,-3506674747.49,4.0,333137976858000.0,4.95258127397e-14,0.250000944804,44,0.250453720508,0.250018051845,0.0156545469814
