smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,165600181.448,950294.732955,165600181.448,166272141.298,164928221.599,164995417.584,166204945.313,2.0,903060079482.0,2.43433201164e-13,0.0156246325691,0.25,57,0.249994121105,0.25
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,150253908.304,1518309.07066,150253908.304,151327514.944,149180301.664,149287662.328,151220154.28,2.0,2305262434050.0,2.43433201164e-13,0.00781194885362,0.25,52,0.124991181658,0.25
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,116244134.219,1694296.80285,116244134.219,117442182.977,115046085.46,115165890.336,117322378.102,2.0,2870641656150.0,2.43433201164e-13,0.0156253674309,0.25,62,0.250005878895,0.25
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,87099873.8164,1476892.69526,87099873.8164,88144194.6563,86055552.9765,86159985.0605,88039762.5723,2.0,2181212033310.0,2.43433201164e-13,0.00781194885362,0.25,79,0.124991181658,0.25
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,67100916.6438,46937.1065792,67100916.6438,67134106.1902,67067727.0975,67071046.0521,67130787.2356,2.0,2203091974.02,2.43433201164e-13,0.0156253674309,0.25,67,0.250005878895,0.25
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,40167057.9278,4847079.44117,40167057.9278,43594460.6696,36739655.186,37082395.4602,43251720.3954,2.0,23494179109000.0,2.43433201164e-13,0.0156246325691,0.25,84,0.249994121105,0.25
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,22375898.1059,3013242.19888,22375898.1059,24506582.0981,20245214.1137,20458282.513,24293513.6989,2.0,9079628549130.0,2.43433201164e-13,0.00781231628454,0.25,56,0.249994121105,0.125
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,19570035.7546,74162.5181485,19570035.7546,19622476.5741,19517594.9351,19522839.0171,19617232.4921,2.0,5500079098.13,2.43433201164e-13,0.00781268371546,0.25,72,0.125002939447,0.25
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-15529284.0379,390997.482715,-15529284.0379,-15252807.0665,-15805761.0094,-15778113.3122,-15280454.7636,2.0,152879031490.0,2.43433201164e-13,0.0156253674309,0.25,89,0.250005878895,0.25
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-28039062.0658,1873772.00066,-28039062.0658,-26714105.1777,-29364018.9539,-29231523.2651,-26846600.8666,2.0,3511021510470.0,2.43433201164e-13,0.00781268371546,0.25,61,0.250005878895,0.125
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-30182441.1801,6525165.90619,-30182441.1801,-25568452.1195,-34796430.2408,-34335031.3347,-26029851.0256,2.0,42577790103300.0,2.43433201164e-13,0.00390597442681,0.25,51,0.124991181658,0.125
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-59917393.698,363211.369701,-59917393.698,-59660564.4755,-60174222.9206,-60148539.9983,-59686247.3978,2.0,131922499080.0,2.43433201164e-13,0.0156253674309,0.25,94,0.250005878895,0.25
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-77829545.5907,1980216.38014,-77829545.5907,-76429321.16,-79229770.0213,-79089747.5782,-76569343.6031,2.0,3921256912180.0,2.43433201164e-13,0.00781268371546,0.25,66,0.250005878895,0.125
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-92424536.9305,4734722.84113,-92424536.9305,-89076582.3025,-95772491.5585,-95437696.0957,-89411377.7653,2.0,22417600382300.0,2.43433201164e-13,0.0156246325691,0.25,83,0.249994121105,0.25
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-96064691.3526,5935874.07506,-96064691.3526,-91867394.5419,-100261988.163,-99842258.4823,-92287124.223,2.0,35234601034900.0,2.43433201164e-13,0.00781194885362,0.25,78,0.124991181658,0.25
720.0,-240.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-108388771.416,829900.138094,-108388771.416,-107801943.401,-108975599.431,-108916916.63,-107860626.202,2.0,688734239208.0,2.43433201164e-13,0.00781268371546,0.25,99,0.125002939447,0.25
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-122764037.684,2711218.86872,-122764037.684,-120846916.437,-124681158.932,-124489446.807,-121038628.562,2.0,7350707754110.0,2.43433201164e-13,0.00390634185773,0.25,71,0.125002939447,0.125
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-138093308.026,1008128.7748,-138093308.026,-137380453.333,-138806162.719,-138734877.249,-137451738.802,2.0,1016323626580.0,2.43433201164e-13,0.0156253674309,0.25,88,0.250005878895,0.25
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-185225499.727,7222945.33862,-185225499.727,-180118106.098,-190332893.357,-189822153.994,-180628845.461,2.0,52170939364700.0,2.43433201164e-13,0.0156253674309,0.25,93,0.250005878895,0.25
720.0,-395.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-231573056.17,103196.451423,-231573056.17,-231500085.259,-231646027.08,-231638729.989,-231507382.35,2.0,10649507586.4,2.43433201164e-13,0.00781268371546,0.25,98,0.125002939447,0.25
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-245722105.215,3091473.54269,-245722105.215,-243536103.309,-247908107.121,-247689506.93,-243754703.5,2.0,9557208665150.0,2.43433201164e-13,0.0156246325691,0.25,82,0.249994121105,0.25
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-276777308.925,5487247.54466,-276777308.925,-272897238.976,-280657378.874,-280269371.879,-273285245.971,2.0,30109885616300.0,2.43433201164e-13,0.00781194885362,0.25,77,0.124991181658,0.25
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-297332269.124,27062.2192219,-297332269.124,-297313133.246,-297351405.003,-297349491.415,-297315046.833,2.0,732363709.217,2.43433201164e-13,0.0156253674309,0.25,87,0.250005878895,0.25
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-323971458.675,13607722.7124,-323971458.675,-314349345.668,-333593571.681,-332631360.38,-315311556.969,2.0,185170117417000.0,0.0,0.00390592428786,0.12499839544,104,0.124991181658,0.25
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-347117530.328,1709674.26213,-347117530.328,-345908608.064,-348326452.592,-348205560.366,-346029500.29,2.0,2922986082590.0,2.43433201164e-13,0.0156253674309,0.25,92,0.250005878895,0.25
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-348421680.109,6934801.22897,-348421680.109,-343518035.134,-353325325.084,-352834960.587,-344008399.631,2.0,48091468085300.0,0.0,0.00781221600193,0.12499839544,109,0.249994121105,0.25
720.0,-550.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-396307015.178,228709.783088,-396307015.178,-396145292.939,-396468737.416,-396452565.192,-396161465.163,2.0,52308164880.2,2.43433201164e-13,0.00781268371546,0.25,97,0.125002939447,0.25
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-397007256.988,2922434.26584,-397007256.988,-394940783.901,-399073730.075,-398867082.766,-395147431.21,2.0,8540622038150.0,0.0,0.00781258342813,0.12499839544,114,0.250005878895,0.25
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-413920559.837,934000.662162,-413920559.837,-413260121.635,-414580998.039,-414514954.219,-413326165.456,2.0,872357236920.0,2.43433201164e-13,0.00781231628454,0.25,81,0.249994121105,0.125
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-441301733.048,3416489.18249,-441301733.048,-438885910.379,-443717555.717,-443475973.45,-439127492.646,2.0,11672398334100.0,0.0,0.00781258342813,0.12499839544,119,0.250005878895,0.25
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-454410053.721,5051634.74436,-454410053.721,-450838008.537,-457982098.904,-457624894.386,-451195213.055,2.0,25519013590400.0,2.43433201164e-13,0.00390597442681,0.25,76,0.124991181658,0.125
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-461839122.734,4544495.14084,-461839122.734,-458625679.403,-465052566.065,-464731221.732,-458947023.736,2.0,20652436085100.0,2.43433201164e-13,0.00781268371546,0.25,86,0.250005878895,0.125
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-484659089.53,7949443.58356,-484659089.53,-479037984.065,-490280194.995,-489718084.448,-479600094.612,2.0,63193653288200.0,0.0,0.00390629171407,0.12499839544,124,0.125002939447,0.25
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-510051033.019,5174919.29812,-510051033.019,-506391812.491,-513710253.547,-513344331.494,-506757734.544,2.0,26779789742100.0,0.0,0.00390592428786,0.12499839544,103,0.124991181658,0.25
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-512649402.038,2367484.24428,-512649402.038,-510975337.874,-514323466.201,-514156059.785,-511142744.29,2.0,5604981646920.0,2.43433201164e-13,0.00781268371546,0.25,91,0.250005878895,0.125
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-517140487.553,2137000.44525,-517140487.553,-515629400.047,-518651575.059,-518500466.309,-515780508.797,2.0,4566770903020.0,0.0,0.00781221600193,0.12499839544,108,0.249994121105,0.25
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-559035734.612,2310466.17977,-559035734.612,-557401988.309,-560669480.916,-560506106.285,-557565362.939,2.0,5338253967870.0,2.43433201164e-13,0.00390634185773,0.25,96,0.125002939447,0.125
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-575138969.386,9896712.56333,-575138969.386,-568140936.821,-582137001.951,-581437198.694,-568840740.077,2.0,97944919561300.0,0.0,0.00781258342813,0.12499839544,113,0.250005878895,0.25
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-620172017.508,9943985.07236,-620172017.508,-613140558.231,-627203476.785,-626500330.857,-613843704.159,2.0,98882839119300.0,0.0,0.00781258342813,0.12499839544,118,0.250005878895,0.25
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-675347879.379,5367094.15862,-675347879.379,-671552770.704,-679142988.053,-678763477.186,-671932281.571,2.0,28805699707500.0,0.0,0.00390629171407,0.12499839544,123,0.125002939447,0.25
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-694463881.53,7255493.17241,-694463881.53,-689333473.107,-699594289.953,-699081249.111,-689846513.949,2.0,52642181174900.0,0.0,0.00390592428786,0.12499839544,102,0.124991181658,0.25
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-699523390.304,2412833.73122,-699523390.304,-697817259.21,-701229521.397,-701058908.287,-697987872.32,2.0,5821766614510.0,0.0,0.00781221600193,0.12499839544,107,0.249994121105,0.25
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-749386438.666,528963.226004,-749386438.666,-749012405.182,-749760472.15,-749723068.802,-749049808.531,2.0,279802094465.0,0.0,0.00781258342813,0.12499839544,112,0.250005878895,0.25
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-793934242.515,7023491.24309,-793934242.515,-788967884.229,-798900600.801,-798403964.972,-789464520.058,2.0,49329429241800.0,0.0,0.00781258342813,0.12499839544,117,0.250005878895,0.25
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-843907101.192,164415.130363,-843907101.192,-843790842.138,-844023360.246,-844011734.34,-843802468.044,2.0,27032335092.2,0.0,0.00390629171407,0.12499839544,122,0.125002939447,0.25
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-874482293.307,2582448.07842,-874482293.307,-872656226.758,-876308359.855,-876125753.2,-872838833.413,2.0,6669038077740.0,0.0,0.00195296214393,0.12499839544,101,0.124991181658,0.125
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-877858650.711,4320364.68883,-877858650.711,-874803691.543,-880913609.88,-880608113.963,-875109187.459,2.0,18665551044500.0,0.0,0.00390610800096,0.12499839544,106,0.249994121105,0.125
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-927021557.213,3942827.63133,-927021557.213,-924233557.057,-929809557.368,-929530757.352,-924512357.073,2.0,15545889730400.0,0.0,0.00390629171407,0.12499839544,111,0.250005878895,0.125
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-970451618.11,1558014.90421,-970451618.11,-969349935.206,-971553301.014,-971443132.723,-969460103.496,2.0,2427410441740.0,0.0,0.00390629171407,0.12499839544,116,0.250005878895,0.125
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1010602558.6,2612048.22101,-1010602558.6,-1008755561.59,-1012449555.61,-1012264855.91,-1008940261.29,2.0,6822795908870.0,0.0,0.00195314585703,0.12499839544,121,0.125002939447,0.125
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1438133128.6,0.0,-1438133128.6,-1438133128.6,-1438133128.6,-1438133128.6,-1438133128.6,2.0,0.0,2.43433201164e-13,0.00195301228288,0.12500160456,1,0.124991181658,0.125
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1486943698.53,0.0,-1486943698.53,-1486943698.53,-1486943698.53,-1486943698.53,-1486943698.53,2.0,0.0,2.43433201164e-13,0.00390620828358,0.12500160456,6,0.249994121105,0.125
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1535758860.02,0.0,-1535758860.02,-1535758860.02,-1535758860.02,-1535758860.02,-1535758860.02,2.0,0.0,2.43433201164e-13,0.00390639200139,0.12500160456,11,0.250005878895,0.125
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1584574021.51,0.0,-1584574021.51,-1584574021.51,-1584574021.51,-1584574021.51,-1584574021.51,2.0,0.0,2.43433201164e-13,0.00390639200139,0.12500160456,16,0.250005878895,0.125
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1633389183.0,0.0,-1633389183.0,-1633389183.0,-1633389183.0,-1633389183.0,-1633389183.0,2.0,0.0,2.43433201164e-13,0.0019531960007,0.12500160456,21,0.125002939447,0.125
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1943513415.19,3286348.15538,-1943513415.19,-1941189616.12,-1945837214.25,-1945604834.35,-1941421996.03,2.0,10800084198300.0,2.43433201164e-13,0.00781194885362,0.25,53,0.124991181658,0.25
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1992814921.26,4328623.07245,-1992814921.26,-1989754122.54,-1995875719.99,-1995569640.12,-1990060202.41,2.0,18736977703400.0,2.43433201164e-13,0.0156246325691,0.25,58,0.249994121105,0.25
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2042895364.91,217840.158784,-2042895364.91,-2042741328.65,-2043049401.16,-2043033997.54,-2042756732.28,2.0,47454334778.8,2.43433201164e-13,0.0156253674309,0.25,63,0.250005878895,0.25
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2090912207.98,796012.89329,-2090912207.98,-2090349341.87,-2091475074.09,-2091418787.48,-2090405628.48,2.0,633636526284.0,2.43433201164e-13,0.0156253674309,0.25,68,0.250005878895,0.25
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2139737193.24,2166563.28664,-2139737193.24,-2138205201.65,-2141269184.83,-2141115985.67,-2138358400.81,2.0,4693996475010.0,2.43433201164e-13,0.00781268371546,0.25,73,0.125002939447,0.25
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2412940269.18,3330088.24667,-2412940269.18,-2410585541.2,-2415294997.16,-2415059524.36,-2410821013.99,2.0,11089487730600.0,0.0,0.00195296214393,0.12499839544,105,0.124991181658,0.125
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2458644343.7,6512880.42014,-2458644343.7,-2454039041.79,-2463249645.61,-2462789115.42,-2454499571.98,2.0,42417611367000.0,0.0,0.00390610800096,0.12499839544,110,0.249994121105,0.125
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2508402450.29,5385036.33658,-2508402450.29,-2504594654.58,-2512210246.0,-2511829466.43,-2504975434.15,2.0,28998616346300.0,0.0,0.00390629171407,0.12499839544,115,0.250005878895,0.125
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2556486454.79,8315924.90258,-2556486454.79,-2550606207.9,-2562366701.68,-2561778676.99,-2551194232.59,2.0,69154606985400.0,0.0,0.00390629171407,0.12499839544,120,0.250005878895,0.125
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2607322801.93,630011.687008,-2607322801.93,-2606877316.4,-2607768287.47,-2607723738.92,-2606921864.95,2.0,396914725767.0,0.0,0.00195314585703,0.12499839544,125,0.125002939447,0.125
720.0,-395.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239424617232000.0,2898953.09332,-239424617232000.0,-239424615182000.0,-239424619282000.0,-239424619077000.0,-239424615387000.0,2.0,8403929037240.0,2.43433201164e-13,0.00781194885362,0.25,28,0.124991181658,0.25
720.0,-395.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239424666845000.0,653525.411289,-239424666845000.0,-239424666383000.0,-239424667307000.0,-239424667261000.0,-239424666429000.0,2.0,427095463200.0,2.43433201164e-13,0.0156246325691,0.25,33,0.249994121105,0.25
720.0,-395.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239424710779000.0,262445.687041,-239424710779000.0,-239424710593000.0,-239424710965000.0,-239424710946000.0,-239424710612000.0,2.0,68877738646.5,2.43433201164e-13,0.0156253674309,0.25,38,0.250005878895,0.25
