smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,17116892.4618,20377867.3529,15099422.265,56052064.086,-14823115.0585,-10441488.337,46599788.5287,10.0,415257477851000.0,1.73883786583e-14,0.111110467246,0.110483870968,0.00136429691928,415,0.111136071887
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,16452584.3637,7007653.74865,17296698.6309,25528100.9021,6746206.58488,7564020.7953,24899405.5885,10.0,49107211061000.0,1.73883786583e-14,0.11111130707,0.0556451612903,0.00068693441784,121,0.111103979461
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,9082403.33021,10020916.6726,7544030.1833,24897769.0671,-1948343.40859,-1921968.28315,23289179.2646,10.0,100418770958000.0,1.73883786583e-14,0.111110467246,0.0556451612903,0.000687127645479,311,0.111136071887
720.0,-361.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,7892563.99895,23027942.7235,8846510.42174,37112990.3049,-41893045.9021,-27240421.477,33780048.0611,10.0,530286146078000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,606,0.111103979461
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,2294494.28178,17395612.4453,4419352.57221,22854606.3631,-38644299.8664,-25405697.2204,20766733.5415,10.0,302607332348000.0,1.73883786583e-14,0.111110467246,0.110483870968,0.00136429691928,414,0.111136071887
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-42918946.2416,19220037.2122,-46327893.8809,-3617895.17168,-69022782.3038,-66674383.633,-14939302.0922,10.0,369409830440000.0,1.73883786583e-14,0.0555547717199,0.0556451612903,0.000343560966245,401,0.111136071887
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-45803258.7371,13729914.8975,-47951269.9638,-22979225.4632,-67639168.638,-62761766.1904,-25589342.9939,10.0,188510563092000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137425529096,413,0.111136071887
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-50375013.8785,36370822.1271,-42056958.6133,-12126886.602,-113752524.792,-107777054.603,-13633526.4414,10.0,1322836702200000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,809,0.111103979461
720.0,-567.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-56410461.5665,13976084.0626,-54173923.0107,-40200076.1106,-79550905.873,-78180254.6015,-40362960.8486,10.0,195330925725000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,503,0.111103979461
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-64053756.7735,28570923.926,-59837153.1897,-27113481.0285,-119705674.595,-108036964.684,-28021944.8981,10.0,816297693983000.0,1.73883786583e-14,0.0555547717199,0.110483870968,0.000681945807749,605,0.111103979461
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-65541843.0456,5683058.71699,-66066837.5865,-57127954.527,-73603058.1781,-72678703.7962,-57428660.7578,10.0,32297156380800.0,1.73883786583e-14,0.11111130707,0.111290322581,0.00137386883568,223,0.111103979461
720.0,-292.0,-5601.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-73005057.9207,29837587.8504,-81977524.607,-18793138.6286,-109711724.041,-104152334.831,-23631566.8849,10.0,890281648731000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,707,0.111103979461
720.0,-361.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-74399926.5845,23957123.1965,-69032410.3688,-44584151.2842,-124258054.434,-110865356.352,-49475144.9363,10.0,573943751852000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,516,0.111103979461
