smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1821689431.6,2816169.81856,-1822128908.84,-1817872162.02,-1824627746.69,-1824300463.47,-1818463131.59,4.0,7930812446960.0,0.0156524342817,1.7334191682000001e-13,0.249981948155,0.250003306843,0.250453720508,89
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1835187028.54,3661196.15793,-1834258340.21,-1832250670.21,-1839980763.53,-1839400730.93,-1832273489.81,4.0,13404357306800.0,0.0156524342817,1.7334191682000001e-13,0.249981948155,0.250003306843,0.250453720508,94
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1848405220.89,1973115.77053,-1848707873.2,-1845733201.65,-1850471935.5,-1850238315.69,-1846148412.84,4.0,3893185843900.0,0.00782714037597,1.7334191682000001e-13,0.250018051845,0.249996693157,0.125226860254,56
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1856481272.34,6024160.14874,-1856604095.91,-1849150707.73,-1863566189.79,-1862756857.12,-1850033734.54,4.0,36290505497700.0,0.00782623784463,1.7334191682000001e-13,0.249981948155,0.125001984106,0.250453720508,99
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1868858309.09,4869706.91624,-1869647770.76,-1862227964.79,-1873909730.03,-1873338954.93,-1863272416.89,4.0,23714045450100.0,0.00782734744372,1.7334191682000001e-13,0.250018051845,0.250003306843,0.125226860254,61
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1890298281.85,3916179.50586,-1889922816.16,-1885909764.24,-1895437730.86,-1894635235.43,-1886486980.25,4.0,15336461922100.0,0.00782734744372,1.7334191682000001e-13,0.250018051845,0.250003306843,0.125226860254,66
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1914911092.35,3455482.66691,-1913753745.83,-1912308183.71,-1919828694.01,-1919074208.6,-1912368261.21,4.0,11940360461300.0,0.00391368407525,1.7334191682000001e-13,0.250018051845,0.125001984106,0.125226860254,71
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1915975787.45,2300560.29778,-1915403441.2,-1913862436.73,-1919233830.66,-1918699167.14,-1914053692.51,4.0,5292577683700.0,0.00391345630072,1.7334191682000001e-13,0.250018051845,0.124994709051,0.125226860254,51
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1922917594.41,3327343.26125,-1923455079.39,-1918601335.28,-1926158883.59,-1925951738.95,-1919130970.91,4.0,11071213178200.0,0.0155953099878,1.7334191682000001e-13,0.249981948155,0.249996693157,0.249546279492,83
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1942826108.62,2987670.87954,-1942223654.87,-1939871481.54,-1946985643.2,-1946286745.26,-1940208907.24,4.0,8926177284480.0,0.0155957225633,1.7334191682000001e-13,0.249981948155,0.250003306843,0.249546279492,88
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1956431069.76,2361003.47329,-1956149118.7,-1954115435.99,-1959310605.62,-1959017321.79,-1954239549.2,4.0,5574337400880.0,0.00779742807743,1.7334191682000001e-13,0.249981948155,0.124994709051,0.249546279492,78
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1965559510.89,3111467.99996,-1966049438.78,-1961394975.11,-1968744190.88,-1968450107.89,-1961983014.84,4.0,9681233114760.0,0.0155957225633,1.7334191682000001e-13,0.249981948155,0.250003306843,0.249546279492,93
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1978110212.57,6717709.71362,-1976812071.93,-1972428815.46,-1986387890.94,-1985544106.38,-1972493715.64,4.0,45127623796500.0,0.00195644559034,1.7334191682000001e-13,0.124990974078,0.124994709051,0.125226860254,105
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1984594745.75,2458727.36409,-1985460262.26,-1980989430.18,-1986469028.32,-1986355444.84,-1981622323.57,4.0,6045340250910.0,0.00391300505149,1.7334191682000001e-13,0.124990974078,0.249996693157,0.125226860254,110
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1989471499.86,6542920.52938,-1989397793.08,-1981581287.98,-1997509125.31,-1996424888.96,-1982621300.27,4.0,42809809053800.0,0.00779788191041,1.7334191682000001e-13,0.249981948155,0.125001984106,0.249546279492,98
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2004048822.42,11330553.6855,-2007605546.94,-1988339237.65,-2012644958.16,-2012552778.75,-1990565451.77,4.0,128381446820000.0,0.00391310857042,1.7334191682000001e-13,0.124990974078,0.250003306843,0.125226860254,115
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2027728273.65,9691657.61387,-2026497257.09,-2018368688.97,-2039549891.46,-2038352434.21,-2018827536.28,4.0,93928227304400.0,0.00391310857042,1.7334191682000001e-13,0.124990974078,0.250003306843,0.125226860254,120
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2053098493.55,2451407.32713,-2052790772.9,-2050939922.88,-2055872505.49,-2055658635.82,-2050969160.16,4.0,6009397883530.0,0.0155953099878,1.7334191682000001e-13,0.249981948155,0.249996693157,0.249546279492,82
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2062447855.96,6515049.32972,-2064684168.14,-2052923935.67,-2067499151.87,-2067188891.69,-2054575983.16,4.0,42445867768700.0,0.00195655946116,1.7334191682000001e-13,0.124990974078,0.125001984106,0.125226860254,125
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2073104026.09,6912029.24399,-2072493149.07,-2065858281.8,-2081571524.41,-2080664527.51,-2066398752.49,4.0,47776148269700.0,0.0155957225633,1.7334191682000001e-13,0.249981948155,0.250003306843,0.249546279492,87
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2097843906.86,3994160.89382,-2097914148.0,-2093035596.47,-2102511734.98,-2102004012.61,-2093585463.52,4.0,15953321245800.0,0.00779742807743,1.7334191682000001e-13,0.249981948155,0.124994709051,0.249546279492,77
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2100997936.97,4632392.13316,-2100695434.74,-2095732917.7,-2106867960.7,-2106092701.11,-2096326675.95,4.0,21459056875400.0,0.0155957225633,1.7334191682000001e-13,0.249981948155,0.250003306843,0.249546279492,92
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2119566776.05,4464626.48672,-2119671324.27,-2114733315.12,-2124191140.54,-2123924366.73,-2115062817.86,4.0,19932889665900.0,0.00782601010299,1.7334191682000001e-13,0.124990974078,0.249996693157,0.250453720508,109
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2127862199.14,5618762.30415,-2127527237.67,-2122742650.64,-2133651670.58,-2133358339.38,-2122835004.95,4.0,31570489830600.0,0.00779788191041,1.7334191682000001e-13,0.249981948155,0.125001984106,0.249546279492,97
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2132879205.25,4046409.59581,-2134470901.37,-2126929166.54,-2135645851.75,-2135575463.14,-2127954572.81,4.0,16373430617100.0,0.00391289118068,1.7334191682000001e-13,0.124990974078,0.124994709051,0.250453720508,104
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2147544094.53,1406638.19895,-2147884399.77,-2145572959.65,-2148834618.94,-2148733635.22,-2145878126.51,4.0,1978631022740.0,0.00782621714084,1.7334191682000001e-13,0.124990974078,0.250003306843,0.250453720508,114
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2173595831.18,4798003.84546,-2174459390.47,-2167837092.53,-2177627451.25,-2177604163.31,-2168378516.04,4.0,23020840901100.0,0.00782621714084,1.7334191682000001e-13,0.124990974078,0.250003306843,0.250453720508,119
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2182703793.74,6189445.26694,-2182681758.95,-2175955393.09,-2189496263.95,-2188985499.82,-2176452936.35,4.0,38309232712400.0,0.00782601010299,1.7334191682000001e-13,0.249981948155,0.249996693157,0.125226860254,81
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2206441431.26,2229881.30003,-2206940988.13,-2203314149.81,-2208569598.97,-2208360326.9,-2203823156.0,4.0,4972370612200.0,0.00782621714084,1.7334191682000001e-13,0.249981948155,0.250003306843,0.125226860254,86
