npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1797778001.22,28420872.1141,1797778001.22,1817874592.62,1777681409.83,1779691068.96,1815864933.48,2.0,807745971727000.0,29,0.00781248935947,0.249999659503,0.125,0.25,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1666137643.75,43962456.4376,1666137643.75,1697223794.81,1635051492.68,1638160107.79,1694115179.71,2.0,1932697576020000.0,35,0.0078116948421,0.249999659503,0.25,0.124987287705,8.656992832709999e-15
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1620632527.72,75190748.8127,1620632527.72,1673800416.09,1567464639.35,1572781428.19,1668483627.25,2.0,5653648707010000.0,75,0.00390585806049,0.250000340497,0.125,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1531327622.39,31975649.3853,1531327622.39,1553937820.91,1508717423.88,1510978443.73,1551676801.05,2.0,1022442153610000.0,51,0.00390585806049,0.250000340497,0.125,0.124987287705,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1501591091.9,39060193.6027,1501591091.9,1529210819.67,1473971364.13,1476733336.91,1526448846.89,2.0,1525698724280000.0,69,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1497504551.89,6753207.18052,1497504551.89,1502279790.48,1492729313.29,1493206837.15,1501802266.62,2.0,45605807223000.0,57,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1478112784.15,90381244.0369,1478112784.15,1542021974.7,1414203593.6,1420594512.65,1535631055.64,2.0,8168769273650000.0,58,0.0156266103201,0.250000340497,0.25,0.250025424591,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1470528096.98,110063002.422,1470528096.98,1548354392.35,1392701801.61,1400484431.15,1540571762.82,2.0,1.21138645022e+16,30,0.00390584742105,0.249999659503,0.125,0.124987287705,8.656992832709999e-15
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1439791010.96,2748793.75223,1439791010.96,1441734701.66,1437847320.25,1438041689.32,1441540332.59,2.0,7555867092300.0,63,0.0156266103201,0.250000340497,0.25,0.250025424591,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1424898615.68,8132199.97093,1424898615.68,1430648949.43,1419148281.94,1419723315.31,1430073916.05,2.0,66132676367200.0,52,0.00781251064053,0.250000340497,0.125,0.25,8.656992832709999e-15
