smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1024536727.26,29284365.9778,-1016081584.98,-999203522.273,-1066780216.79,-1059372708.44,-1001537945.25,4.0,857574090720000.0,0.250453720508,0.124990974078,4.95258127397e-14,104,0.00391300948845,0.124998488314
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1026044709.88,17719407.3637,-1017578826.87,-1016428272.96,-1052592912.83,-1047462054.44,-1016479601.54,4.0,313977397320000.0,0.249546279492,0.250018051845,4.95258127397e-14,68,0.0155978276082,0.250000944804
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1071982405.57,19416435.9984,-1069723544.03,-1055271233.91,-1093211300.29,-1091785080.58,-1055342136.71,4.0,376997986881000.0,0.249546279492,0.249981948155,4.95258127397e-14,82,0.0155954573367,0.249999055196
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1075634922.89,3068769.33925,-1074459041.11,-1073516199.66,-1080105409.67,-1079365175.97,-1073550904.3,4.0,9417345257510.0,0.125226860254,0.250018051845,4.95258127397e-14,46,0.00391363970343,0.125000566882
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1098818788.92,22791659.2392,-1098096390.46,-1076047264.82,-1123035109.93,-1121550201.67,-1077098734.0,4.0,519459730875000.0,0.250453720508,0.249981948155,4.95258127397e-14,89,0.015652286397,0.250000944804
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1130916602.24,14837181.3083,-1125291237.55,-1120239507.27,-1152844426.6,-1148872534.33,-1120836180.72,4.0,220141949177000.0,0.125226860254,0.124990974078,4.95258127397e-14,110,0.00391304202267,0.249999055196
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1149338737.23,8706047.99172,-1148718400.8,-1139345588.73,-1160572558.58,-1158873411.1,-1140672534.35,4.0,75795271634100.0,0.249546279492,0.250018051845,4.95258127397e-14,67,0.0155978276082,0.250000944804
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1170641280.23,8182513.23508,-1170338982.69,-1162163673.05,-1179723482.47,-1179037692.38,-1162668084.62,4.0,66953522842200.0,0.249546279492,0.124990974078,4.95258127397e-14,103,0.00389883191784,0.124998488314
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1204736058.02,8426003.22155,-1202790103.89,-1196920245.46,-1216443778.84,-1214681544.78,-1197514907.04,4.0,70997530289600.0,0.249546279492,0.249981948155,4.95258127397e-14,88,0.0155955752144,0.250000944804
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1206217114.41,12092253.5994,-1205275470.07,-1192480278.83,-1221837238.66,-1219570485.53,-1194182045.37,4.0,146222597112000.0,0.125226860254,0.249981948155,4.95258127397e-14,81,0.00782608404535,0.249999055196
