smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-120673696.027,3643412.96393,-120673696.027,-118097414.013,-123249978.04,-122992349.839,-118355042.215,2.0,13274458025700.0,0.25,69,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-137052025.191,16434453.0974,-137052025.191,-125431111.961,-148672938.422,-147510847.099,-126593203.284,2.0,270091248612000.0,0.125,25,0.00195307114064,0.125,0.124996553001,6.12351299001e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-141496074.502,2354415.46319,-141496074.502,-139831251.362,-143160897.641,-142994415.327,-139997733.676,2.0,5543272173320.0,0.25,14,0.00781228456257,0.25,0.124996553001,6.12351299001e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-174788071.346,39408.2334643,-174788071.346,-174760205.517,-174815937.175,-174813150.592,-174762992.1,2.0,1553008864.77,0.125,53,0.00781257694194,0.25,0.250002462142,6.12351299001e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-178108281.071,8124061.20609,-178108281.071,-172363702.302,-183852859.841,-183278401.964,-172938160.179,2.0,66000370480300.0,0.25,39,0.0156248461161,0.25,0.249997537858,6.12351299001e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-216772014.93,4190901.86933,-216772014.93,-213808599.799,-219735430.061,-219439088.548,-214104941.312,2.0,17563658478400.0,0.25,94,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-221558826.224,3255945.38625,-221558826.224,-219256525.162,-223861127.286,-223630897.179,-219486755.268,2.0,10601180358200.0,0.25,108,0.00781256155355,0.25,0.125000984857,6.12351299001e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-234655491.45,2659941.35756,-234655491.45,-232774628.879,-236536354.022,-236348267.765,-232962715.136,2.0,7075288025660.0,0.125,50,0.00390621152903,0.125,0.249997537858,6.12351299001e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-281466689.983,1789066.44139,-281466689.983,-280201628.97,-282731750.996,-282605244.894,-280328135.071,2.0,3200758731710.0,0.25,64,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-290691134.857,1367397.15734,-290691134.857,-289724239.055,-291658030.66,-291561341.08,-289820928.635,2.0,1869774985890.0,0.125,78,0.00781257694194,0.25,0.250002462142,6.12351299001e-14
