smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1214287722.36,41708140.4088,-1213716876.61,-1152246224.85,-1289693020.51,-1273632685.12,-1157972346.1,10.0,1739568976360000.0,0.250000425161,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977951872,42
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1238551673.15,36172525.3362,-1245646754.01,-1172940530.65,-1281168505.21,-1279517323.13,-1186536451.31,10.0,1308451589200000.0,0.249999574839,0.250453720508,0.249981948155,2.4762864257000002e-14,0.015652200625,84
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1251515492.2,40601497.0933,-1254862766.08,-1171307136.82,-1302621928.14,-1297624423.63,-1189655003.62,10.0,1648481566220000.0,0.12500016534,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00195653099342,21
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1251654671.03,28414805.3881,-1252765543.33,-1201487013.57,-1296700754.54,-1286996135.67,-1209022184.16,10.0,807401165243000.0,0.249999574839,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00782723059849,56
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1282322110.41,12110325.3098,-1289065127.1,-1264376729.2,-1294319550.71,-1293810738.34,-1264658392.75,10.0,146659979110000.0,0.124999315018,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00391360050885,51
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1315537303.09,47368443.3694,-1325083279.36,-1207305474.78,-1366871344.54,-1362622673.04,-1231908124.64,10.0,2243769427240000.0,0.250000519641,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155978010819,62
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1321587988.32,34237158.0012,-1317725165.72,-1283572671.39,-1365677528.9,-1365459359.37,-1283798848.82,10.0,1172182988000000.0,0.12500016534,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00391362713156,50
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1342881774.31,21690634.3514,-1340399396.79,-1310996520.99,-1376396772.83,-1372335342.59,-1312844728.45,10.0,470483618566000.0,0.124999315018,0.249546279492,0.249981948155,2.4762864257000002e-14,0.00779771540721,78
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1342965784.53,59425195.0843,-1343502918.22,-1249152992.95,-1438779573.99,-1429345674.67,-1254494959.64,10.0,3531353810800000.0,0.250000425161,0.125226860254,0.250018051845,2.4762864257000002e-14,0.0078272572212,41
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1378706308.93,42031383.1606,-1371687095.79,-1315237738.44,-1460274726.73,-1441061618.74,-1328928315.35,10.0,1766637170390000.0,0.249999574839,0.249546279492,0.249981948155,2.4762864257000002e-14,0.0155954897531,83
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1405479330.63,31415139.3258,-1400051293.08,-1362194977.39,-1477356428.72,-1456395180.71,-1371037259.51,10.0,986910978858000.0,0.124999315018,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00195651768399,105
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1445123638.32,33005598.2586,-1445387341.09,-1390970303.03,-1490159014.35,-1489865334.37,-1399174540.13,10.0,1089369516410000.0,0.250000425161,0.125226860254,0.250018051845,2.4762864257000002e-14,0.0078272572212,70
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1483552486.64,41349169.1185,-1491440607.2,-1412364162.53,-1530744772.97,-1527786440.85,-1414557901.21,10.0,1709753786790000.0,0.250000519641,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00782726017928,61
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1491724049.05,48066673.1519,-1489831840.2,-1426308673.29,-1552810396.24,-1552777199.78,-1432542405.0,10.0,2310405067890000.0,0.12500016534,0.250453720508,0.250018051845,2.4762864257000002e-14,0.00782725426312,49
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1497783891.97,19545918.4928,-1501009143.09,-1466329405.33,-1523352735.22,-1520233563.68,-1471395623.36,10.0,382042929729000.0,0.124999315018,0.249546279492,0.249981948155,2.4762864257000002e-14,0.00779771540721,77
