npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,332765958.777,550198.93585,332765958.777,333155008.176,332376909.379,332415814.318,333116103.236,2.0,302718869010.0,0.250666666667,0.0156660943683,1.0563053673200001e-12,0.24999086758,34,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,325326510.488,111802.374253,325326510.488,325405566.705,325247454.271,325255359.893,325397661.083,2.0,12499770888.6,0.249333333333,0.00778969230155,1.0563053673200001e-12,0.24999086758,45,0.124972890913
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,324203418.064,1154381.26777,324203418.064,325019688.886,323387147.241,323468774.324,324938061.804,2.0,1332596111380.0,0.249333333333,0.00779195129376,1.0563053673200001e-12,0.12500456621,114,0.25
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,321763546.114,227532.658693,321763546.114,321924435.999,321602656.228,321618745.216,321908347.011,2.0,51771110771.9,0.250666666667,0.00783247488584,1.0563053673200001e-12,0.12498630137,9,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,317543139.954,2315275.19531,317543139.954,319180286.745,315905993.164,316069707.843,319016572.066,2.0,5360499230030.0,0.125333333333,0.00195798014608,1.0563053673200001e-12,0.12500456621,125,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,298464296.873,1500399.60099,298464296.873,299525239.605,297403354.141,297509448.414,299419145.332,2.0,2251198962640.0,0.250666666667,0.015667238965,1.0563053673200001e-12,0.25000913242,59,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,292464753.448,252660.348181,292464753.448,292643411.293,292286095.602,292303961.387,292625545.509,2.0,63837251542.7,0.249333333333,0.00779026143228,1.0563053673200001e-12,0.25000913242,70,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,262620826.07,764191.63723,262620826.07,263161191.158,262080460.981,262134497.49,263107154.649,2.0,583988858412.0,0.250666666667,0.015667238965,1.0563053673200001e-12,0.25000913242,84,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,255782736.765,65470.2900689,255782736.765,255829031.251,255736442.279,255741071.727,255824401.802,2.0,4286358881.71,0.249333333333,0.00779026143228,1.0563053673200001e-12,0.25000913242,95,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,234569064.636,1695782.05767,234569064.636,235768163.628,233369965.643,233489875.543,235648253.729,2.0,2875676787100.0,0.125333333333,0.00783304718417,1.0563053673200001e-12,0.24999086758,29,0.25
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,228136619.173,1268661.82955,228136619.173,229033698.555,227239539.79,227329247.728,228943990.617,2.0,1609502837750.0,0.250666666667,0.0078336194825,1.0563053673200001e-12,0.12500456621,109,0.25
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,226075367.847,306924.089924,226075367.847,226292395.953,225858339.742,225880042.552,226270693.142,2.0,94202396975.9,0.249333333333,0.00778969230155,1.0563053673200001e-12,0.24999086758,40,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,222866518.249,1934854.14647,222866518.249,224234666.737,221498369.761,221635184.61,224097851.888,2.0,3743660568120.0,0.249333333333,0.00389456158541,1.0563053673200001e-12,0.12498630137,15,0.124972890913
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,222691559.24,1114226.44804,222691559.24,223479436.317,221903682.163,221982469.871,223400648.61,2.0,1241500577510.0,0.249333333333,0.00389513071614,1.0563053673200001e-12,0.12500456621,120,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,208424101.035,1214629.65378,208424101.035,209282973.899,207565228.17,207651115.456,209197086.613,2.0,1475325195830.0,0.125333333333,0.00391623744292,1.0563053673200001e-12,0.12498630137,4,0.25
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,196876749.418,527377.312887,196876749.418,197249661.492,196503837.343,196541128.551,197212370.284,2.0,278126830148.0,0.125333333333,0.0078336194825,1.0563053673200001e-12,0.25000913242,54,0.25
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,189705510.873,919392.693496,189705510.873,190355619.681,189055402.065,189120412.946,190290608.8,2.0,845282924854.0,0.249333333333,0.00779026143228,1.0563053673200001e-12,0.25000913242,65,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,161117549.528,1748472.64166,161117549.528,162353906.389,159881192.666,160004828.352,162230270.703,2.0,3057156578620.0,0.125333333333,0.0078336194825,1.0563053673200001e-12,0.25000913242,79,0.25
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,153294592.889,2117760.06688,153294592.889,154792075.393,151797110.384,151946858.635,154642327.142,2.0,4484907700870.0,0.249333333333,0.00779026143228,1.0563053673200001e-12,0.25000913242,90,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,126140267.503,136432.360057,126140267.503,126236739.75,126043795.256,126053442.48,126227092.525,2.0,18613788870.7,0.125333333333,0.00391680974125,1.0563053673200001e-12,0.12500456621,104,0.25
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,121048674.91,514708.993593,121048674.91,121412629.129,120684720.69,120721116.112,121376233.707,2.0,264925348085.0,0.250666666667,0.00783134841011,1.0563053673200001e-12,0.24999086758,35,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,117750955.897,873385.071036,117750955.897,118368532.403,117133379.391,117195137.041,118306774.753,2.0,762801482308.0,0.249333333333,0.00389513071614,1.0563053673200001e-12,0.12500456621,115,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,110182886.644,1851905.89465,110182886.644,111492381.86,108873391.428,109004340.949,111361432.339,2.0,3429555442640.0,0.250666666667,0.00391538811795,1.0563053673200001e-12,0.12498630137,10,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,83116090.6672,710200.732929,83116090.6672,83618278.4215,82613902.9129,82664121.6884,83568059.646,2.0,504385081053.0,0.250666666667,0.00783192058432,1.0563053673200001e-12,0.25000913242,60,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,47768560.6077,1068588.10678,47768560.6077,48524166.5043,47012954.7111,47088515.3007,48448605.9146,2.0,1141880541960.0,0.250666666667,0.00783192058432,1.0563053673200001e-12,0.25000913242,85,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,13339676.4397,2721665.02768,13339676.4397,15264184.2369,11415168.6425,11607619.4222,15071733.4571,2.0,7407460522880.0,0.125333333333,0.00391567420506,1.0563053673200001e-12,0.24999086758,30,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,12047381.114,2793464.45163,12047381.114,14022658.7707,10072103.4572,10269631.2229,13825131.005,2.0,7803443642500.0,0.250666666667,0.00391596029216,1.0563053673200001e-12,0.12500456621,110,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-2902808.41779,2250223.9551,-2902808.41779,-1311659.79995,-4493957.03563,-4334842.17385,-1470774.66174,2.0,5063507848110.0,0.125333333333,0.00195769405898,1.0563053673200001e-12,0.12498630137,5,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-23850623.009,188352.118599,-23850623.009,-23717437.9487,-23983808.0693,-23970489.5632,-23730756.4547,2.0,35476520580.6,0.125333333333,0.00391596029216,1.0563053673200001e-12,0.25000913242,55,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-59786241.2194,264626.449092,-59786241.2194,-59599122.0628,-59973360.3761,-59954648.4604,-59617833.9784,2.0,70027157559.1,0.125333333333,0.00391596029216,1.0563053673200001e-12,0.25000913242,80,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-94126846.7522,1048624.74059,-94126846.7522,-93385357.0872,-94868336.4172,-94794187.4507,-93459506.0537,2.0,1099613846580.0,0.125333333333,0.00195798014608,1.0563053673200001e-12,0.12500456621,105,0.124972890913
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-104649056845000.0,180563.462032,-104649056845000.0,-104649056717000.0,-104649056972000.0,-104649056960000.0,-104649056730000.0,2.0,32603163821.1,0.250666666667,0.00391765919034,1.0563053673200001e-12,0.12500456621,106,0.125027109087
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-106086763071000.0,179043.270841,-106086763071000.0,-106086762945000.0,-106086763198000.0,-106086763185000.0,-106086762957000.0,2.0,32056492833.4,0.250666666667,0.00783531838067,1.0563053673200001e-12,0.25000913242,81,0.125027109087
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-107524469035000.0,65323.9607567,-107524469035000.0,-107524468989000.0,-107524469081000.0,-107524469077000.0,-107524468993000.0,2.0,4267219848.94,0.250666666667,0.00783531838067,1.0563053673200001e-12,0.25000913242,56,0.125027109087
