smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1705225607.07,7137162.2608,-1707630181.88,-1694793928.52,-1710848136.02,-1710461521.75,-1696623287.67,4.0,50939085136900.0,0.00308644605215,0.111111111111,0.250002130224,184,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1717000832.34,1158223.84811,-1716700860.59,-1716065643.73,-1718535964.46,-1718343761.03,-1716077864.11,4.0,1341482482320.0,0.000771582291858,0.111111111111,0.124996331281,101,4.6512022819799996e-14,0.0555555555556
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1720188313.94,4998126.9908,-1721699411.04,-1712963228.72,-1724391204.95,-1724063244.66,-1714197847.28,4.0,24981273416200.0,0.00154322302607,0.111111111111,0.125001065112,194,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1761543820.76,2129739.82167,-1761467098.47,-1759014954.49,-1764226131.62,-1763820246.7,-1759374806.04,4.0,4535791708020.0,0.00308639345403,0.111111111111,0.249997869776,163,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1767298138.78,9435613.30923,-1765030155.43,-1758919783.52,-1780212460.74,-1778407416.69,-1759364037.56,4.0,89030798521200.0,0.00308645189638,0.111111111111,0.250002603607,173,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1786911074.0,4576511.91803,-1787082949.49,-1781764286.15,-1791714110.86,-1791405022.93,-1782176499.38,4.0,20944461335800.0,0.00308644605215,0.111111111111,0.250002130224,183,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1799853153.31,5906631.86958,-1800668114.59,-1791919300.57,-1806157083.49,-1805419318.47,-1793146042.36,4.0,34888300042700.0,0.00154322302607,0.111111111111,0.125001065112,193,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1817158385.94,2305761.64138,-1816783614.4,-1814791983.24,-1820274331.74,-1819814339.25,-1815027112.81,4.0,5316536746850.0,0.00154316458372,0.111111111111,0.124996331281,153,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1836838687.98,5488200.53004,-1836498615.4,-1831168141.91,-1843189379.22,-1842631284.4,-1831522193.18,4.0,30120345057900.0,0.00308639345403,0.111111111111,0.249997869776,162,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1853680315.54,4339726.64486,-1852775357.3,-1849754133.26,-1859416414.32,-1858691586.79,-1849935985.84,4.0,18833227352100.0,0.00308645189638,0.111111111111,0.250002603607,172,4.6512022819799996e-14,0.111111111111
1200.0,-485.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1857206139.86,3686797.21951,-1857343519.45,-1853012973.71,-1861124546.82,-1860853678.21,-1853366270.08,4.0,13592473737800.0,0.00154322302607,0.111111111111,0.125001065112,246,4.6512022819799996e-14,0.111111111111
1200.0,-485.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1862217334.37,9415550.40131,-1862475968.04,-1850746973.97,-1873170427.45,-1871967134.34,-1852105447.28,4.0,88652589359600.0,0.00308644605215,0.111111111111,0.250002130224,236,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1867008114.75,6500253.37553,-1869887826.39,-1857323222.35,-1870933583.88,-1870881072.98,-1859103560.23,4.0,42253293946000.0,0.00308644605215,0.111111111111,0.250002130224,182,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1885730328.05,6276958.90387,-1883442467.16,-1881065887.15,-1894970490.74,-1893323061.9,-1881340599.45,4.0,39400213080900.0,0.00154322302607,0.111111111111,0.125001065112,192,4.6512022819799996e-14,0.111111111111
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1895248649.34,4662816.1354,-1896998070.95,-1888357947.51,-1898640507.96,-1898430598.02,-1889617510.41,4.0,21741854312500.0,0.00308639345403,0.111111111111,0.249997869776,215,4.6512022819799996e-14,0.111111111111
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1896137627.23,13433522.4066,-1899849790.2,-1877238271.02,-1907612657.5,-1906978093.57,-1880100132.73,4.0,180459524248000.0,0.00308645189638,0.111111111111,0.250002603607,225,4.6512022819799996e-14,0.111111111111
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1904568636.1,11584457.9242,-1904155407.25,-1891943036.56,-1918020693.34,-1916775349.98,-1892940442.6,4.0,134199665397000.0,0.00308644605215,0.111111111111,0.250002130224,235,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1911321107.94,3624467.40765,-1911552684.13,-1907510158.73,-1914668904.75,-1914592220.35,-1907725788.84,4.0,13136763989100.0,0.00154316458372,0.111111111111,0.124996331281,152,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1918720256.95,3964757.42066,-1917776543.74,-1915539952.79,-1923787987.52,-1923214570.34,-1915547142.06,4.0,15719301404700.0,0.00154319672701,0.111111111111,0.249997869776,161,4.6512022819799996e-14,0.0555555555556
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1922456812.64,7199001.99399,-1921326103.41,-1915154453.22,-1932020590.55,-1930718837.37,-1915777780.85,4.0,51825629709500.0,0.00154322302607,0.111111111111,0.125001065112,245,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1937115042.84,4800847.15449,-1937843233.45,-1930603050.99,-1942170653.46,-1941558074.08,-1931652544.74,4.0,23048133400700.0,0.00154322594819,0.111111111111,0.250002603607,171,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1952453523.85,9227453.13877,-1953557227.29,-1941172503.44,-1961527137.4,-1961030475.98,-1942331386.92,4.0,85145891428200.0,0.00154322302607,0.111111111111,0.250002130224,181,4.6512022819799996e-14,0.0555555555556
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1962204524.53,6440468.38267,-1962609537.75,-1955698587.87,-1967900434.76,-1967851835.44,-1955990195.12,4.0,41479632988200.0,0.00308639345403,0.111111111111,0.249997869776,214,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1976520277.26,6941455.79221,-1976812196.46,-1969138625.04,-1983318091.07,-1983043221.65,-1969588645.98,4.0,48183808515200.0,0.000771611513037,0.111111111111,0.125001065112,191,4.6512022819799996e-14,0.0555555555556
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1977323514.55,8823723.92636,-1977218144.03,-1967714517.65,-1987143252.5,-1986364352.66,-1968430195.17,4.0,77858103928700.0,0.00308645189638,0.111111111111,0.250002603607,224,4.6512022819799996e-14,0.111111111111
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1994303936.32,1016876.65683,-1994292392.58,-1993247793.9,-1995383166.24,-1995315695.03,-1993308338.86,4.0,1034038135200.0,0.00308644605215,0.111111111111,0.250002130224,234,4.6512022819799996e-14,0.111111111111
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2005658113.66,5417497.67695,-2005380506.04,-2000119180.62,-2011752261.92,-2011271732.17,-2000433145.8,4.0,29349281079800.0,0.00154316458372,0.111111111111,0.124996331281,204,4.6512022819799996e-14,0.111111111111
1200.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2009260328.99,4272085.82404,-2008007371.24,-2005590561.89,-2015436011.59,-2014329999.21,-2005944799.62,4.0,18250717288000.0,0.00154322302607,0.111111111111,0.125001065112,244,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2019220872.42,6220385.14974,-2019193100.85,-2013796471.89,-2024700816.1,-2024672795.04,-2013807830.0,4.0,38693191411100.0,0.000771582291858,0.111111111111,0.124996331281,151,4.6512022819799996e-14,0.0555555555556
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2037462090.91,9327839.88333,-2035750787.42,-2028269337.57,-2050077451.22,-2048288367.92,-2029031638.78,4.0,87008596889000.0,0.00308639345403,0.111111111111,0.249997869776,213,4.6512022819799996e-14,0.111111111111
