npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,421715932.908,11188909.6389,421715932.908,429627686.788,413804179.028,414595354.416,428836511.4,2.0,125191698907000.0,0.01565024533,69,0.25000088556,4.07233133368e-14,0.249982898967,0.250420168067
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,420597199.806,2635628.5564,420597199.806,422460870.631,418733528.981,418919896.063,422274503.548,2.0,6946537887290.0,0.0155998617723,88,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,377996277.078,3396569.48195,377996277.078,380398014.392,375594539.765,375834713.496,380157840.66,2.0,11536684245700.0,0.00389884317795,15,0.124998671661,4.07233133368e-14,0.124974348451,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,317685597.972,1454461.56613,317685597.972,318714057.608,316657138.336,316759984.299,318611211.645,2.0,2115458447350.0,0.00391309663984,102,0.12500044278,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,317638089.204,4374290.47979,317638089.204,320731179.665,314544998.743,314854307.789,320421870.619,2.0,19134417201600.0,0.00782399662122,45,0.24999911444,4.07233133368e-14,0.124974348451,0.250420168067
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,315985817.516,360766.637635,315985817.516,316240918.052,315730716.981,315756227.034,316215407.999,2.0,130152566831.0,0.00782506722831,29,0.24999911444,4.07233133368e-14,0.249982898967,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,306816372.454,1946306.2998,306816372.454,308192618.837,305440126.071,305577750.71,308054994.199,2.0,3788108212630.0,0.0155977277282,64,0.25000088556,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,306456284.78,66530.343953,306456284.78,306503328.838,306409240.723,306413945.129,306498624.432,2.0,4426286666.5,0.0155998617723,83,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,258467496.411,12439508.0048,258467496.411,267263556.876,249671435.946,250551041.993,266383950.83,2.0,154741359402000.0,0.00389884317795,10,0.124998671661,4.07233133368e-14,0.124974348451,0.249579831933
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,167599612.82,14346597.8454,167599612.82,177744189.443,157455036.196,158469493.859,176729731.781,2.0,205824869738000.0,0.00782619327968,78,0.25000088556,4.07233133368e-14,0.250017101033,0.125210084034
