smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,616034851.275,365422.534313,616034851.275,616293244.027,615776458.523,615802297.798,616267404.751,2.0,133533628584.0,0.11110627741,0.00398333233331,0.142886614953,3.52823036852e-13,157,0.250909090909
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,592096231.154,1236153.58184,592096231.154,592970323.735,591222138.574,591309547.832,592882914.477,2.0,1528075677900.0,0.0555560781178,0.000995598195669,0.142845354019,3.52823036852e-13,96,0.125454545455
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,591807955.684,1718085.774,591807955.684,593022825.786,590593085.583,590714572.593,592901338.776,2.0,2951818726830.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,138,0.250909090909
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,588826897.472,1762891.12997,588826897.472,590073449.745,587580345.2,587705000.427,589948794.518,2.0,3107785136130.0,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,132,0.250909090909
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,588568445.703,3110814.39697,588568445.703,590768123.658,586368767.748,586588735.544,590548155.863,2.0,9677166212390.0,0.11110627741,0.0019628014396,0.142886614953,3.52823036852e-13,210,0.123636363636
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,587424964.845,1328582.44064,587424964.845,588364414.498,586485515.192,586579460.157,588270469.533,2.0,1765131301570.0,0.0555501992922,0.00199156078415,0.142886614953,3.52823036852e-13,152,0.250909090909
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,586399971.519,1219162.54282,586399971.519,587262049.621,585537893.418,585624101.228,587175841.81,2.0,1486357305820.0,0.111112156236,0.00395467684399,0.142886614953,3.52823036852e-13,174,0.249090909091
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,585535619.151,2160139.37226,585535619.151,587063068.349,584008169.952,584160914.872,586910323.429,2.0,4666202107580.0,0.111112744118,0.00398356417483,0.142886614953,3.52823036852e-13,168,0.250909090909
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,579591180.613,907215.380484,579591180.613,580232678.761,578949682.465,579013832.28,580168528.946,2.0,823039746586.0,0.111112156236,0.00199119639134,0.142845354019,3.52823036852e-13,126,0.125454545455
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,573037127.52,1046211.67823,573037127.52,573776910.892,572297344.148,572371322.485,573702932.555,2.0,1094558875660.0,0.111112744118,0.00398356417483,0.142886614953,3.52823036852e-13,162,0.250909090909
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,561636667.891,414398.950862,561636667.891,561929692.199,561343643.582,561372946.013,561900389.768,2.0,171726490475.0,0.11110627741,0.00199166616666,0.142886614953,3.52823036852e-13,156,0.125454545455
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,552795525.79,1318823.93774,552795525.79,553728075.139,551862976.44,551956231.375,553634820.204,2.0,1739296578750.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,143,0.250909090909
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,550007789.364,2715439.09752,550007789.364,551927894.764,548087683.964,548279694.504,551735884.224,2.0,7373609492360.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,137,0.250909090909
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,549898510.555,1677036.679,549898510.555,551084354.563,548712666.547,548831250.948,550965770.163,2.0,2812452022720.0,0.111112156236,0.00395467684399,0.142886614953,3.52823036852e-13,179,0.249090909091
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,547555584.899,3885661.50643,547555584.899,550303162.499,544808007.298,545082765.058,550028404.739,2.0,15098365342600.0,0.111112744118,0.00196291568035,0.142886614953,3.52823036852e-13,215,0.123636363636
