smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-109205606.63,13740.4383008,-109205606.63,-109195890.673,-109215322.587,-109214350.991,-109196862.268,2.0,188799644.698,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137417895726,313
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-109223251.497,18130631.9656,-109223251.497,-96402958.6869,-122043544.307,-120761515.026,-97684987.9679,2.0,328719815474000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000686869116419,25
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-119683390.791,8935594.45074,-119683390.791,-113364971.361,-126001810.221,-125369968.278,-113996813.304,2.0,79844848188100.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137378433512,224
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-132332010.073,367004.010815,-132332010.073,-132072499.048,-132591521.098,-132565569.995,-132098450.151,2.0,134691943954.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,135
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-148869620.618,4387599.71221,-148869620.618,-145767119.109,-151972122.128,-151661871.977,-146077369.26,2.0,19251031234600.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.055553937791,0.000681891803981,46
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-162790301.071,3887972.52397,-162790301.071,-160041089.334,-165539512.807,-165264591.634,-160316010.508,2.0,15116330347200.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.00068708947863,303
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-167605157.202,2729121.89166,-167605157.202,-165675376.606,-169534937.799,-169341959.739,-165868354.666,2.0,7448106299550.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,125
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-171617067.592,13532270.0634,-171617067.592,-162048307.666,-181185827.519,-180228951.526,-163005183.658,2.0,183122333068000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137378433512,214
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-188046470.322,4482347.32258,-188046470.322,-184876972.134,-191215968.509,-190899018.69,-185193921.953,2.0,20091437520200.0,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111111604332,0.00034344608378,601
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-191108672.768,6009387.34464,-191108672.768,-186859394.226,-195357951.31,-194933023.456,-187284322.08,2.0,36112736257900.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000686869116419,15
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-200525330.827,5202532.60976,-200525330.827,-196846584.74,-204204076.915,-203836202.306,-197214459.348,2.0,27066345555600.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000687067518821,67
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-201126944.417,964436.164103,-201126944.417,-200444985.065,-201808903.769,-201740707.833,-200513181.0,2.0,930137114629.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137418115324,512
