npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2456540294.66,1482395.83135,2456540294.66,2457588506.8,2455492082.51,2455596903.73,2457483685.59,2.0,2197497400800.0,0.00137175712,0.111111111111,342,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,594134.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2453125570.88,3722803.07044,2453125570.88,2455757990.18,2450493151.59,2450756393.52,2455494748.25,2.0,13859262701300.0,0.000342941877453,0.0555555555556,291,0.0555565841474,8.268855378149999e-14,0.111111111111
1193.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2448730181.53,5374236.8492,2448730181.53,2452530340.84,2444930022.21,2445310038.14,2452150324.91,2.0,28882421711300.0,0.000685779856739,0.111111111111,404,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2439661234.08,11160325.4157,2439661234.08,2447552775.86,2431769692.3,2432558846.48,2446763621.68,2.0,124552863383000.0,0.00137176750981,0.111111111111,424,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2433323814.14,2218377.1346,2433323814.14,2434892443.66,2431755184.63,2431912047.58,2434735580.71,2.0,4921197111320.0,0.000685883754906,0.0555555555556,321,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,462104.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2429720180.88,4148169.96677,2429720180.88,2432653379.99,2426786981.77,2427080301.68,2432360060.08,2.0,17207314073200.0,0.00137176750981,0.111111111111,373,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2425723272.9,5955869.37537,2425723272.9,2429934708.52,2421511837.28,2421932980.84,2429513564.96,2.0,35472380016400.0,0.00137176750981,0.111111111111,352,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2418862176.87,5126051.39747,2418862176.87,2422486842.58,2415237511.17,2415599977.74,2422124376.01,2.0,26276402929500.0,0.00137175712,0.111111111111,434,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2411943654.24,3032387.41302,2411943654.24,2414087875.94,2409799432.53,2410013854.7,2413873453.77,2.0,9195373422640.0,0.00137176750981,0.111111111111,383,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2411621415.47,7223115.95573,2411621415.47,2416728929.74,2406513901.19,2407024652.62,2416218178.31,2.0,52173404109900.0,0.000685878559998,0.0555555555556,331,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2396970240.62,3317136.85346,2396970240.62,2399315810.58,2394624670.66,2394859227.65,2399081253.59,2.0,11003396904600.0,0.00137166361164,0.111111111111,413,0.111104752543,8.268855378149999e-14,0.111111111111
