npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,819202263.148,42060505.0201,819202263.148,848943531.468,789460994.828,792435121.66,845969404.636,2.0,1769086082550000.0,0.124974348451,0.249579831933,15,4.07233133368e-14,0.124998671661,0.00389884317795
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,800617540.778,377565.766418,800617540.778,800884520.091,800350561.464,800377259.395,800857822.16,2.0,142555907971.0,0.125008550516,0.125210084034,101,4.07233133368e-14,0.12500044278,0.00195654831992
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,784725826.694,9816483.68228,784725826.694,791667128.873,777784524.515,778478654.733,790972998.655,2.0,96363351884500.0,0.250017101033,0.125210084034,77,4.07233133368e-14,0.25000088556,0.00782619327968
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,748201537.85,11114081.2807,748201537.85,756060380.091,740342695.61,741128579.834,755274495.867,2.0,123522802713000.0,0.250017101033,0.125210084034,53,4.07233133368e-14,0.25000088556,0.00782619327968
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,743964135.052,30427341.032,743964135.052,765479514.23,722448755.875,724600293.793,763327976.312,2.0,925823082277000.0,0.124974348451,0.250420168067,45,4.07233133368e-14,0.24999911444,0.00782399662122
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,734245529.054,8953434.81656,734245529.054,740576563.527,727914494.58,728547598.027,739943460.08,2.0,80163995014300.0,0.249982898967,0.250420168067,69,4.07233133368e-14,0.25000088556,0.01565024533
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,687292852.88,33261268.4441,687292852.88,710812121.348,663773584.412,666125511.259,708460194.501,2.0,1106311978510000.0,0.249982898967,0.125210084034,29,4.07233133368e-14,0.24999911444,0.00782506722831
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,678932721.114,20872200.2352,678932721.114,693691595.438,664173846.789,665649734.222,692215708.006,2.0,435648742660000.0,0.124974348451,0.249579831933,10,4.07233133368e-14,0.124998671661,0.00389884317795
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,655247119.977,38032341.9383,655247119.977,682140046.866,628354193.088,631043485.777,679450754.177,2.0,1446459033310000.0,0.250017101033,0.249579831933,88,4.07233133368e-14,0.25000088556,0.0155998617723
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,637967682.051,51048999.2102,637967682.051,674064775.565,601870588.536,605480297.888,670455066.214,2.0,2606000320360000.0,0.249982898967,0.249579831933,64,4.07233133368e-14,0.25000088556,0.0155977277282
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,636166130.199,1917503.89754,636166130.199,637522010.208,634810250.19,634945838.191,637386422.207,2.0,3676821197060.0,0.124974348451,0.249579831933,40,4.07233133368e-14,0.24999911444,0.007797741599
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,601117718.297,19438390.2197,601117718.297,614862735.836,587372700.757,588747202.511,613488234.083,2.0,377851014333000.0,0.124974348451,0.125210084034,75,4.07233133368e-14,0.25000088556,0.00391202602517
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,595584988.651,6167468.98868,595584988.651,599946047.796,591223929.507,591660035.421,599509941.882,2.0,38037673726300.0,0.250017101033,0.249579831933,107,4.07233133368e-14,0.12500044278,0.00779993088613
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,537115117.172,1088185.08649,537115117.172,537884580.226,536345654.119,536422600.424,537807633.921,2.0,1184146782460.0,0.250017101033,0.249579831933,83,4.07233133368e-14,0.25000088556,0.0155998617723
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,531457057.157,8836212.80169,531457057.157,537705203.149,525208911.165,525833725.764,537080388.55,2.0,78078656676700.0,0.249982898967,0.249579831933,59,4.07233133368e-14,0.25000088556,0.0155977277282
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,519004272.058,24202417.4631,519004272.058,536117965.567,501890578.548,503601947.899,534406596.216,2.0,585757011058000.0,0.124974348451,0.125210084034,5,4.07233133368e-14,0.124998671661,0.00195598529803
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,494428601.13,11229118.3716,494428601.13,502368786.877,486488415.383,487282433.957,501574768.303,2.0,126093099404000.0,0.250017101033,0.125210084034,102,4.07233133368e-14,0.12500044278,0.00391309663984
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,486260135.709,23348772.5933,486260135.709,502770211.142,469750060.276,471401067.819,501119203.599,2.0,545165181615000.0,0.249982898967,0.250420168067,94,4.07233133368e-14,0.25000088556,0.01565024533
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,474893711.513,13840099.8966,474893711.513,484680140.002,465107283.024,466085925.872,483701497.153,2.0,191548365147000.0,0.124974348451,0.250420168067,70,4.07233133368e-14,0.25000088556,0.00782405205033
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,471604777.132,27912897.8067,471604777.132,491342176.453,451867377.81,453841117.742,489368436.521,2.0,779129863967000.0,0.124974348451,0.249579831933,35,4.07233133368e-14,0.24999911444,0.007797741599
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,455687303.402,23864523.0342,455687303.402,472562069.469,438812537.335,440500013.941,470874592.862,2.0,569515459651000.0,0.250017101033,0.125210084034,78,4.07233133368e-14,0.25000088556,0.00782619327968
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,391319404.91,11819754.7944,391319404.91,399677233.677,382961576.143,383797359.019,398841450.8,2.0,139706603399000.0,0.250017101033,0.249579831933,113,4.07233133368e-14,0.12500044278,0.00779993088613
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,389041038.956,2649457.72435,389041038.956,390914488.48,387167589.433,387354934.385,390727143.527,2.0,7019626233130.0,0.249982898967,0.249579831933,89,4.07233133368e-14,0.25000088556,0.0155977277282
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,386248911.837,28848518.3553,386248911.837,406647894.793,365849928.88,367889827.176,404607996.497,2.0,832237011296000.0,0.249982898967,0.125210084034,54,4.07233133368e-14,0.25000088556,0.00782512266501
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,343789001.068,1511360.52301,343789001.068,344857694.343,342720307.794,342827177.121,344750825.015,2.0,2284210630510.0,0.124974348451,0.249579831933,65,4.07233133368e-14,0.25000088556,0.00779779684211
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,323220845.155,34924013.8142,323220845.155,347915852.149,298525838.16,300995338.86,345446351.449,2.0,1219686740900000.0,0.124974348451,0.125210084034,30,4.07233133368e-14,0.24999911444,0.00391199831061
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,298812747.548,5881885.14561,298812747.548,302971868.421,294653626.675,295069538.763,302555956.333,2.0,34596572866200.0,0.250017101033,0.249579831933,108,4.07233133368e-14,0.12500044278,0.00779993088613
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,271290990.911,2164823.39751,271290990.911,272821752.216,269760229.607,269913305.737,272668676.085,2.0,4686460342410.0,0.249982898967,0.249579831933,84,4.07233133368e-14,0.25000088556,0.0155977277282
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,246588892.673,85409484.0346,246588892.673,306982518.012,186195267.335,192234629.869,300943155.478,2.0,7294779963060000.0,0.124974348451,0.125210084034,100,4.07233133368e-14,0.25000088556,0.00391202602517
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,186436015.96,29063201.6453,186436015.96,206986802.926,165885228.994,167940307.69,204931724.23,2.0,844669689878000.0,0.249982898967,0.250420168067,119,4.07233133368e-14,0.12500044278,0.00782512266501
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,175093748.288,50491588.0719,175093748.288,210796692.607,139390803.97,142961098.401,207226398.175,2.0,2549400466030000.0,0.124974348451,0.249579831933,60,4.07233133368e-14,0.25000088556,0.00779779684211
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,143904820.693,4669550.42951,143904820.693,147206691.467,140602949.919,140933136.997,146876504.39,2.0,21804701213700.0,0.250017101033,0.125210084034,103,4.07233133368e-14,0.12500044278,0.00391309663984
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,125480364.002,53222691.6988,125480364.002,163114490.215,87846237.7883,91609650.4097,159351077.593,2.0,2832654911670000.0,0.124974348451,0.250420168067,95,4.07233133368e-14,0.25000088556,0.00782405205033
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,115875206.184,15658087.8949,115875206.184,126947146.315,104803266.053,105910460.066,125839952.302,2.0,245175716526000.0,0.249982898967,0.125210084034,79,4.07233133368e-14,0.25000088556,0.00782512266501
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,91093944.2764,17102876.7769,91093944.2764,103187504.423,79000384.1296,80209740.1443,101978148.408,2.0,292508394045000.0,0.249982898967,0.249579831933,114,4.07233133368e-14,0.12500044278,0.00779886386412
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,41747446.4601,11178597.3858,41747446.4601,49651908.4757,33842984.4445,34633430.646,48861462.2742,2.0,124961039513000.0,0.124974348451,0.125210084034,125,4.07233133368e-14,0.12500044278,0.00195601301258
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,21675429.1787,42156089.0084,21675429.1787,51484285.5848,-8133427.22741,-5152541.5868,48503399.9442,2.0,1777135840480000.0,0.124974348451,0.125210084034,55,4.07233133368e-14,0.25000088556,0.00391202602517
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-7878559.94229,9650266.98212,-7878559.94229,-1054790.71897,-14702329.1656,-14019952.2433,-1737167.64131,2.0,93127652826200.0,0.124974348451,0.249579831933,90,4.07233133368e-14,0.25000088556,0.00779779684211
