smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-589284898.41,15016285.1739,-589284898.41,-578666781.335,-599903015.485,-598841203.777,-579728593.043,2.0,225488820423000.0,0.249963898917,0.0156511596467,0.250453720508,0.250000998773,5.2351036610599995e-14,58
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-610367870.95,11032087.3895,-610367870.95,-602567007.147,-618168734.754,-617388648.374,-603347093.527,2.0,121706952170000.0,0.125018050542,0.00389968004944,0.249546279492,0.124998601718,5.2351036610599995e-14,20
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-691596778.398,12521336.5161,-691596778.398,-682742856.438,-700450700.359,-699565308.163,-683628248.634,2.0,156783868150000.0,0.25,0.00391329560733,0.125226860254,0.124998601718,5.2351036610599995e-14,4
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-708126455.427,11431798.7009,-708126455.427,-700042953.044,-716209957.809,-715401607.571,-700851303.283,2.0,130686021537000.0,0.249963898917,0.00782557982334,0.125226860254,0.250000998773,5.2351036610599995e-14,53
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-714612974.111,35127561.4357,-714612974.111,-689774037.213,-739451911.009,-736968017.319,-692257930.903,2.0,1233945572420000.0,0.125018050542,0.0039138888497,0.125226860254,0.249999001227,5.2351036610599995e-14,50
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-725028851.764,12293954.9331,-725028851.764,-716335712.863,-733721990.665,-732852676.775,-717205026.753,2.0,151141327897000.0,0.25,0.0156532949952,0.250453720508,0.249999001227,5.2351036610599995e-14,34
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-728230140.453,6230150.86116,-728230140.453,-723824758.532,-732635522.375,-732194984.183,-724265296.724,2.0,38814779752800.0,0.249963898917,0.0155944525465,0.249546279492,0.250000998773,5.2351036610599995e-14,88
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-729028791.296,16787374.3493,-729028791.296,-717158325.055,-740899257.537,-739712210.913,-718345371.679,2.0,281815937544000.0,0.25,0.0155967047782,0.249546279492,0.250000998773,5.2351036610599995e-14,69
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-731258509.069,181385.932161,-731258509.069,-731130249.846,-731386768.291,-731373942.369,-731143075.768,2.0,32900856385.9,0.25,0.00782670378051,0.250453720508,0.125000399509,5.2351036610599995e-14,107
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-790617142.758,6273448.5678,-790617142.758,-786181144.734,-795053140.782,-794609540.979,-786624744.537,2.0,39356156932800.0,0.125018050542,0.00389968004944,0.249546279492,0.124998601718,5.2351036610599995e-14,15
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-832294681.31,8902824.68467,-832294681.31,-825999433.604,-838589929.016,-837960404.245,-826628958.374,2.0,79260287366000.0,0.25,0.00391335189026,0.125226860254,0.125000399509,5.2351036610599995e-14,102
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-835976790.055,182010.045296,-835976790.055,-835848089.518,-836105490.593,-836092620.539,-835860959.572,2.0,33127656588.6,0.249963898917,0.0156511596467,0.250453720508,0.250000998773,5.2351036610599995e-14,83
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-838172447.091,19131302.239,-838172447.091,-824644573.545,-851700320.637,-850347533.283,-825997360.9,2.0,366006725358000.0,0.125018050542,0.00779941618599,0.249546279492,0.249999001227,5.2351036610599995e-14,45
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-869637525.745,25371661.6927,-869637525.745,-851697051.712,-887577999.778,-885783952.374,-853491099.115,2.0,643721217047000.0,0.25,0.0155967047782,0.249546279492,0.250000998773,5.2351036610599995e-14,64
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-872532532.991,14961350.0439,-872532532.991,-861953260.92,-883111805.063,-882053877.856,-863011188.127,2.0,223841995135000.0,0.25,0.00782664749759,0.125226860254,0.249999001227,5.2351036610599995e-14,29
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-955343691.905,3652794.59551,-955343691.905,-952760776.076,-957926607.734,-957668316.151,-953019067.659,2.0,13342908357000.0,0.125018050542,0.00391386070417,0.250453720508,0.124998601718,5.2351036610599995e-14,10
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-957272265.983,18985982.9989,-957272265.983,-943847148.657,-970697383.309,-969354871.576,-945189660.389,2.0,360467550435000.0,0.125018050542,0.0039139201225,0.125226860254,0.250000998773,5.2351036610599995e-14,75
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-969834391.326,7623911.38054,-969834391.326,-964443471.89,-975225310.762,-974686218.819,-964982563.833,2.0,58124024738300.0,0.249963898917,0.00782557982334,0.125226860254,0.250000998773,5.2351036610599995e-14,78
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-994234000.001,5637537.16321,-994234000.001,-990247659.244,-998220340.759,-997821706.683,-990646293.32,2.0,31781825266600.0,0.249963898917,0.00779722004315,0.249546279492,0.125000399509,5.2351036610599995e-14,113
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-999765657.028,21990147.4345,-999765657.028,-984216274.658,-1015315039.4,-1013760101.16,-985771212.895,2.0,483566584193000.0,0.125018050542,0.00779941618599,0.249546279492,0.249999001227,5.2351036610599995e-14,40
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1001738805.32,6095309.3715,-1001738805.32,-997428770.735,-1006048839.91,-1005617836.46,-997859774.194,2.0,37152796334300.0,0.25,0.0155967047782,0.249546279492,0.250000998773,5.2351036610599995e-14,94
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1015354261.69,8176815.67454,-1015354261.69,-1009572379.87,-1021136143.5,-1020557955.32,-1010150568.06,2.0,66860314575500.0,0.25,0.0156534200683,0.250453720508,0.250000998773,5.2351036610599995e-14,59
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1098399355.8,31123534.3008,-1098399355.8,-1076391693.64,-1120407017.96,-1118206251.74,-1078592459.86,2.0,968674387371000.0,0.125018050542,0.00195693035208,0.125226860254,0.124998601718,5.2351036610599995e-14,5
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1100898396.13,6320247.03067,-1100898396.13,-1096429306.6,-1105367485.67,-1104920576.71,-1096876215.55,2.0,39945522528700.0,0.125018050542,0.00779947850499,0.249546279492,0.250000998773,5.2351036610599995e-14,70
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1117830555.26,1113796.93977,-1117830555.26,-1117042981.89,-1118618128.63,-1118539371.29,-1117121739.23,2.0,1240543623040.0,0.249963898917,0.00782557357058,0.250453720508,0.125000399509,5.2351036610599995e-14,108
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1126559960.11,11765101.9967,-1126559960.11,-1118240776.71,-1134879143.51,-1134047225.17,-1119072695.05,2.0,138417624994000.0,0.25,0.0155967047782,0.249546279492,0.250000998773,5.2351036610599995e-14,89
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1135893201.25,11312640.1475,-1135893201.25,-1127893956.69,-1143892445.81,-1143092521.35,-1128693881.14,2.0,127975827106000.0,0.125018050542,0.00782777769939,0.250453720508,0.249999001227,5.2351036610599995e-14,35
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1141373025.22,33123349.377,-1141373025.22,-1117951280.26,-1164794770.18,-1162452595.69,-1120293454.76,2.0,1097156273950000.0,0.25,0.00782671003417,0.125226860254,0.250000998773,5.2351036610599995e-14,54
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1217354868.32,5050665.34875,-1217354868.32,-1213783508.61,-1220926228.04,-1220569092.07,-1214140644.58,2.0,25509220465100.0,0.125018050542,0.0039139201225,0.125226860254,0.250000998773,5.2351036610599995e-14,100
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1244325111.59,5252607.15196,-1244325111.59,-1240610957.45,-1248039265.72,-1247667850.31,-1240982372.86,2.0,27589881892800.0,0.25,0.00779834615812,0.249546279492,0.125000399509,5.2351036610599995e-14,119
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1249226757.86,5221029.59288,-1249226757.86,-1245534932.43,-1252918583.29,-1252549400.74,-1245904114.97,2.0,27259150009700.0,0.25,0.0156534200683,0.250453720508,0.250000998773,5.2351036610599995e-14,84
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1250941067.78,14536255.757,-1250941067.78,-1240662382.76,-1261219752.8,-1260191884.3,-1241690251.26,2.0,211302731433000.0,0.249963898917,0.00391278678529,0.125226860254,0.125000399509,5.2351036610599995e-14,103
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1258152099.61,4381031.33404,-1258152099.61,-1255054242.64,-1261249956.57,-1260940170.88,-1255364028.34,2.0,19193435549800.0,0.125018050542,0.00779947850499,0.249546279492,0.250000998773,5.2351036610599995e-14,65
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1287375131.85,13628418.8204,-1287375131.85,-1277738384.48,-1297011879.21,-1296048204.48,-1278702059.22,2.0,185733799545000.0,0.125018050542,0.0039138888497,0.125226860254,0.249999001227,5.2351036610599995e-14,30
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1370234014.21,1493660.92285,-1370234014.21,-1369177836.45,-1371290191.98,-1371184574.2,-1369283454.22,2.0,2231022952460.0,0.125018050542,0.00779947850499,0.249546279492,0.250000998773,5.2351036610599995e-14,95
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1395650205.79,6364803.61552,-1395650205.79,-1391149609.99,-1400150801.59,-1399700742.01,-1391599669.57,2.0,40510725064100.0,0.125018050542,0.00782784024501,0.250453720508,0.250000998773,5.2351036610599995e-14,60
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1401496283.64,10389302.7999,-1401496283.64,-1394149937.18,-1408842630.1,-1408107995.45,-1394884571.82,2.0,107937612669000.0,0.25,0.00782671003417,0.125226860254,0.250000998773,5.2351036610599995e-14,79
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1408730734.58,6799742.69784,-1408730734.58,-1403922590.41,-1413538878.76,-1413058064.34,-1404403404.83,2.0,46236500756800.0,0.25,0.00779834615812,0.249546279492,0.125000399509,5.2351036610599995e-14,114
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1511172333.73,23060292.5107,-1511172333.73,-1494866244.52,-1527478422.94,-1525847814.02,-1496496853.44,2.0,531777090678000.0,0.125018050542,0.00195695849761,0.125226860254,0.125000399509,5.2351036610599995e-14,125
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1551035198.61,19556510.674,-1551035198.61,-1537206657.3,-1564863739.93,-1563480885.8,-1538589511.43,2.0,382457109742000.0,0.25,0.00782670378051,0.250453720508,0.125000399509,5.2351036610599995e-14,109
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1567146384.95,3682245.07801,-1567146384.95,-1564542644.48,-1569750125.41,-1569489751.36,-1564803018.53,2.0,13558928814500.0,0.125018050542,0.0039139201225,0.125226860254,0.250000998773,5.2351036610599995e-14,55
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1569769850.08,14958300.325,-1569769850.08,-1559192734.49,-1580346965.68,-1579289254.12,-1560250446.05,2.0,223750748614000.0,0.125018050542,0.00779947850499,0.249546279492,0.250000998773,5.2351036610599995e-14,90
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1661623657.68,10387121.2791,-1661623657.68,-1654278853.79,-1668968461.57,-1668233981.18,-1655013334.17,2.0,107892288467000.0,0.25,0.00391335189026,0.125226860254,0.125000399509,5.2351036610599995e-14,104
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1662297245.4,24697359.0464,-1662297245.4,-1644833575.34,-1679760915.46,-1678014548.45,-1646579942.34,2.0,609959543867000.0,0.125018050542,0.00389973613654,0.249546279492,0.125000399509,5.2351036610599995e-14,120
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1691790112.64,12867562.4951,-1691790112.64,-1682691371.94,-1700888853.33,-1699978979.26,-1683601246.01,2.0,165574164564000.0,0.125018050542,0.00782784024501,0.250453720508,0.250000998773,5.2351036610599995e-14,85
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1812564318.66,16806018.2494,-1812564318.66,-1800680669.19,-1824447968.13,-1823259603.18,-1801869034.14,2.0,282442249398000.0,0.125018050542,0.00389973613654,0.249546279492,0.125000399509,5.2351036610599995e-14,115
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1832564649.75,10548971.7359,-1832564649.75,-1825105400.3,-1840023899.2,-1839277974.26,-1825851325.25,2.0,111280804684000.0,0.125018050542,0.0039139201225,0.125226860254,0.250000998773,5.2351036610599995e-14,80
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1963381589.55,54131.2469533,-1963381589.55,-1963343312.98,-1963419866.12,-1963416038.46,-1963347140.63,2.0,2930191896.72,0.125018050542,0.00391391699522,0.250453720508,0.125000399509,5.2351036610599995e-14,110
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2166567210.54,9750782.20207,-2166567210.54,-2159672366.32,-2173462054.76,-2172772570.33,-2160361850.74,2.0,95077753552200.0,0.125018050542,0.00195695849761,0.125226860254,0.125000399509,5.2351036610599995e-14,105
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-17585021088.4,451990.797985,-17585021088.4,-17584701482.7,-17585340694.2,-17585308733.6,-17584733443.2,2.0,204295681463.0,0.125018050542,0.00195693035208,0.125226860254,0.124998601718,5.2351036610599995e-14,1
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-332001597740.0,12896394.5036,-332001597740.0,-331992478612.0,-332010716868.0,-332009804955.0,-331993390525.0,2.0,166316991191000.0,0.25,0.00782659121466,0.250453720508,0.124998601718,5.2351036610599995e-14,7
