smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-498738904.29,2624055.34508,-499056576.965,-495782709.988,-501059753.241,-501026128.084,-496006938.751,4.0,6885666454060.0,0.125226860254,1.7334191682000001e-13,0.124994709051,0.00391345630072,0.250018051845,51
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-508848344.802,3722369.81697,-510374572.298,-503315015.851,-511329218.758,-511225267.012,-504334704.095,4.0,13856037054300.0,0.250453720508,1.7334191682000001e-13,0.250003306843,0.0156524342817,0.249981948155,89
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-515992334.659,5045926.4668,-515876959.89,-510626585.411,-521588833.447,-521159558.142,-510986635.854,4.0,25461373908400.0,0.125226860254,1.7334191682000001e-13,0.124994709051,0.00195644559034,0.124990974078,105
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-516192979.159,2440261.81813,-515908438.783,-513879289.992,-519075749.077,-518813821.132,-513970493.712,4.0,5954877741020.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00779742807743,0.249981948155,78
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-516983840.469,2202475.86409,-517030182.891,-514741637.967,-519133358.128,-519052681.111,-514850120.438,4.0,4850899931920.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,67
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-540973739.469,2802997.26341,-540585021.603,-538051909.528,-544673005.142,-544168312.737,-538323371.213,4.0,7856793658700.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.0155953099878,0.249981948155,83
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-562590372.621,1481581.73347,-562637043.532,-561136798.64,-563950604.78,-563925180.955,-561190225.012,4.0,2195084432940.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00782734744372,0.250018051845,61
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-585839087.015,3554246.98157,-585754164.447,-581826897.443,-590021121.722,-589600932.074,-582196133.55,4.0,12632671606000.0,0.250453720508,1.7334191682000001e-13,0.250003306843,0.0156524342817,0.249981948155,94
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-594247776.875,3315983.26666,-594623153.517,-589898698.171,-597846102.296,-597460043.857,-590509982.595,4.0,10995745024800.0,0.125226860254,1.7334191682000001e-13,0.249996693157,0.00391300505149,0.124990974078,110
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-594363987.42,4052120.40089,-593525639.243,-590840651.639,-599564019.556,-598965655.564,-590936006.725,4.0,16419679743300.0,0.249546279492,1.7334191682000001e-13,0.125001984106,0.00779900812097,0.250018051845,72
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-621274784.786,4730948.66732,-621371915.706,-615385882.57,-626969425.161,-626144287.042,-616269299.241,4.0,22381875292800.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155957225633,0.249981948155,88
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-641538941.563,1189074.97238,-641801268.963,-639972502.397,-642580725.926,-642543534.902,-640167089.862,4.0,1413899289930.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00782734744372,0.250018051845,66
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-658962567.114,1603957.4096,-659087528.4,-657103402.527,-660571809.127,-660485024.903,-657265163.523,4.0,2572679371830.0,0.250453720508,1.7334191682000001e-13,0.125001984106,0.00782623784463,0.249981948155,99
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-668977126.611,5813392.14859,-669357141.906,-662370590.424,-674823632.206,-674515308.348,-662906923.46,4.0,33795528273300.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00391310857042,0.124990974078,115
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-671080497.162,2336057.18602,-670030681.588,-669700215.81,-674560409.664,-673922342.9,-669708393.23,4.0,5457163176370.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.0155953099878,0.249981948155,82
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-674007066.504,3772002.13981,-673956239.487,-670575903.988,-677539883.056,-677457620.062,-670627670.772,4.0,14228000142700.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00779742807743,0.249981948155,77
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-675680730.823,3204131.07249,-675493717.954,-672272992.949,-679462494.437,-679099919.936,-672523359.727,4.0,10266455929700.0,0.250453720508,1.7334191682000001e-13,0.124994709051,0.00391289118068,0.124990974078,104
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-699525319.895,3521460.54573,-700055384.696,-694748080.453,-703242429.734,-702768037.255,-695540511.813,4.0,12400684375200.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155957225633,0.249981948155,93
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-715783523.483,6362517.08819,-714787683.924,-709447957.512,-724110768.571,-723047364.902,-709913857.446,4.0,40481623697500.0,0.250453720508,1.7334191682000001e-13,0.249996693157,0.00782601010299,0.124990974078,109
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-719737210.135,2176041.75306,-719781101.009,-717742995.461,-721643643.062,-721636548.769,-717776424.278,4.0,4735157711080.0,0.125226860254,1.7334191682000001e-13,0.125001984106,0.00391368407525,0.250018051845,71
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-743706622.514,3533927.50354,-744884164.536,-738693727.262,-746364433.722,-746310086.406,-739454599.791,4.0,12488643600300.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00391310857042,0.124990974078,120
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-754361016.49,2835962.9538,-754218910.567,-751537131.163,-757469113.663,-757251021.637,-751669959.635,4.0,8042685875300.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155957225633,0.249981948155,87
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-774527305.173,2625879.75141,-774449877.095,-772053698.136,-777155768.368,-777043175.774,-772119833.883,4.0,6895244468880.0,0.249546279492,1.7334191682000001e-13,0.125001984106,0.00779788191041,0.249981948155,98
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-798054286.872,2579563.024,-797765589.822,-795269727.443,-801416240.4,-800959837.477,-795552912.137,4.0,6654145394780.0,0.250453720508,1.7334191682000001e-13,0.250003306843,0.00782621714084,0.124990974078,114
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-811624741.382,4083068.69557,-811087568.555,-807966978.928,-816356849.49,-815958545.518,-808042979.203,4.0,16671449972800.0,0.125226860254,1.7334191682000001e-13,0.249996693157,0.00782601010299,0.249981948155,81
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-820859444.622,4079122.27272,-822513022.327,-814798603.368,-823613130.467,-823486722.08,-815917158.377,4.0,16639238515800.0,0.125226860254,1.7334191682000001e-13,0.125001984106,0.00195655946116,0.124990974078,125
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-831738947.217,4307305.82328,-832335535.289,-825976377.522,-836308340.767,-835810795.751,-826831875.382,4.0,18552883455300.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155957225633,0.249981948155,92
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-831813991.693,1514336.01439,-831968151.468,-830009460.004,-833310203.832,-833231544.477,-830180615.224,4.0,2293213564470.0,0.125226860254,1.7334191682000001e-13,0.124994709051,0.00391289118068,0.249981948155,76
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-840453507.054,4575230.09677,-842576157.045,-833607326.158,-843054387.969,-843024023.286,-834911280.835,4.0,20932730438400.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00389871403872,0.124990974078,103
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-860322779.518,3954664.2337,-859650813.575,-856957791.876,-865031699.047,-864599835.622,-856986475.735,4.0,15639369201300.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.00779765499392,0.124990974078,108
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-874488287.839,5940300.17555,-875054890.587,-867470940.125,-880372430.057,-880064924.253,-868118407.579,4.0,35287166175600.0,0.250453720508,1.7334191682000001e-13,0.250003306843,0.00782621714084,0.124990974078,119
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-892617522.628,2508670.43289,-892259223.556,-890105511.44,-895846131.961,-895453889.494,-890282774.464,4.0,6293427340840.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00782621714084,0.249981948155,86
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-910750919.672,3732562.22822,-910302924.136,-907150688.446,-915247141.97,-914809550.498,-907319482.596,4.0,13932020787500.0,0.249546279492,1.7334191682000001e-13,0.125001984106,0.00779788191041,0.249981948155,97
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-944944440.516,4574755.8852,-943818844.856,-941191332.085,-950948740.268,-950216569.315,-941248145.641,4.0,20928391409200.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.00779786128164,0.124990974078,113
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-953199913.108,6152983.4496,-952492283.646,-947200422.094,-960614663.048,-959889298.977,-947501208.487,4.0,37859205331100.0,0.250453720508,1.7334191682000001e-13,0.125001984106,0.00391311892231,0.124990974078,124
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-975445148.602,3697245.72527,-975323859.989,-971348500.231,-979784374.199,-979361041.966,-971699059.296,4.0,13669625953000.0,0.125226860254,1.7334191682000001e-13,0.250003306843,0.00782621714084,0.249981948155,91
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-993674564.836,4447499.82692,-991923572.796,-990653878.996,-1000197234.75,-999087769.411,-990712749.116,4.0,19780254710400.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00389871403872,0.124990974078,102
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1012167835.61,5498804.1812,-1012692785.01,-1005334203.97,-1017951568.45,-1017498317.26,-1006102424.81,4.0,30236847423200.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.00779765499392,0.124990974078,107
