npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,324689079.029,22966444.5761,324689079.029,340928807.729,308449350.33,310073323.2,339304834.859,2.0,527457576469000.0,0.007797741599,0.24999911444,0.124974348451,0.249579831933,40,4.07233133368e-14
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,324291831.083,31054793.3664,324291831.083,346250886.061,302332776.106,304528681.603,344054980.563,2.0,964400191030000.0,0.0155977277282,0.25000088556,0.249982898967,0.249579831933,64,4.07233133368e-14
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,315912937.731,11631663.0771,315912937.731,324137765.569,307688109.893,308510592.676,323315282.785,2.0,135295585938000.0,0.00391202602517,0.25000088556,0.124974348451,0.125210084034,75,4.07233133368e-14
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,272639549.075,171197.445406,272639549.075,272760603.949,272518494.2,272530599.688,272748498.462,2.0,29308565313.6,0.00779993088613,0.12500044278,0.250017101033,0.249579831933,107,4.07233133368e-14
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,254787552.474,14848013.6428,254787552.474,265286683.608,244288421.34,245338334.453,264236770.494,2.0,220463509137000.0,0.0155998617723,0.25000088556,0.250017101033,0.249579831933,83,4.07233133368e-14
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,226154264.472,6117421.35862,226154264.472,230479934.598,221828594.346,222261161.359,230047367.586,2.0,37422844079000.0,0.0155977277282,0.25000088556,0.249982898967,0.249579831933,59,4.07233133368e-14
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,225617764.132,17995127.8697,225617764.132,238342241.077,212893287.187,214165734.882,237069793.383,2.0,323824627047000.0,0.00195598529803,0.124998671661,0.124974348451,0.125210084034,5,4.07233133368e-14
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,196144114.017,2285019.90906,196144114.017,197759867.09,194528360.944,194689936.252,197598291.783,2.0,5221315984800.0,0.01565024533,0.25000088556,0.249982898967,0.250420168067,94,4.07233133368e-14
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,165934217.363,924771.373275,165934217.363,166588129.472,165280305.254,165345696.465,166522738.261,2.0,855202092829.0,0.00391309663984,0.12500044278,0.250017101033,0.125210084034,102,4.07233133368e-14
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,163729347.255,32186016.2549,163729347.255,186488297.608,140970396.902,143246291.937,184212402.573,2.0,1035939642360000.0,0.00782405205033,0.25000088556,0.124974348451,0.250420168067,70,4.07233133368e-14
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,163458208.862,38170077.5549,163458208.862,190448529.539,136467888.184,139166920.252,187749497.471,2.0,1456954820550000.0,0.007797741599,0.24999911444,0.124974348451,0.249579831933,35,4.07233133368e-14
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,133379656.7,2208748.07064,133379656.7,134941477.439,131817835.962,131974018.035,134785295.365,2.0,4878568039570.0,0.00782619327968,0.25000088556,0.250017101033,0.125210084034,78,4.07233133368e-14
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,78426101.4178,9682845.67222,78426101.4178,85272907.2538,71579295.5818,72263976.1654,84588226.6702,2.0,93757500312000.0,0.00782512266501,0.25000088556,0.249982898967,0.125210084034,54,4.07233133368e-14
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,67085379.1846,23779774.4151,67085379.1846,83900218.9286,50270539.4406,51952023.415,82218734.9542,2.0,565477671231000.0,0.00779993088613,0.12500044278,0.250017101033,0.249579831933,113,4.07233133368e-14
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,61586269.8244,13116466.5083,61586269.8244,70861012.2376,52311527.4112,53239001.6526,69933537.9963,2.0,172041693662000.0,0.0155977277282,0.25000088556,0.249982898967,0.249579831933,89,4.07233133368e-14
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,42940019.8552,1576963.17626,42940019.8552,44055101.2108,41824938.4996,41936446.6351,43943593.0752,2.0,2486812859280.0,0.00391199831061,0.24999911444,0.124974348451,0.125210084034,30,4.07233133368e-14
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,26839289.7226,9108958.72996,26839289.7226,33280296.2101,20398283.2351,21042383.8839,32636195.5614,2.0,82973129144100.0,0.00391202602517,0.25000088556,0.124974348451,0.125210084034,100,4.07233133368e-14
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,15151227.6931,48946709.937,15151227.6931,49761778.2063,-19459322.8201,-15998267.7688,46300723.155,2.0,2395780413650000.0,0.00779779684211,0.25000088556,0.124974348451,0.249579831933,65,4.07233133368e-14
