smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2506182413.18,3668111.7593,-2506182413.18,-2503588666.48,-2508776159.88,-2508516785.21,-2503848041.15,2.0,13455043878700.0,0.142857142857,9.835748238069999e-14,148,0.142848837209,0.00291533035653,0.142859493254
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2542044268.4,2269272.54347,-2542044268.4,-2540439650.39,-2543648886.4,-2543488424.6,-2540600112.19,2.0,5149597876550.0,0.142857142857,9.835748238069999e-14,212,0.142848837209,0.00291533035653,0.142859493254
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2546050566.18,2065299.91571,-2546050566.18,-2544590178.6,-2547510953.76,-2547364915.0,-2544736217.36,2.0,4265463741850.0,0.142857142857,9.835748238069999e-14,37,0.142848837209,0.00145747864965,0.0714206061936
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2563623891.96,4359882.52232,-2563623891.96,-2560540989.46,-2566706794.45,-2566398504.2,-2560849279.71,2.0,19008575608400.0,0.142857142857,9.835748238069999e-14,76,0.142848837209,0.00291514382791,0.142850352821
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2587310124.6,73341.074912,-2587310124.6,-2587258264.62,-2587361984.57,-2587356798.57,-2587263450.62,2.0,5378913269.25,0.142857142857,9.835748238069999e-14,101,0.142848837209,0.00291514382791,0.142850352821
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2606464359.2,1427776.10698,-2606464359.2,-2605454769.04,-2607473949.37,-2607372990.36,-2605555728.05,2.0,2038544611660.0,0.142857142857,9.835748238069999e-14,140,0.142848837209,0.00291533035653,0.142859493254
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2625740642.65,3425176.57927,-2625740642.65,-2623318677.06,-2628162608.23,-2627920411.67,-2623560873.62,2.0,11731834599200.0,0.142857142857,9.835748238069999e-14,165,0.142848837209,0.00291533035653,0.142859493254
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2640780659.62,7854519.72695,-2640780659.62,-2635226675.46,-2646334643.78,-2645779245.37,-2635782073.87,2.0,61693480141100.0,0.142857142857,9.835748238069999e-14,12,0.142848837209,0.00145747864965,0.0714206061936
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2643652602.1,4599357.82266,-2643652602.1,-2640400364.99,-2646904839.2,-2646579615.49,-2640725588.7,2.0,21154092380800.0,0.142857142857,9.835748238069999e-14,204,0.142848837209,0.00291533035653,0.142859493254
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2661499941.93,3971144.84919,-2661499941.93,-2658691918.48,-2664307965.38,-2664027163.03,-2658972720.82,2.0,15769991413200.0,0.142857142857,9.835748238069999e-14,229,0.142848837209,0.00291533035653,0.142859493254
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2665801461.97,8474314.40181,-2665801461.97,-2659809216.79,-2671793707.15,-2671194482.64,-2660408441.31,2.0,71814004580700.0,0.142857142857,9.835748238069999e-14,93,0.142848837209,0.00291514382791,0.142850352821
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2676681200.67,2588823.85281,-2676681200.67,-2674850625.77,-2678511775.57,-2678328718.08,-2675033683.26,2.0,6702008940860.0,0.142857142857,9.835748238069999e-14,68,0.0714534883721,0.00145816514632,0.142850352821
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2694213929.88,9129235.30012,-2694213929.88,-2687758585.7,-2700669274.07,-2700023739.65,-2688404120.11,2.0,83342937165000.0,0.142857142857,9.835748238069999e-14,29,0.142848837209,0.00145747864965,0.0714206061936
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2709296734.22,9370506.71016,-2709296734.22,-2702670785.38,-2715922683.06,-2715260088.18,-2703333380.27,2.0,87806396005100.0,0.142857142857,9.835748238069999e-14,157,0.142848837209,0.00291533035653,0.142859493254
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2716442137.79,1447526.84047,-2716442137.79,-2715418581.75,-2717465693.84,-2717363338.23,-2715520937.35,2.0,2095333953880.0,0.142857142857,9.835748238069999e-14,132,0.0714534883721,0.00145825844858,0.142859493254
960.0,-538.4,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2746727403.41,989834.701109,-2746727403.41,-2746027484.58,-2747427322.24,-2747357330.35,-2746097476.46,2.0,979772735519.0,0.142857142857,9.835748238069999e-14,221,0.142848837209,0.00291533035653,0.142859493254
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2749996753.01,412642.317837,-2749996753.01,-2749704970.83,-2750288535.19,-2750259356.98,-2749734149.05,2.0,170273682470.0,0.142857142857,9.835748238069999e-14,196,0.0714534883721,0.00145825844858,0.142859493254
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2777368147.14,2538264.26099,-2777368147.14,-2775573323.26,-2779162971.01,-2778983488.62,-2775752805.65,2.0,6442785458620.0,0.142857142857,9.835748238069999e-14,85,0.142848837209,0.00291514382791,0.142850352821
960.0,-907.0,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2781288332.38,5809916.33763,-2781288332.38,-2777180101.14,-2785396563.62,-2784985740.49,-2777590924.26,2.0,33755127850200.0,0.142857142857,9.835748238069999e-14,4,0.0714534883721,0.000729035922026,0.0714206061936
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2820960247.4,1815285.82665,-2820960247.4,-2819676646.48,-2822243848.32,-2822115488.23,-2819805006.58,2.0,3295262632440.0,0.142857142857,9.835748238069999e-14,149,0.142848837209,0.00291533035653,0.142859493254
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2838639226.93,1726909.68899,-2838639226.93,-2837418117.37,-2839860336.48,-2839738225.52,-2837540228.33,2.0,2982217073930.0,0.142857142857,9.835748238069999e-14,21,0.142848837209,0.00145747864965,0.0714206061936
960.0,-661.3,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2861780424.2,5692115.64614,-2861780424.2,-2857755490.63,-2865805357.77,-2865402864.42,-2858157983.98,2.0,32400180529000.0,0.142857142857,9.835748238069999e-14,213,0.142848837209,0.00291533035653,0.142859493254
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2874766511.86,4800347.71945,-2874766511.86,-2871372153.43,-2878160870.28,-2877821434.44,-2871711589.27,2.0,23043338227600.0,0.142857142857,9.835748238069999e-14,102,0.142848837209,0.00291514382791,0.142850352821
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2884536593.1,4803666.6621,-2884536593.1,-2881139887.83,-2887933298.37,-2887593627.84,-2881479558.35,2.0,23075213400600.0,0.142857142857,9.835748238069999e-14,38,0.142848837209,0.00145747864965,0.0714206061936
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2896065585.26,5499012.69902,-2896065585.26,-2892177196.09,-2899953974.43,-2899565135.51,-2892566035.01,2.0,30239140664000.0,0.142857142857,9.835748238069999e-14,77,0.142848837209,0.00291514382791,0.142850352821
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2903989257.32,4261342.29696,-2903989257.32,-2900976033.29,-2907002481.36,-2906701158.96,-2901277355.69,2.0,18159038171900.0,0.142857142857,9.835748238069999e-14,166,0.142848837209,0.00291533035653,0.142859493254
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2915474585.67,33868.6868247,-2915474585.67,-2915450636.89,-2915498534.45,-2915496139.57,-2915453031.77,2.0,1147087947.23,0.142857142857,9.835748238069999e-14,55,0.142848837209,0.00145747864965,0.0714206061936
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2933173655.79,1045520.70155,-2933173655.79,-2932434361.01,-2933912950.57,-2933839021.09,-2932508290.49,2.0,1093113537360.0,0.142857142857,9.835748238069999e-14,230,0.142848837209,0.00291533035653,0.142859493254
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2937509941.94,900161.894756,-2937509941.94,-2936873431.36,-2938146452.52,-2938082801.46,-2936937082.42,2.0,810291436770.0,0.142857142857,9.835748238069999e-14,119,0.142848837209,0.00291514382791,0.142850352821
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2938438193.38,2595939.16833,-2938438193.38,-2936602587.2,-2940273799.57,-2940090238.96,-2936786147.81,2.0,6738900165670.0,0.142857142857,9.835748238069999e-14,141,0.142848837209,0.00291533035653,0.142859493254
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2971427401.33,5587644.60914,-2971427401.33,-2967476339.93,-2975378462.72,-2974983356.58,-2967871446.07,2.0,31221772278000.0,0.142857142857,9.835748238069999e-14,205,0.142848837209,0.00291533035653,0.142859493254
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2983214522.67,7424099.32102,-2983214522.67,-2977964891.7,-2988464153.65,-2987939190.55,-2978489854.79,2.0,55117250728300.0,0.142857142857,9.835748238069999e-14,94,0.142848837209,0.00291514382791,0.142850352821
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2984938787.36,2843814.60444,-2984938787.36,-2982927906.77,-2986949667.96,-2986748579.9,-2983128994.83,2.0,8087281504420.0,0.142857142857,9.835748238069999e-14,13,0.142848837209,0.00145747864965,0.0714206061936
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2987293815.62,9771258.14329,-2987293815.62,-2980384492.72,-2994203138.51,-2993512206.22,-2981075425.01,2.0,95477485702800.0,0.142857142857,9.835748238069999e-14,183,0.142848837209,0.00291533035653,0.142859493254
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3020958550.55,14653955.1716,-3020958550.55,-3010596639.48,-3031320461.63,-3030284270.52,-3011632830.59,2.0,214738402173000.0,0.142857142857,9.835748238069999e-14,158,0.142848837209,0.00291533035653,0.142859493254
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3022837504.5,618674.368436,-3022837504.5,-3022400035.66,-3023274973.34,-3023231226.46,-3022443782.55,2.0,382757974160.0,0.142857142857,9.835748238069999e-14,247,0.142848837209,0.00291533035653,0.142859493254
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3024432847.65,2318470.62287,-3024432847.65,-3022793441.35,-3026072253.95,-3025908313.32,-3022957381.98,2.0,5375306029120.0,0.142857142857,9.835748238069999e-14,69,0.0714534883721,0.00145816514632,0.142850352821
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3035775594.93,1357244.22138,-3035775594.93,-3034815878.34,-3036735311.52,-3036639339.86,-3034911850.0,2.0,1842111876470.0,0.142857142857,9.835748238069999e-14,30,0.142848837209,0.00145747864965,0.0714206061936
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3037805714.25,4151978.77544,-3037805714.25,-3034869821.9,-3040741606.6,-3040448017.36,-3035163411.14,2.0,17238927751700.0,0.0714285714286,9.835748238069999e-14,64,0.0714534883721,0.000364517961013,0.0714206061936
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3043405556.49,15024831.5165,-3043405556.49,-3032781396.24,-3054029716.75,-3052967300.72,-3033843812.27,2.0,225745562101000.0,0.142857142857,9.835748238069999e-14,111,0.142848837209,0.00291514382791,0.142850352821
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3050216641.69,5703246.931,-3050216641.69,-3046183837.11,-3054249446.27,-3053846165.82,-3046587117.57,2.0,32527025556000.0,0.142857142857,9.835748238069999e-14,222,0.142848837209,0.00291533035653,0.142859493254
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3052864486.78,7771629.75883,-3052864486.78,-3047369114.67,-3058359858.88,-3057810321.67,-3047918651.88,2.0,60398229108300.0,0.142857142857,9.835748238069999e-14,47,0.142848837209,0.00145747864965,0.0714206061936
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3057129164.86,3411276.97561,-3057129164.86,-3054717027.78,-3059541301.95,-3059300088.24,-3054958241.49,2.0,11636810604300.0,0.142857142857,9.835748238069999e-14,133,0.0714534883721,0.00145825844858,0.142859493254
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3083052865.2,11412463.3628,-3083052865.2,-3074983034.96,-3091122695.43,-3090315712.41,-3075790017.99,2.0,130244320006000.0,0.0714285714286,9.835748238069999e-14,128,0.0714534883721,0.000729082573159,0.142850352821
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3091648765.13,3696893.57754,-3091648765.13,-3089034666.61,-3094262863.64,-3094001453.79,-3089296076.46,2.0,13667022123600.0,0.142857142857,9.835748238069999e-14,175,0.142848837209,0.00291533035653,0.142859493254
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3093913771.11,1961932.4633,-3093913771.11,-3092526475.36,-3095301066.85,-3095162337.28,-3092665204.93,2.0,3849178990540.0,0.142857142857,9.835748238069999e-14,197,0.0714534883721,0.00145825844858,0.142859493254
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3114090903.3,9148286.54212,-3114090903.3,-3107622087.85,-3120559718.75,-3119912837.21,-3108268969.4,2.0,83691146656800.0,0.142857142857,9.835748238069999e-14,86,0.142848837209,0.00291514382791,0.142850352821
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3121768749.56,1597565.78212,-3121768749.56,-3120639099.97,-3122898399.16,-3122785434.2,-3120752064.93,2.0,2552216428190.0,0.0714285714286,9.835748238069999e-14,192,0.0714534883721,0.000729129224292,0.142859493254
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3123882256.1,993587.687416,-3123882256.1,-3123179683.51,-3124584828.69,-3124514571.43,-3123249940.77,2.0,987216492584.0,0.142857142857,9.835748238069999e-14,5,0.0714534883721,0.000729035922026,0.0714206061936
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3126717959.35,5372472.36393,-3126717959.35,-3122919047.71,-3130516870.99,-3130136979.83,-3123298938.87,2.0,28863459301200.0,0.142857142857,9.835748238069999e-14,239,0.142848837209,0.00291533035653,0.142859493254
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3152604579.22,5804286.91967,-3152604579.22,-3148500328.58,-3156708829.86,-3156298404.79,-3148910753.64,2.0,33689746645900.0,0.142857142857,9.835748238069999e-14,150,0.142848837209,0.00291533035653,0.142859493254
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3180585477.9,2433971.16158,-3180585477.9,-3178864400.39,-3182306555.42,-3182134447.67,-3179036508.14,2.0,5924215615420.0,0.142857142857,9.835748238069999e-14,22,0.142848837209,0.00145747864965,0.0714206061936
