npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,371787687.885,35585143.2969,371787687.885,396950184.019,346625191.75,349141441.363,394433934.406,2.0,1266302423460000.0,58,0.249579831933,0.25000088556,0.250017101033,4.07233133368e-14,0.0155998617723
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,367649321.631,5668438.25659,367649321.631,371657512.761,363641130.501,364041949.614,371256693.648,2.0,32131192268800.0,82,0.249579831933,0.25000088556,0.250017101033,4.07233133368e-14,0.0155998617723
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,332252034.895,15962206.5244,332252034.895,343539019.371,320965050.418,322093748.866,342410320.923,2.0,254792037128000.0,10,0.249579831933,0.124998671661,0.124974348451,4.07233133368e-14,0.00389884317795
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,328473881.039,48653703.3024,328473881.039,362877244.574,294070517.505,297510853.858,359436908.221,2.0,2367182845040000.0,45,0.250420168067,0.24999911444,0.124974348451,4.07233133368e-14,0.00782399662122
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,322370904.605,2063579.97828,322370904.605,323830076.001,320911733.209,321057650.349,323684158.862,2.0,4258362326760.0,69,0.250420168067,0.25000088556,0.249982898967,4.07233133368e-14,0.01565024533
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,248110327.232,1651397.98437,248110327.232,249278041.945,246942612.519,247059383.99,249161270.474,2.0,2727115302770.0,53,0.125210084034,0.25000088556,0.250017101033,4.07233133368e-14,0.00782619327968
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,246661351.169,4637128.85055,246661351.169,249940296.424,243382405.913,243710300.439,249612401.898,2.0,21502963976600.0,77,0.125210084034,0.25000088556,0.250017101033,4.07233133368e-14,0.00782619327968
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,229822555.707,9084737.5791,229822555.707,236246435.254,223398676.159,224041064.114,235604047.299,2.0,82532456881200.0,29,0.125210084034,0.24999911444,0.249982898967,4.07233133368e-14,0.00782506722831
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,222110426.016,4468345.27005,222110426.016,225270023.257,218950828.775,219266788.499,224954063.533,2.0,19966109452400.0,101,0.125210084034,0.12500044278,0.125008550516,4.07233133368e-14,0.00195654831992
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,195049713.118,15910563.4004,195049713.118,206300180.391,183799245.845,184924292.573,205175133.664,2.0,253146027718000.0,40,0.249579831933,0.24999911444,0.124974348451,4.07233133368e-14,0.007797741599
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,155267241.922,9607618.50597,155267241.922,162060854.119,148473629.726,149152990.945,161381492.899,2.0,92306333356300.0,64,0.249579831933,0.25000088556,0.249982898967,4.07233133368e-14,0.0155977277282
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,154993566.823,1424565.14346,154993566.823,156000886.496,153986247.15,154086979.117,155900154.529,2.0,2029385847960.0,75,0.125210084034,0.25000088556,0.124974348451,4.07233133368e-14,0.00391202602517
