npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,44010.0,ref,braidwood,illinois,covid,3010494285.1,4296273.86578,3011633414.15,3014197221.93,3004513090.16,3005388686.85,3014005102.67,4.0,1.84579691298e+13,0.00127734475554,0.111122894195,219,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,44010.0,ref,braidwood,illinois,covid,2905354467.73,5100913.22337,2903852654.53,2912389166.92,2901323394.93,2901406357.89,2911405116.03,4.0,2.60193157124e+13,0.000638672377769,0.111122894195,217,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,55012.0,ref,braidwood,illinois,covid,3008928848.52,6496392.04484,3007358054.62,3017533863.48,3003465421.35,3003602084.57,3016454723.93,4.0,4.22031096002e+13,0.00127734475554,0.111122894195,228,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,55012.0,ref,braidwood,illinois,covid,2904894487.09,4858963.15268,2903478305.56,2911580556.12,2901040781.14,2901120565.13,2910651063.2,4.0,2.36095229191e+13,0.000638672377769,0.111122894195,226,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,ref,braidwood,illinois,covid,2965467374.73,5384091.70611,2964394891.6,2972659498.2,2960420217.52,2960726634.03,2971709591.81,4.0,2.89884434998e+13,0.00127734475554,0.111122894195,236,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,55012.0,ref,braidwood,illinois,covid,2962594930.6,3327480.57261,2962549686.02,2965950770.59,2959329579.77,2959456237.43,2965796966.19,4.0,1.10721269611e+13,0.00127734475554,0.111122894195,227,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,ref,braidwood,illinois,covid,2903983357.44,2826969.8096,2903696259.43,2907379005.27,2901161905.61,2901321619.67,2907047032.41,4.0,7.99175830438e+12,0.000638672377769,0.111122894195,235,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,77017.0,ref,braidwood,illinois,covid,2908997659.21,6013091.55881,2910097159.06,2914749226.43,2901047092.29,2902073208.03,2914382810.6,4.0,3.61572700946e+13,0.000638672377769,0.111122894195,244,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,ref,braidwood,illinois,covid,3007266582.95,2078017.14782,3007407639.53,3009585879.65,3004665173.1,3004983579.27,3009352107.42,4.0,4.31815526665e+12,0.00127734475554,0.111122894195,237,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,88020.0,ref,braidwood,illinois,covid,2910187675.3,5700548.98885,2911375730.13,2915665543.63,2902333697.3,2903507093.97,2915204979.86,4.0,3.24962587743e+13,0.000638672377769,0.111122894195,253,0.0555555555556,4.61981158295e-13,0.103453954139
