cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
10,0.0,-93966584.5568,133475262.155,103014236.16,0.0,-16023006.4915,22759952.4027,-21375600.0,-13773713.8176,-19693082.25,0.0,-7290321.41097,10355570.186,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,23213.6472959,18745264.6544,52041521.3119,23096945.9498,0.0,-1581891.49647,2247004.96658,-14492544000.0,0.0
11,0.0,-92117684.4337,130848983.571,103014236.16,0.0,-15707735.4958,22312124.2839,-21375600.0,-13773713.8176,-19693082.25,0.0,-7146875.99133,10151812.4877,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,20252.4739329,19604791.4392,51946075.488,23018778.0612,0.0,-1550765.97034,2202792.57151,-14492544000.0,0.0
12,0.0,-89999820.8528,127840654.62,103014236.16,0.0,-15346601.3537,21799149.6501,-21375600.0,-13773713.8176,-19693082.25,0.0,-6982563.2595,9918413.72088,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,22793.6291354,20044026.6484,53478167.4785,23464477.0605,0.0,-1515112.54732,2152148.50472,-14492544000.0,0.0
13,0.0,-88228971.3467,125325243.39,103014236.16,0.0,-15044639.4034,21370226.4253,-21375600.0,-13773713.8176,-19693082.25,0.0,-6845173.3338,9723257.57642,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,30496.1458223,20428195.2781,54222404.9234,23619102.8387,0.0,-1485300.97347,2109802.51913,-14492544000.0,0.0
14,0.0,-86200512.573,122443909.905,103014236.16,0.0,-14698750.402,20878906.821,-21375600.0,-13773713.8176,-19693082.25,0.0,-6687797.00158,9499711.64997,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,20529.8491361,20630634.3186,54743087.891,23753452.9157,0.0,-1451152.64616,2061296.37239,-14492544000.0,0.0
15,0.0,-84504418.8067,120034685.805,103014236.16,0.0,-14409535.6609,20468090.4274,-21375600.0,-13773713.8176,-19693082.25,0.0,-6556206.93946,9312793.94809,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,17220.3434525,20940192.6563,55133813.3658,23796705.4185,0.0,-1422599.55659,2020738.00651,-14492544000.0,0.0
16,0.0,-41280795.3252,58637493.3596,103014236.16,0.0,-7039124.11619,9998755.84687,-21375600.0,-13773713.8176,-19693082.25,0.0,-3202737.09469,4549342.46404,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,17924.1503364,21084331.2764,55635930.3942,23945208.3537,0.0,-694946.39398,987139.764176,-14492544000.0,0.0
17,0.0,0.0,0.0,103014236.16,0.0,0.0,0.0,-21375600.0,-13773713.8176,-19693082.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,21499.5364496,21357720.2781,56482331.5209,24224281.9192,0.0,0.0,0.0,-14492544000.0,0.0
18,0.0,0.0,0.0,103014236.16,0.0,0.0,0.0,-21375600.0,-13773713.8176,-19693082.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,16061.241735,21601985.2575,57507935.386,24580022.7621,0.0,0.0,0.0,-14492544000.0,0.0
19,0.0,0.0,0.0,103014236.16,0.0,0.0,0.0,-21375600.0,-13773713.8176,-19693082.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,12498.7231436,22011298.8335,58165056.9875,24790340.4126,0.0,0.0,0.0,-14492544000.0,0.0
20,0.0,0.0,0.0,103014236.16,0.0,0.0,0.0,-21375600.0,-13773713.8176,-19693082.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-22294404.762,0.0,-416208.405,23060.8868211,22013576.4392,58526107.1615,24897119.3746,0.0,0.0,0.0,-14492544000.0,0.0
