npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,993439712.3,7796943.30662,993439712.3,998952983.785,987926440.816,988477767.964,998401656.637,2.0,60792324926600.0,0.250420168067,0.00782582382741,0.125,0.250006184017,114,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,969275865.959,3840676.1862,969275865.959,971991634.134,966560097.783,966831674.601,971720057.317,2.0,14750793567200.0,0.125210084034,0.00782582382741,0.25,0.250006184017,86,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,957951760.74,19363431.4948,957951760.74,971643774.457,944259747.023,945628948.395,970274573.086,2.0,374942479254000.0,0.249579831933,0.00779952408848,0.25,0.125002473607,97,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,940133886.412,63046252.8678,940133886.412,984714319.343,895553453.481,900011496.774,980256276.05,2.0,3974830000670000.0,0.250420168067,0.00782582382741,0.125,0.250006184017,119,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,920436741.232,7857691.5432,920436741.232,925992968.207,914880514.258,915436136.955,925437345.509,2.0,61743316388100.0,0.125210084034,0.00391254412062,0.25,0.124991342377,76,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,916896262.447,3388881.11354,916896262.447,919292563.263,914499961.631,914739591.713,919052933.182,2.0,11484515201700.0,0.249579831933,0.00389941477793,0.125,0.124991342377,103,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,911775683.681,33160279.3865,911775683.681,935223542.101,888327825.26,890672611.102,932878756.259,2.0,1099604128990000.0,0.249579831933,0.00779917682217,0.125,0.249993815983,108,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,904773210.382,30048554.3684,904773210.382,926020746.941,883525673.823,885650427.479,923895993.285,2.0,902915619632000.0,0.125210084034,0.00782582382741,0.25,0.250006184017,91,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,888106842.994,3126078.41358,888106842.994,890317314.238,885896371.749,886117418.873,890096267.114,2.0,9772366247850.0,0.249579831933,0.00779956267363,0.125,0.250006184017,113,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,884702885.29,52604135.001,884702885.29,921899625.868,847506144.712,851225818.77,918179951.81,2.0,2767195019200000.0,0.250420168067,0.00391289255617,0.125,0.125002473607,124,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,854648381.213,11555425.1481,854648381.213,862819300.695,846477461.732,847294553.68,862002208.747,2.0,133527850353000.0,0.125210084034,0.00391289255617,0.25,0.125002473607,96,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,833064021.553,31144613.2233,833064021.553,855086588.76,811041454.345,813243711.066,852884332.04,2.0,969986932827000.0,0.249579831933,0.00779956267363,0.125,0.250006184017,118,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,783755855.22,8825697.48139,783755855.22,789996565.758,777515144.682,778139215.736,789372494.704,2.0,77892936033100.0,0.249579831933,0.00779917682217,0.125,0.249993815983,107,2.78193391732e-13
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,777040847.455,11246695.4544,777040847.455,784993462.077,769088232.834,769883494.296,784198200.615,2.0,126488158643000.0,0.249579831933,0.00389976204424,0.125,0.125002473607,123,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,757868308.765,7775408.76465,757868308.765,763366353.029,752370264.501,752920068.927,762816548.603,2.0,60456981457400.0,0.249579831933,0.00779956267363,0.125,0.250006184017,112,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,754880741.72,5271529.12165,754880741.72,758608275.709,751153207.731,751525961.129,758235522.31,2.0,27789019280400.0,0.249579831933,0.00389941477793,0.125,0.124991342377,102,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,671383531.768,21636719.012,671383531.768,686683002.504,656084061.032,657614008.105,685153055.43,2.0,468147609602000.0,0.249579831933,0.00779956267363,0.125,0.250006184017,117,2.78193391732e-13
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,643879006.828,19460653.3742,643879006.828,657639766.795,630118246.861,631494322.857,656263690.798,2.0,378717029750000.0,0.249579831933,0.00389976204424,0.125,0.125002473607,122,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,641073232.19,13116046.1007,641073232.19,650347677.33,631798787.05,632726231.564,649420232.816,2.0,172030665316000.0,0.125210084034,0.0039127183384,0.125,0.249993815983,106,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,578534711.769,52633644.2164,578534711.769,615752318.513,541317105.025,545038865.699,612030557.838,2.0,2770300503490000.0,0.125210084034,0.00195627206031,0.125,0.124991342377,101,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,556311243.395,924963.452739,556311243.395,556965291.325,555657195.465,555722600.258,556899886.532,2.0,855557388902.0,0.125210084034,0.0039129119137,0.125,0.250006184017,116,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,546715538.365,70396526.723,546715538.365,596493399.783,496937676.947,501915463.089,591515613.641,2.0,4955670974660000.0,0.125210084034,0.0039129119137,0.125,0.250006184017,111,2.78193391732e-13
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,506480171.899,5597198.41314,506480171.899,510437988.853,502522354.946,502918136.641,510042207.157,2.0,31328630076100.0,0.125210084034,0.00195644627809,0.125,0.125002473607,121,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159383076076.0,20614625.9686,-159383076076.0,-159368499335.0,-159397652818.0,-159396195144.0,-159369957009.0,2.0,424962803824000.0,0.250420168067,0.00782508824124,0.25,0.124991342377,79,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159426450490.0,12624625.3067,-159426450490.0,-159417523532.0,-159435377448.0,-159434484752.0,-159418416227.0,2.0,159381164135000.0,0.250420168067,0.0156508733536,0.25,0.249993815983,84,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159465393502.0,103620.477953,-159465393502.0,-159465320231.0,-159465466772.0,-159465459445.0,-159465327558.0,2.0,10737203451.1,0.250420168067,0.0156516476548,0.25,0.250006184017,89,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159554572028.0,26361628.2897,-159554572028.0,-159535931542.0,-159573212514.0,-159571348466.0,-159537795590.0,2.0,694935446087000.0,0.250420168067,0.0156516476548,0.25,0.250006184017,94,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159556653147.0,11537053.8305,-159556653147.0,-159548495218.0,-159564811076.0,-159563995283.0,-159549311011.0,2.0,133103611089000.0,0.250420168067,0.00782578511235,0.25,0.125002473607,99,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159918979326.0,1018.23367859,-159918979326.0,-159918978606.0,-159918980046.0,-159918979974.0,-159918978678.0,2.0,1036799.82422,0.125210084034,0.00195627206031,0.125,0.124991342377,1,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159963249471.0,763.120695432,-159963249471.0,-159963248931.0,-159963250011.0,-159963249957.0,-159963248985.0,2.0,582353.195796,0.125210084034,0.0039127183384,0.125,0.249993815983,6,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160007524982.0,617.253875734,-160007524982.0,-160007524546.0,-160007525419.0,-160007525375.0,-160007524590.0,2.0,381002.347109,0.125210084034,0.0039129119137,0.125,0.250006184017,11,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160051809403.0,16493.6941691,-160051809403.0,-160051797741.0,-160051821066.0,-160051819900.0,-160051798907.0,2.0,272041947.343,0.125210084034,0.0039129119137,0.125,0.250006184017,16,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160096078177.0,4718.21298321,-160096078177.0,-160096074841.0,-160096081514.0,-160096081180.0,-160096075175.0,2.0,22261533.7549,0.125210084034,0.00195644627809,0.125,0.125002473607,21,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614169260837.0,26467743.9314,-614169260837.0,-614150545315.0,-614187976358.0,-614186104806.0,-614152416867.0,2.0,700541468819000.0,0.125210084034,0.00195627206031,0.125,0.124991342377,105,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614249611076.0,74391613.6546,-614249611076.0,-614197008262.0,-614302213890.0,-614296953609.0,-614202268543.0,2.0,5534112182140000.0,0.125210084034,0.0039127183384,0.125,0.249993815983,110,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614283427475.0,36878182.8888,-614283427475.0,-614257350662.0,-614309504288.0,-614306896607.0,-614259958343.0,2.0,1360000373180000.0,0.125210084034,0.0039129119137,0.125,0.250006184017,115,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614322086800.0,37190584.9086,-614322086800.0,-614295789085.0,-614348384514.0,-614345754743.0,-614298418856.0,2.0,1383139605840000.0,0.125210084034,0.0039129119137,0.125,0.250006184017,120,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614370399566.0,53981770.5852,-614370399566.0,-614332228690.0,-614408570442.0,-614404753355.0,-614336045778.0,2.0,2914031555510000.0,0.125210084034,0.00195644627809,0.125,0.125002473607,125,2.78193391732e-13
