npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1605880401.73,3192710.63047,1605635675.56,1609724005.81,1602526249.97,1602769249.51,1609334170.57,4.0,10193401169900.0,0.00034101933080100006,1.17308946207e-12,101,0.0554939835339,0.111111111111,0.0553064275037
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1577347792.87,1144585.1946299998,1577426584.89,1578486947.74,1576051053.97,1576154625.19,1578430651.74,4.0,1310075267780.0,0.00137500823064,1.17308946207e-12,243,0.111126504117,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1576975006.09,2371094.93906,1575948573.48,1580495444.96,1575507432.43,1575524780.54,1579862237.28,4.0,5622091210030.0,0.00137500823064,1.17308946207e-12,263,0.111126504117,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1576239922.0,3868828.4649400003,1577777466.72,1578869882.8,1570534871.77,1571531817.63,1578795463.77,4.0,14967833691100.0,0.00137500823064,1.17308946207e-12,223,0.111126504117,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1575650560.64,1679685.57771,1576166286.13,1577057996.75,1573211673.53,1573649018.66,1576930086.92,4.0,2821343639970.0,0.00137500823064,1.17308946207e-12,283,0.111126504117,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1575527546.49,3134730.06196,1576496524.46,1578143970.87,1570973166.16,1571789253.22,1577909270.59,4.0,9826532561330.0,0.00137500823064,1.17308946207e-12,273,0.111126504117,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1575454992.17,3477357.5185,1576853319.82,1577774460.72,1570338868.33,1571220532.57,1577731793.07,4.0,12092015311400.0,0.000687463301778,1.17308946207e-12,293,0.0555599535571,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,8422.0,ref,cooper,nebraska,covid,1574843584.17,5597082.84396,1577598399.34,1577728553.03,1566448984.96,1568109946.59,1577720480.5,4.0,31327336362100.0,0.0013741919598,1.17308946207e-12,213,0.111060534093,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,25267.0,ref,cooper,nebraska,covid,1573528758.08,5426366.9456400005,1573230370.64,1579023929.76,1568630361.27,1568702196.12,1578773062.45,4.0,29445458228800.0,0.00137500823064,1.17308946207e-12,233,0.111126504117,0.111111111111,0.111360239163
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1569032739.57,8350216.271430001,1568302205.5,1578644065.1,1560882482.17,1561250658.56,1577837568.27,4.0,69726111779700.0,0.00137500823064,1.17308946207e-12,253,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,25267.0,ref,cooper,nebraska,covid,1526560228.33,4034195.13386,1527812006.26,1529853605.2,1520763295.58,1521702514.23,1529665453.31,4.0,16274730378100.0,0.00137500823064,1.17308946207e-12,232,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1526350515.71,4635569.47301,1527939649.9,1529904862.9,1519617900.13,1520738295.99,1529737947.55,4.0,21488504339100.0,0.00137500823064,1.17308946207e-12,272,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1526077808.95,3597616.66495,1526477323.29,1529394000.72,1521962588.49,1522294845.24,1529301452.57,4.0,12942845668000.0,0.00137500823064,1.17308946207e-12,252,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1525708235.41,4986210.42182,1527016681.03,1530113151.67,1518686427.92,1519769819.11,1529814827.85,4.0,24862294370700.0,0.00137500823064,1.17308946207e-12,242,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1521398350.49,6571248.84994,1522858784.29,1527216893.06,1512658940.33,1513777502.82,1526974590.86,4.0,43181311447800.0,0.00137500823064,1.17308946207e-12,282,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1520995053.58,6930704.097019999,1519176737.97,1530214152.89,1515412585.46,1515487283.31,1529048465.69,4.0,48034659280500.0,0.00137500823064,1.17308946207e-12,222,0.111126504117,0.111111111111,0.111360239163
