smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,6087913.68514,12292318.4619,6087913.68514,14779895.4261,-2604068.05578,-1734869.88169,13910697.252,2.0,151101093169000.0,38,5.2351036610599995e-14,0.249999001227,0.249546279492,0.0155943279445,0.249963898917
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-48177578.5477,3858880.19116,-48177578.5477,-45448938.1968,-50906218.8987,-50633354.8636,-45721802.2319,2.0,14890956329700.0,82,5.2351036610599995e-14,0.250000998773,0.250453720508,0.0156534200683,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-62819529.4994,7698250.38042,-62819529.4994,-57376044.4521,-68263014.5467,-67718666.0419,-57920392.9569,2.0,59263058919600.0,33,5.2351036610599995e-14,0.249999001227,0.250453720508,0.0156510345916,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-91334761.614,12106589.7248,-91334761.614,-82774109.9225,-99895413.3054,-99039348.1363,-83630175.0917,2.0,146569514765000.0,3,5.2351036610599995e-14,0.124998601718,0.125226860254,0.00391273051049,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-97704899.0892,1038694.31531,-97704899.0892,-96970431.2953,-98439366.8832,-98365920.1038,-97043878.0747,2.0,1078885880660.0,19,5.2351036610599995e-14,0.124998601718,0.249546279492,0.00779823400012,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-136310378.516,14179755.1696,-136310378.516,-126283777.48,-146336979.552,-145334319.448,-127286437.584,2.0,201065456669000.0,77,5.2351036610599995e-14,0.250000998773,0.125226860254,0.00782671003417,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-173394381.559,4691152.67313,-173394381.559,-170077235.692,-176711527.426,-176379812.839,-170408950.279,2.0,22006913402600.0,28,5.2351036610599995e-14,0.249999001227,0.125226860254,0.00782551729578,0.249963898917
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-175878325.794,8065490.50154,-175878325.794,-170175162.766,-181581488.821,-181011172.518,-170745479.069,2.0,65052137030500.0,63,5.2351036610599995e-14,0.250000998773,0.249546279492,0.0155944525465,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-245538472.956,6840948.3623,-245538472.956,-240701191.979,-250375753.933,-249892025.835,-241184920.077,2.0,46798574495600.0,14,5.2351036610599995e-14,0.124998601718,0.249546279492,0.00779823400012,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-253507080.667,11082738.2076,-253507080.667,-245670401.326,-261343760.007,-260560092.073,-246454069.26,2.0,122827086179000.0,107,5.2351036610599995e-14,0.125000399509,0.250453720508,0.00782670378051,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-260892986.829,10296548.8298,-260892986.829,-253612227.328,-268173746.329,-267445670.379,-254340303.278,2.0,106018917805000.0,58,5.2351036610599995e-14,0.250000998773,0.250453720508,0.0156511596467,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-293274345.531,17342872.3433,-293274345.531,-281011082.891,-305537608.17,-304311281.906,-282237409.155,2.0,300775221116000.0,44,5.2351036610599995e-14,0.249999001227,0.249546279492,0.0155965801582,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-328430505.15,14342131.9982,-328430505.15,-318289086.357,-338571923.943,-337557782.063,-319303228.237,2.0,205696750253000.0,102,5.2351036610599995e-14,0.125000399509,0.125226860254,0.00391335189026,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-355939924.409,106890.562317,-355939924.409,-355864341.368,-356015507.45,-356007949.146,-355871899.672,2.0,11425592312.5,88,5.2351036610599995e-14,0.250000998773,0.249546279492,0.0155944525465,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-375247155.22,6239998.18418,-375247155.22,-370834810.19,-379659500.251,-379218265.748,-371276044.693,2.0,38937577338600.0,53,5.2351036610599995e-14,0.250000998773,0.125226860254,0.00782557982334,0.249963898917
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-385109752.533,1326276.79414,-385109752.533,-384171933.218,-386047571.848,-385953789.916,-384265715.15,2.0,1759010134660.0,9,5.2351036610599995e-14,0.124998601718,0.250453720508,0.00782659121466,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-389551758.485,18901803.2315,-389551758.485,-376186165.244,-402917351.727,-401580792.403,-377522724.568,2.0,357278165404000.0,39,5.2351036610599995e-14,0.249999001227,0.249546279492,0.0155965801582,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-392087658.882,32853803.7079,-392087658.882,-368856511.493,-415318806.272,-412995691.533,-371179626.232,2.0,1079372418080000.0,25,5.2351036610599995e-14,0.124998601718,0.125226860254,0.00195693035208,0.125018050542
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-461404663.642,6081156.14726,-461404663.642,-457104636.892,-465704690.391,-465274687.716,-457534639.567,2.0,36980460087400.0,83,5.2351036610599995e-14,0.250000998773,0.250453720508,0.0156511596467,0.249963898917
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-496486007.31,3717529.55111,-496486007.31,-493857316.955,-499114697.664,-498851828.629,-494120185.99,2.0,13820025963400.0,34,5.2351036610599995e-14,0.249999001227,0.250453720508,0.0156532949952,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-506087735.426,12587519.1408,-506087735.426,-497187015.283,-514988455.568,-514098383.554,-498077087.297,2.0,158445638119000.0,69,5.2351036610599995e-14,0.250000998773,0.249546279492,0.0155967047782,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-529711156.707,6834032.05292,-529711156.707,-524878766.299,-534543547.114,-534060308.073,-525362005.34,2.0,46703994100400.0,20,5.2351036610599995e-14,0.124998601718,0.249546279492,0.00389968004944,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-550722059.041,9979580.27337,-550722059.041,-543665430.156,-557778687.926,-557073025.037,-544371093.045,2.0,99592022432600.0,4,5.2351036610599995e-14,0.124998601718,0.125226860254,0.00391329560733,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-555929084.894,4078473.52336,-555929084.894,-553045168.609,-558813001.18,-558524609.551,-553333560.238,2.0,16633946280800.0,78,5.2351036610599995e-14,0.250000998773,0.125226860254,0.00782557982334,0.249963898917
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-561384614.146,16694751.2901,-561384614.146,-549579642.298,-573189585.993,-572009088.808,-550760139.483,2.0,278714720639000.0,113,5.2351036610599995e-14,0.125000399509,0.249546279492,0.00779722004315,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-587887881.412,33826562.247,-587887881.412,-563968889.863,-611806872.961,-609414973.806,-566360789.018,2.0,1144236313450000.0,64,5.2351036610599995e-14,0.250000998773,0.249546279492,0.0155967047782,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-587889651.488,38436286.4508,-587889651.488,-560711092.695,-615068210.281,-612350354.401,-563428948.574,2.0,1477348116130000.0,50,5.2351036610599995e-14,0.249999001227,0.125226860254,0.0039138888497,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-618221979.724,6140181.26618,-618221979.724,-613880215.913,-622563743.535,-622129567.154,-614314392.294,2.0,37701825981600.0,29,5.2351036610599995e-14,0.249999001227,0.125226860254,0.00782664749759,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-647610072.018,10522527.4727,-647610072.018,-640169521.486,-655050622.549,-654306567.496,-640913576.54,2.0,110723584414000.0,108,5.2351036610599995e-14,0.125000399509,0.250453720508,0.00782557357058,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-672280685.481,15123070.4486,-672280685.481,-661587059.814,-682974311.147,-681904948.58,-662656422.381,2.0,228707259793000.0,94,5.2351036610599995e-14,0.250000998773,0.249546279492,0.0155967047782,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-674221561.252,2256946.57442,-674221561.252,-672625659.024,-675817463.479,-675657873.256,-672785249.247,2.0,5093807839800.0,45,5.2351036610599995e-14,0.249999001227,0.249546279492,0.00779941618599,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-686705306.048,4938925.47823,-686705306.048,-683212958.351,-690197653.746,-689848418.976,-683562193.12,2.0,24392984879500.0,59,5.2351036610599995e-14,0.250000998773,0.250453720508,0.0156534200683,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-712991083.495,67890043.4409,-712991083.495,-664985573.403,-760996593.587,-756196042.577,-669786124.412,2.0,4609057998410000.0,15,5.2351036610599995e-14,0.124998601718,0.249546279492,0.00389968004944,0.125018050542
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-764705153.777,251109.450499,-764705153.777,-764527592.581,-764882714.972,-764864958.852,-764545348.701,2.0,63055956129.7,103,5.2351036610599995e-14,0.125000399509,0.125226860254,0.00391278678529,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-772837295.403,8662640.1331,-772837295.403,-766711883.821,-778962706.984,-778350165.826,-767324424.98,2.0,75041334075500.0,89,5.2351036610599995e-14,0.250000998773,0.249546279492,0.0155967047782,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-774304625.62,36734854.587,-774304625.62,-748329160.836,-800280090.404,-797682543.926,-750926707.314,2.0,1349449541520000.0,75,5.2351036610599995e-14,0.250000998773,0.125226860254,0.0039139201225,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-816643567.214,25015892.0353,-816643567.214,-798954660.318,-834332474.109,-832563583.42,-800723551.008,2.0,625794854322000.0,10,5.2351036610599995e-14,0.124998601718,0.250453720508,0.00391386070417,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-829890680.116,5768196.3115,-829890680.116,-825811949.389,-833969410.843,-833561537.771,-826219822.462,2.0,33272088688000.0,40,5.2351036610599995e-14,0.249999001227,0.249546279492,0.00779941618599,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-861527520.976,7080417.803,-861527520.976,-856520909.534,-866534132.418,-866033471.274,-857021570.678,2.0,50132316265000.0,54,5.2351036610599995e-14,0.250000998773,0.125226860254,0.00782671003417,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-882322073.232,22532384.2743,-882322073.232,-866389271.515,-898254874.949,-896661594.777,-867982551.687,2.0,507708341084000.0,119,5.2351036610599995e-14,0.125000399509,0.249546279492,0.00779834615812,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-897722349.527,4090275.90488,-897722349.527,-894830087.698,-900614611.356,-900325385.173,-895119313.881,2.0,16730356978100.0,84,5.2351036610599995e-14,0.250000998773,0.250453720508,0.0156534200683,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-923151441.718,2631281.12164,-923151441.718,-921290844.994,-925012038.443,-924825978.77,-921476904.667,2.0,6923640341120.0,70,5.2351036610599995e-14,0.250000998773,0.249546279492,0.00779947850499,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-940653403.342,665488.408641,-940653403.342,-940182831.975,-941123974.708,-941076917.571,-940229889.112,2.0,442874822035.0,5,5.2351036610599995e-14,0.124998601718,0.125226860254,0.00195693035208,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-960291084.755,11957474.3517,-960291084.755,-951835873.555,-968746295.955,-967900774.835,-952681394.675,2.0,142981192873000.0,100,5.2351036610599995e-14,0.250000998773,0.125226860254,0.0039139201225,0.125018050542
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-980875231.069,8693424.38713,-980875231.069,-974728051.733,-987022410.405,-986407692.471,-975342769.666,2.0,75575627574700.0,114,5.2351036610599995e-14,0.125000399509,0.249546279492,0.00779834615812,0.25
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-989504200.172,75218278.4111,-989504200.172,-936316845.439,-1042691554.91,-1037372819.43,-941635580.912,2.0,5657789407140000.0,35,5.2351036610599995e-14,0.249999001227,0.250453720508,0.00782777769939,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1010354884.07,4336321.16859,-1010354884.07,-1007288641.97,-1013421126.17,-1013114501.96,-1007595266.18,2.0,18803681277200.0,65,5.2351036610599995e-14,0.250000998773,0.249546279492,0.00779947850499,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1034500098.2,14988292.4026,-1034500098.2,-1023901775.0,-1045098421.39,-1044038589.07,-1024961607.32,2.0,224648909146000.0,79,5.2351036610599995e-14,0.250000998773,0.125226860254,0.00782671003417,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1092734600.89,3598279.54594,-1092734600.89,-1090190233.02,-1095278968.76,-1095024531.97,-1090444669.81,2.0,12947615690700.0,109,5.2351036610599995e-14,0.125000399509,0.250453720508,0.00782670378051,0.25
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1093705362.26,18884896.8087,-1093705362.26,-1080351723.66,-1107059000.85,-1105723636.99,-1081687087.52,2.0,356639327474000.0,30,5.2351036610599995e-14,0.249999001227,0.125226860254,0.0039138888497,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1107941111.52,30351556.0712,-1107941111.52,-1086479320.41,-1129402902.64,-1127256723.53,-1088625499.52,2.0,921216955944000.0,95,5.2351036610599995e-14,0.250000998773,0.249546279492,0.00779947850499,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1180050991.98,12425633.8739,-1180050991.98,-1171264742.01,-1188837241.95,-1187958616.96,-1172143367.01,2.0,154396377169000.0,60,5.2351036610599995e-14,0.250000998773,0.250453720508,0.00782784024501,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1180376666.8,10448658.5089,-1180376666.8,-1172988349.51,-1187764984.08,-1187026152.35,-1173727181.24,2.0,109174464635000.0,125,5.2351036610599995e-14,0.125000399509,0.125226860254,0.00195695849761,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1249067289.27,40637087.7267,-1249067289.27,-1220332528.97,-1277802049.57,-1274928573.54,-1223206005.0,2.0,1651372898910000.0,104,5.2351036610599995e-14,0.125000399509,0.125226860254,0.00391335189026,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1254018687.52,42179350.3168,-1254018687.52,-1224193382.88,-1283843992.15,-1280861461.69,-1227175913.35,2.0,1779097593150000.0,90,5.2351036610599995e-14,0.250000998773,0.249546279492,0.00779947850499,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1295468565.92,20398397.4378,-1295468565.92,-1281044720.77,-1309892411.08,-1308450026.56,-1282487105.28,2.0,416094618031000.0,120,5.2351036610599995e-14,0.125000399509,0.249546279492,0.00389973613654,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1330234326.61,47930954.8218,-1330234326.61,-1296342023.43,-1364126629.79,-1360737399.47,-1299731253.74,2.0,2297376430130000.0,55,5.2351036610599995e-14,0.250000998773,0.125226860254,0.0039139201225,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1386591322.73,35108482.5844,-1386591322.73,-1361765876.62,-1411416768.85,-1408934224.24,-1364248421.23,2.0,1232605549380000.0,85,5.2351036610599995e-14,0.250000998773,0.250453720508,0.00782784024501,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1435103088.22,20735108.0699,-1435103088.22,-1420441152.7,-1449765023.75,-1448298830.2,-1421907346.25,2.0,429944706670000.0,115,5.2351036610599995e-14,0.125000399509,0.249546279492,0.00389973613654,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1534698445.17,52332140.2818,-1534698445.17,-1497694033.9,-1571702856.44,-1568002415.31,-1501394475.03,2.0,2738652906470000.0,80,5.2351036610599995e-14,0.250000998773,0.125226860254,0.0039139201225,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1575323196.7,7489621.78996,-1575323196.7,-1570027234.35,-1580619159.06,-1580089562.82,-1570556830.58,2.0,56094434556600.0,110,5.2351036610599995e-14,0.125000399509,0.250453720508,0.00391391699522,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1726090605.92,7494790.07763,-1726090605.92,-1720790989.03,-1731390222.81,-1730860261.12,-1721320950.72,2.0,56171878307800.0,105,5.2351036610599995e-14,0.125000399509,0.125226860254,0.00195695849761,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-17338292923.8,762910.817975,-17338292923.8,-17337753464.4,-17338832383.2,-17338778437.3,-17337807410.4,2.0,582032916183.0,1,5.2351036610599995e-14,0.124998601718,0.125226860254,0.00195693035208,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-331804599524.0,6001022.38756,-331804599524.0,-331800356160.0,-331808842887.0,-331808418551.0,-331800780496.0,2.0,36012269696000.0,7,5.2351036610599995e-14,0.124998601718,0.250453720508,0.00782659121466,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-709839192331.0,4541778.10429,-709839192331.0,-709835980809.0,-709842403853.0,-709842082701.0,-709836301961.0,2.0,20627748348700.0,13,5.2351036610599995e-14,0.124998601718,0.249546279492,0.00779710790134,0.249963898917
720.0,-254.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-156719907564000.0,43010599.0042,-156719907564000.0,-156719877151000.0,-156719937977000.0,-156719934936000.0,-156719880193000.0,2.0,1849911626700000.0,118,5.2351036610599995e-14,0.125000399509,0.249546279492,0.00779722004315,0.249963898917
