npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,717945742.229,19399222.7737,717945742.229,731663064.202,704228420.256,705600152.453,730291332.005,2.0,376329844223000.0,0.125210084034,81,0.249993815983,0.00782543667679,2.78193391732e-13,0.25
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,695379821.801,32473833.3672,695379821.801,718342289.586,672417354.016,674713600.794,716046042.808,2.0,1054549853560000.0,0.250420168067,119,0.250006184017,0.00782582382741,2.78193391732e-13,0.125
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,682023964.78,408963.81828,682023964.78,682313145.869,681734783.691,681763701.8,682284227.76,2.0,167251404663.0,0.125210084034,86,0.250006184017,0.00782582382741,2.78193391732e-13,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,670703712.776,13003036.9494,670703712.776,679898248.379,661509177.173,662428630.734,678978794.819,2.0,169078969908000.0,0.125210084034,76,0.124991342377,0.00391254412062,2.78193391732e-13,0.25
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,660342503.189,10408181.4793,660342503.189,667702198.893,652982807.485,653718777.056,666966229.323,2.0,108330241705000.0,0.249579831933,108,0.249993815983,0.00779917682217,2.78193391732e-13,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,656702326.062,3661375.69003,656702326.062,659291309.641,654113342.483,654372240.841,659032411.283,2.0,13405671943600.0,0.249579831933,103,0.124991342377,0.00389941477793,2.78193391732e-13,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,635661166.607,67286210.7793,635661166.607,683239702.529,588082630.684,592840484.277,678481848.937,2.0,4527434161040000.0,0.250420168067,124,0.125002473607,0.00391289255617,2.78193391732e-13,0.125
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,630868387.318,302702.287438,630868387.318,631082430.158,630654344.478,630675748.762,631061025.874,2.0,91628674820.0,0.125210084034,91,0.250006184017,0.00782582382741,2.78193391732e-13,0.25
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,619825166.953,13348063.3125,619825166.953,629263673.037,610386660.869,611330511.477,628319822.428,2.0,178170794195000.0,0.249579831933,113,0.250006184017,0.00779956267363,2.78193391732e-13,0.125
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,600382757.556,171760.881612,600382757.556,600504210.84,600261304.271,600273449.6,600492065.511,2.0,29501800452.2,0.125210084034,96,0.125002473607,0.00391289255617,2.78193391732e-13,0.25
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,567917966.802,15050254.1999,567917966.802,578560103.606,557275829.999,558340043.679,577495889.925,2.0,226510151483000.0,0.249579831933,118,0.250006184017,0.00779956267363,2.78193391732e-13,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,513953162.589,9961903.19362,513953162.589,520997291.89,506909033.287,507613446.217,520292878.96,2.0,99239515239100.0,0.249579831933,123,0.125002473607,0.00389976204424,2.78193391732e-13,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,489103141.482,46584893.6147,489103141.482,522043635.657,456162647.306,459456696.723,518749586.24,2.0,2170152313090000.0,0.249579831933,107,0.249993815983,0.00779917682217,2.78193391732e-13,0.125
