smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1665025229.94,27764816.7461,-1653004523.85,-1647604558.1,-1706487313.94,-1698574927.36,-1648304521.03,4.0,770885048945000.0,0.00779778760718,112,4.95258127397e-14,0.124990974078,0.249546279492,0.250000944804
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1665935667.03,2715896.04895,-1666693698.01,-1662253140.92,-1668102131.18,-1668065938.97,-1662744151.71,4.0,7376091348720.0,0.0155978276082,68,4.95258127397e-14,0.250018051845,0.249546279492,0.250000944804
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1696624580.61,7573700.92756,-1695112583.99,-1689339631.01,-1706933523.45,-1705463474.9,-1689902481.59,4.0,57360945740100.0,0.00782614319848,86,4.95258127397e-14,0.249981948155,0.125226860254,0.250000944804
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1712569012.26,10826318.3025,-1712269325.44,-1699684951.47,-1726052446.7,-1724187502.2,-1701370083.88,4.0,117209167987000.0,0.0155955752144,93,4.95258127397e-14,0.249981948155,0.249546279492,0.250000944804
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1748941177.62,1980968.2897,-1749125894.02,-1746417967.27,-1751094955.16,-1750888281.24,-1746735471.03,4.0,3924235364790.0,0.0155978276082,42,4.95258127397e-14,0.250018051845,0.249546279492,0.250000944804
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1772555830.74,5644547.76355,-1773738120.34,-1764742075.31,-1778005006.99,-1777516423.68,-1765940032.37,4.0,31860919455000.0,0.00195653727845,125,4.95258127397e-14,0.124990974078,0.125226860254,0.125000566882
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1782377851.75,10242969.9425,-1785720727.39,-1767980446.81,-1790089505.42,-1789971377.16,-1770104300.45,4.0,104918433243000.0,0.0155978276082,67,4.95258127397e-14,0.250018051845,0.249546279492,0.250000944804
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1808684250.25,45689081.099,-1803576182.88,-1767848290.05,-1859736345.19,-1855979707.27,-1768540087.55,4.0,2087492131670000.0,0.00779778760718,118,4.95258127397e-14,0.124990974078,0.249546279492,0.250000944804
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1816875307.16,26812238.408,-1814668028.57,-1792617876.81,-1845547294.68,-1843793760.61,-1793047043.73,4.0,718896128445000.0,0.00391307159924,111,4.95258127397e-14,0.124990974078,0.125226860254,0.250000944804
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1825620361.19,2157726.67786,-1825760378.94,-1823055630.33,-1827905056.55,-1827738170.1,-1823306527.43,4.0,4655784416360.0,0.00391307159924,16,4.95258127397e-14,0.124990974078,0.125226860254,0.250000944804
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1846970726.21,2283505.9441,-1847756505.88,-1843642203.03,-1848727690.05,-1848634223.45,-1844207137.44,4.0,5214399396740.0,0.00782727349068,41,4.95258127397e-14,0.250018051845,0.125226860254,0.250000944804
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1859500903.57,7997361.7246,-1857556166.75,-1852495715.39,-1870395565.4,-1868901059.66,-1852823379.04,4.0,63957794554100.0,0.0155955752144,92,4.95258127397e-14,0.249981948155,0.249546279492,0.250000944804
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1890603713.26,24955360.9368,-1887283895.11,-1865045292.49,-1922801770.32,-1918800211.13,-1867054960.79,4.0,622770039488000.0,0.0078261491138,99,4.95258127397e-14,0.249981948155,0.250453720508,0.125000566882
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1909057267.52,12788012.1028,-1907717059.51,-1896303811.17,-1924491139.88,-1922959514.64,-1897031311.61,4.0,163533253542000.0,0.00782727349068,66,4.95258127397e-14,0.250018051845,0.125226860254,0.250000944804
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1929972431.65,27296550.4945,-1929386428.26,-1905257708.78,-1955859161.32,-1955163747.73,-1905601520.33,4.0,745101668900000.0,0.0039130745569,124,4.95258127397e-14,0.124990974078,0.250453720508,0.125000566882
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1943631595.26,2701479.44525,-1943776386.75,-1940249150.51,-1946724457.03,-1946379764.83,-1940680717.6,4.0,7297991193090.0,0.00779891969886,73,4.95258127397e-14,0.250018051845,0.249546279492,0.125000566882
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1953493187.88,32187206.6863,-1944170460.49,-1926610380.21,-1999021450.32,-1992043015.96,-1927995178.14,4.0,1036016274270000.0,0.00779778760718,117,4.95258127397e-14,0.124990974078,0.249546279492,0.250000944804
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2002293715.26,17064535.2648,-2005651813.08,-1979520558.65,-2018350676.22,-2017361945.22,-1982524148.34,4.0,291198363802000.0,0.00779779350107,98,4.95258127397e-14,0.249981948155,0.249546279492,0.125000566882
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2013396906.24,37312277.3254,-2002235545.64,-1982032690.25,-2067083843.42,-2058188151.65,-1984231565.66,4.0,1392206039210000.0,0.00782614319848,91,4.95258127397e-14,0.249981948155,0.125226860254,0.250000944804
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2031429124.98,17801512.05,-2023091106.26,-2021433097.03,-2058101190.37,-2052909370.84,-2021622105.32,4.0,316893831265000.0,0.00779891969886,47,4.95258127397e-14,0.250018051845,0.249546279492,0.125000566882
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2076945097.26,17931757.959,-2076054690.35,-2055916398.83,-2099754609.51,-2096280271.93,-2058856492.27,4.0,321547943499000.0,0.00779891969886,72,4.95258127397e-14,0.250018051845,0.249546279492,0.125000566882
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2086770598.06,24331785.0625,-2088908619.8,-2057152973.64,-2112112178.99,-2110300510.96,-2060247454.72,4.0,592035764327000.0,0.00389889675053,123,4.95258127397e-14,0.124990974078,0.249546279492,0.125000566882
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2092713124.98,17932655.2956,-2090408497.76,-2073315743.37,-2116719761.02,-2112904729.21,-2075747998.85,4.0,321580125950000.0,0.00391307159924,116,4.95258127397e-14,0.124990974078,0.125226860254,0.250000944804
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2104102879.57,1093554.02926,-2104162038.01,-2102712190.97,-2105375251.28,-2105210902.18,-2102912035.13,4.0,1195860414920.0,0.00195653727845,21,4.95258127397e-14,0.124990974078,0.125226860254,0.125000566882
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2130489590.82,4081029.7992,-2129615171.52,-2126636162.06,-2136091858.17,-2135277708.02,-2126925660.63,4.0,16654804221900.0,0.00391363970343,46,4.95258127397e-14,0.250018051845,0.125226860254,0.125000566882
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2137969600.49,23256020.008,-2128058969.27,-2123132358.45,-2172628104.96,-2166173425.0,-2123640659.68,4.0,540842466612000.0,0.00779779350107,97,4.95258127397e-14,0.249981948155,0.249546279492,0.125000566882
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2199282582.5,17155793.6735,-2197266070.88,-2180524004.05,-2222074184.21,-2218551107.99,-2182837173.29,4.0,294321256569000.0,0.00391363970343,71,4.95258127397e-14,0.250018051845,0.125226860254,0.125000566882
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2218465688.65,3452949.70058,-2217477771.97,-2215771326.22,-2223135884.44,-2222518243.25,-2215796217.4,4.0,11922861634700.0,0.00389889675053,122,4.95258127397e-14,0.124990974078,0.249546279492,0.125000566882
