smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,354851189.767,1735047.95797,354601316.979,357129984.063,353072141.047,353222972.444,356829228.993,4.0,3010391416450.0,1.7334191682000001e-13,0.00782734744372,66,0.125226860254,0.250003306843,0.250018051845
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,329237525.408,8101975.41192,329425210.058,337186565.842,320913115.673,321338935.765,336873356.54,4.0,65642005575400.0,1.7334191682000001e-13,0.0155953099878,82,0.249546279492,0.249996693157,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,326448157.963,9165543.36678,324189935.227,338390826.169,319021935.229,319093202.73,336964625.026,4.0,84007185208300.0,1.7334191682000001e-13,0.00391310857042,115,0.125226860254,0.250003306843,0.124990974078
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,321076723.222,5820201.55778,321307412.307,327866493.174,313825575.098,314769178.121,327061303.602,4.0,33874746173200.0,1.7334191682000001e-13,0.00782623784463,99,0.250453720508,0.125001984106,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,309800622.558,8743133.50122,310131496.832,318893232.702,300046263.867,300799471.546,318338549.587,4.0,76442383420200.0,1.7334191682000001e-13,0.00391289118068,104,0.250453720508,0.124994709051,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,301673995.491,4931610.72267,302455976.265,305869925.995,295914103.439,296409824.656,305843393.242,4.0,24320784320000.0,1.7334191682000001e-13,0.00779742807743,77,0.249546279492,0.124994709051,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,295953643.402,5356548.94631,296356183.818,301922927.639,289179278.332,290037684.14,301306046.081,4.0,28692616614300.0,1.7334191682000001e-13,0.0155957225633,93,0.249546279492,0.250003306843,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,291505228.248,5677081.00536,292083423.488,297744376.629,284109689.389,285141495.764,297059487.398,4.0,32229248741500.0,1.7334191682000001e-13,0.00782601010299,109,0.250453720508,0.249996693157,0.124990974078
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,274800721.695,1583782.91208,274429948.908,277015399.804,273327589.159,273448541.927,276671983.363,4.0,2508368312600.0,1.7334191682000001e-13,0.00391368407525,71,0.125226860254,0.125001984106,0.250018051845
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,255162949.608,7463670.86491,254010043.574,264561577.048,248070134.234,248422178.588,263517789.074,4.0,55706382779800.0,1.7334191682000001e-13,0.00391310857042,120,0.125226860254,0.250003306843,0.124990974078
