npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1089274786.46,4668814.253,1089381429.01,1094865297.13,1083470990.69,1084287771.82,1094112501.54,4.0,21797826529000.0,76,0.124996154144,0.25,0.124645892351,0.00389506429344,8.47275451554e-14
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1088568118.63,5464244.35485,1087548569.01,1095457530.1,1083717806.42,1083861507.89,1094702098.86,4.0,29857966369500.0,92,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1078809278.45,4099621.66623,1079073213.99,1083530488.3,1073560197.52,1074316898.05,1082932149.09,4.0,16806897806200.0,119,0.250002917546,0.125,0.25,0.00781259117331,8.47275451554e-14
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1006708470.26,3359035.89009,1006349955.5,1010937086.38,1003196883.68,1003474848.31,1010444012.88,4.0,11283122110900.0,86,0.250002387083,0.25,0.124645892351,0.00779044265698,8.47275451554e-14
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,996101285.833,6580649.46583,993841747.934,1005345531.01,991376116.452,991379756.448,1003986168.27,4.0,43304947392200.0,113,0.250002387083,0.125,0.25,0.00781257459634,8.47275451554e-14
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,990349334.992,1804626.69781,990930231.153,991820280.152,987716597.51,988197277.862,991688137.497,4.0,3256677518440.0,97,0.125001458773,0.25,0.25,0.00781259117331,8.47275451554e-14
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,984998757.736,6033090.29697,984297288.969,992743846.639,978656606.369,979202687.522,991776884.225,4.0,36398178531400.0,124,0.125001458773,0.125,0.25,0.00390629558665,8.47275451554e-14
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,919954555.036,3507518.52945,918620234.69,925029742.168,917548008.597,917566609.329,924210549.228,4.0,12302686234500.0,102,0.124996154144,0.125,0.25,0.003906129817,8.47275451554e-14
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,908937371.387,3341243.0494,908660325.488,913198999.074,905229835.498,905617531.978,912645075.054,4.0,11163905115200.0,91,0.250002917546,0.25,0.124645892351,0.00779045918698,8.47275451554e-14
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,899482708.622,3009959.00234,899366393.747,903281747.828,895916299.167,896431380.769,902696877.3,4.0,9059853195750.0,107,0.249997082454,0.125,0.25,0.00781240882669,8.47275451554e-14
